agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,0,0.1438,0.0574,0.0892,0.1466
1,-1,0,0.0765,0.0305,0.0493,0.0797
2,-1,0,0.5358,0.2143,0.3841,0.5984
3,1,0,0.0006,0.0003,0.0003,0.0006
4,-1,0,0.4481,0.1791,0.3066,0.4857
5,-1,0,0.3594,0.1437,0.2348,0.3784
6,-1,0,0.0167,0.0066,0.0110,0.0177
7,-1,0,-0.6071,-0.2429,-0.4615,-0.7044
8,1,0,0.4734,0.1894,0.3253,0.5147
9,-1,0,-0.0614,-0.0245,-0.0375,-0.0621
10,-1,0,0.4993,0.1997,0.3495,0.5492
11,1,0,0.0000,0.0000,0.0000,0.0000
12,1,0,0.0004,0.0001,0.0002,0.0003
13,-1,0,0.1137,0.0453,0.0727,0.1180
14,-1,0,0.0635,0.0253,0.0403,0.0656
15,-1,0,0.5446,0.2177,0.3981,0.6158
16,-1,0,0.0106,0.0042,0.0072,0.0114
17,1,0,-0.0070,-0.0028,-0.0046,-0.0074
18,-1,0,0.0000,0.0000,0.0000,0.0000
19,1,0,0.0502,0.0200,0.0323,0.0523
20,-1,0,0.6417,0.2566,0.5066,0.7632
21,-1,0,-0.0022,-0.0008,-0.0026,-0.0034
22,-1,0,0.1914,0.0764,0.1210,0.1974
23,1,0,-0.0201,-0.0080,-0.0125,-0.0205
24,-1,0,0.0619,0.0247,0.0385,0.0632
25,-1,0,0.0686,0.0273,0.0443,0.0716
26,-1,0,0.0768,0.0307,0.0466,0.0773
27,-1,0,0.3175,0.1268,0.2059,0.3327
28,1,0,0.0997,0.0397,0.0639,0.1036
29,-1,0,-0.5371,-0.2147,-0.3911,-0.6058
30,1,0,0.1063,0.0424,0.0679,0.1102
31,1,1,1.0000,0.4000,0.4320,0.8320
32,-1,0,0.4721,0.1888,0.3255,0.5143
33,-1,0,0.3653,0.1458,0.2459,0.3917
34,-1,0,0.2218,0.0886,0.1388,0.2274
