step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
0,0.0037,0.0030,0.0039,0.0035,0.0024,0.0035,0.0049,0.0031,0.0026,0.0041,0.0032,0.0026,0.0034,0.0026,0.0031,0.0035,0.0035,0.0046,0.0028
1,0.0033,0.0027,0.0033,0.0031,0.0020,0.0032,0.0043,0.0027,0.0024,0.0035,0.0028,0.0026,0.0030,0.0030,0.0026,0.0031,0.0032,0.0042,0.0025
2,0.0030,0.0025,0.0029,0.0027,0.0020,0.0029,0.0038,0.0024,0.0021,0.0030,0.0024,0.0026,0.0026,0.0039,0.0023,0.0027,0.0030,0.0039,0.0023
3,0.0028,0.0023,0.0025,0.0023,0.0025,0.0026,0.0034,0.0021,0.0019,0.0026,0.0022,0.0026,0.0024,0.0052,0.0021,0.0024,0.0031,0.0035,0.0022
4,0.0026,0.0021,0.0022,0.0021,0.0032,0.0024,0.0030,0.0019,0.0017,0.0022,0.0019,0.0027,0.0021,0.0068,0.0019,0.0021,0.0034,0.0032,0.0021
5,0.0024,0.0020,0.0019,0.0018,0.0042,0.0022,0.0027,0.0017,0.0016,0.0019,0.0017,0.0028,0.0019,0.0085,0.0019,0.0019,0.0037,0.0030,0.0022
6,0.0023,0.0019,0.0017,0.0016,0.0053,0.0020,0.0024,0.0015,0.0014,0.0017,0.0015,0.0029,0.0017,0.0103,0.0019,0.0016,0.0042,0.0028,0.0023
7,0.0022,0.0018,0.0015,0.0014,0.0065,0.0019,0.0022,0.0013,0.0013,0.0015,0.0014,0.0031,0.0016,0.0121,0.0019,0.0015,0.0048,0.0025,0.0024
8,0.0022,0.0017,0.0013,0.0013,0.0078,0.0017,0.0021,0.0012,0.0012,0.0013,0.0012,0.0032,0.0015,0.0138,0.0020,0.0013,0.0055,0.0024,0.0026
9,0.0021,0.0017,0.0012,0.0012,0.0091,0.0016,0.0020,0.0011,0.0011,0.0011,0.0011,0.0034,0.0014,0.0155,0.0022,0.0012,0.0062,0.0022,0.0028
10,0.0021,0.0017,0.0010,0.0011,0.0105,0.0015,0.0019,0.0009,0.0010,0.0010,0.0010,0.0036,0.0014,0.0170,0.0023,0.0010,0.0070,0.0021,0.0030
11,0.0021,0.0017,0.0010,0.0010,0.0118,0.0015,0.0018,0.0009,0.0010,0.0009,0.0009,0.0038,0.0013,0.0183,0.0026,0.0009,0.0078,0.0020,0.0033
