step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,-0.0000,0.0513,0.0035,0.0033,239,-0.0537,261,0.0491,0.0000,-0.0012,0.0004,-0.0016
1,0.0001,0.0512,0.0035,0.0032,248,-0.0515,252,0.0509,0.0000,-0.0000,0.0001,-0.0002
2,0.0000,0.0536,0.0040,0.0035,247,-0.0543,253,0.0530,0.0000,0.0019,-0.0006,0.0025
3,-0.0000,0.0581,0.0049,0.0040,239,-0.0608,261,0.0556,0.0000,0.0040,-0.0014,0.0053
4,0.0004,0.0646,0.0062,0.0047,235,-0.0683,265,0.0614,0.0173,0.0056,-0.0013,0.0069
5,0.0016,0.0721,0.0078,0.0056,236,-0.0746,264,0.0697,0.0761,0.0078,-0.0006,0.0084
6,0.0025,0.0800,0.0097,0.0065,237,-0.0818,263,0.0785,0.1617,0.0102,-0.0001,0.0104
7,0.0037,0.0881,0.0118,0.0076,234,-0.0902,266,0.0863,0.3268,0.0129,0.0005,0.0124
8,0.0045,0.0961,0.0142,0.0087,234,-0.0979,266,0.0946,0.7237,0.0153,0.0008,0.0144
9,0.0055,0.1040,0.0168,0.0098,233,-0.1057,267,0.1024,0.9961,0.0182,0.0011,0.0172
10,0.0063,0.1116,0.0195,0.0110,233,-0.1130,267,0.1104,1.3925,0.0209,0.0012,0.0197
11,0.0071,0.1189,0.0223,0.0122,230,-0.1214,270,0.1167,1.8778,0.0239,0.0014,0.0226
12,0.0078,0.1260,0.0252,0.0134,231,-0.1279,269,0.1244,2.2989,0.0264,0.0014,0.0250
13,0.0085,0.1332,0.0282,0.0146,232,-0.1344,268,0.1322,2.9219,0.0284,0.0016,0.0268
14,0.0091,0.1402,0.0312,0.0157,233,-0.1407,267,0.1397,3.3741,0.0303,0.0018,0.0285
15,0.0095,0.1468,0.0342,0.0168,236,-0.1455,264,0.1480,4.3487,0.0321,0.0017,0.0304
16,0.0098,0.1533,0.0373,0.0179,237,-0.1514,263,0.1551,5.0916,0.0338,0.0015,0.0323
17,0.0100,0.1596,0.0404,0.0190,237,-0.1577,263,0.1612,5.4838,0.0355,0.0013,0.0342
18,0.0102,0.1656,0.0434,0.0200,236,-0.1646,264,0.1665,6.5288,0.0371,0.0010,0.0361
19,0.0104,0.1713,0.0464,0.0210,236,-0.1705,264,0.1720,7.5961,0.0383,0.0007,0.0376
20,0.0106,0.1770,0.0494,0.0220,235,-0.1770,265,0.1769,8.1123,0.0395,0.0006,0.0389
21,0.0108,0.1824,0.0524,0.0229,234,-0.1834,266,0.1815,8.5906,0.0407,0.0005,0.0402
22,0.0109,0.1876,0.0553,0.0238,232,-0.1904,268,0.1852,9.6097,0.0418,0.0003,0.0415
23,0.0111,0.1927,0.0581,0.0246,232,-0.1956,268,0.1901,10.3704,0.0428,0.0002,0.0426
24,0.0113,0.1975,0.0609,0.0254,229,-0.2033,271,0.1927,11.2838,0.0438,0.0001,0.0437
