step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
48,0.0757,0.3272,0.1219,0.0446,218.1,-0.2853,261.9,0.3063,27.0356,0.0551,0.0171,0.0380
49,0.0759,0.3292,0.1234,0.0449,218.3,-0.2870,261.7,0.3087,27.2257,0.0554,0.0173,0.0381
50,0.0762,0.3312,0.1248,0.0451,218.2,-0.2890,261.8,0.3106,27.4977,0.0556,0.0175,0.0381
51,0.0764,0.3330,0.1261,0.0453,217.9,-0.2912,262.1,0.3123,27.6664,0.0559,0.0177,0.0382
52,0.0767,0.3349,0.1274,0.0455,218.0,-0.2928,262.0,0.3144,27.9420,0.0562,0.0180,0.0382
53,0.0770,0.3366,0.1287,0.0457,218.2,-0.2943,261.8,0.3166,28.1372,0.0565,0.0182,0.0383
54,0.0772,0.3384,0.1299,0.0458,218.6,-0.2954,261.4,0.3189,28.3355,0.0567,0.0184,0.0384
55,0.0774,0.3400,0.1311,0.0459,218.1,-0.2977,261.9,0.3200,28.4536,0.0570,0.0185,0.0385
56,0.0776,0.3416,0.1322,0.0461,218.5,-0.2987,261.5,0.3222,28.5941,0.0572,0.0187,0.0385
57,0.0778,0.3432,0.1333,0.0462,218.4,-0.3003,261.6,0.3237,28.7729,0.0574,0.0189,0.0386
58,0.0779,0.3447,0.1344,0.0463,218.1,-0.3020,261.9,0.3248,29.0500,0.0576,0.0190,0.0386
59,0.0781,0.3461,0.1354,0.0464,217.9,-0.3038,262.1,0.3261,29.1723,0.0578,0.0191,0.0387
60,0.0783,0.3476,0.1364,0.0465,218.4,-0.3045,261.6,0.3281,29.3990,0.0580,0.0192,0.0388
61,0.0784,0.3489,0.1374,0.0466,218.7,-0.3055,261.3,0.3300,29.5063,0.0582,0.0193,0.0389
62,0.0785,0.3503,0.1384,0.0467,218.9,-0.3066,261.1,0.3316,29.7376,0.0583,0.0194,0.0389
63,0.0785,0.3516,0.1393,0.0467,219.2,-0.3076,260.8,0.3333,29.8660,0.0584,0.0194,0.0390
64,0.0786,0.3529,0.1402,0.0468,219.0,-0.3091,261.0,0.3342,29.9985,0.0585,0.0194,0.0391
65,0.0786,0.3541,0.1411,0.0469,219.1,-0.3103,260.9,0.3356,30.1415,0.0586,0.0194,0.0392
66,0.0787,0.3553,0.1419,0.0469,219.2,-0.3113,260.8,0.3369,30.2756,0.0587,0.0194,0.0392
67,0.0787,0.3565,0.1427,0.0470,219.1,-0.3126,260.9,0.3378,30.4426,0.0587,0.0194,0.0393
68,0.0788,0.3576,0.1435,0.0471,219.3,-0.3134,260.7,0.3391,30.5475,0.0588,0.0194,0.0394
