step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
197,0.0872,0.4008,0.1739,0.0467,216.0,-0.3561,264.0,0.3831,36.1365,0.0636,0.0315,0.0322
198,0.0872,0.4008,0.1739,0.0467,216.0,-0.3561,264.0,0.3832,36.0974,0.0636,0.0316,0.0321
199,0.0873,0.4009,0.1739,0.0467,216.0,-0.3562,264.0,0.3833,36.0974,0.0636,0.0317,0.0320
200,0.0873,0.4009,0.1740,0.0466,216.0,-0.3562,264.0,0.3834,36.1145,0.0636,0.0318,0.0319
201,0.0874,0.4010,0.1740,0.0466,216.0,-0.3562,264.0,0.3835,36.1145,0.0636,0.0318,0.0318
202,0.0874,0.4011,0.1741,0.0466,216.0,-0.3562,264.0,0.3836,36.1214,0.0637,0.0319,0.0317
203,0.0875,0.4011,0.1741,0.0466,216.0,-0.3562,264.0,0.3836,36.1612,0.0637,0.0320,0.0316
204,0.0875,0.4012,0.1741,0.0466,216.0,-0.3562,264.0,0.3837,36.1612,0.0637,0.0321,0.0316
205,0.0875,0.4012,0.1742,0.0466,216.0,-0.3562,264.0,0.3838,36.1707,0.0637,0.0321,0.0315
206,0.0876,0.4013,0.1742,0.0466,216.0,-0.3562,264.0,0.3839,36.2006,0.0637,0.0322,0.0314
207,0.0876,0.4013,0.1742,0.0466,216.0,-0.3563,264.0,0.3840,36.2006,0.0637,0.0323,0.0314
208,0.0876,0.4013,0.1743,0.0466,216.0,-0.3563,264.0,0.3840,36.2177,0.0637,0.0323,0.0313
209,0.0877,0.4014,0.1743,0.0466,216.0,-0.3563,264.0,0.3841,36.2177,0.0637,0.0324,0.0313
210,0.0877,0.4014,0.1743,0.0466,216.0,-0.3563,264.0,0.3842,36.2177,0.0637,0.0324,0.0312
211,0.0877,0.4015,0.1743,0.0466,216.0,-0.3563,264.0,0.3842,36.2177,0.0637,0.0325,0.0312
212,0.0877,0.4015,0.1744,0.0466,216.0,-0.3563,264.0,0.3843,36.2177,0.0637,0.0325,0.0311
213,0.0878,0.4015,0.1744,0.0466,215.9,-0.3565,264.1,0.3841,36.2177,0.0637,0.0326,0.0311
214,0.0878,0.4016,0.1744,0.0466,215.9,-0.3565,264.1,0.3842,36.2177,0.0637,0.0326,0.0310
215,0.0878,0.4016,0.1745,0.0466,215.8,-0.3567,264.2,0.3841,36.2177,0.0637,0.0327,0.0310
216,0.0878,0.4016,0.1745,0.0466,215.8,-0.3567,264.2,0.3842,36.2400,0.0637,0.0327,0.0309
217,0.0879,0.4017,0.1745,0.0466,215.8,-0.3567,264.2,0.3842,36.2400,0.0637,0.0328,0.0309
218,0.0879,0.4017,0.1745,0.0466,215.8,-0.3567,264.2,0.3843,36.2661,0.0637,0.0328,0.0308
219,0.0879,0.4018,0.1745,0.0466,215.8,-0.3567,264.2,0.3843,36.2661,0.0637,0.0329,0.0308
220,0.0879,0.4018,0.1746,0.0466,215.8,-0.3567,264.2,0.3844,36.2661,0.0637,0.0329,0.0307
221,0.0880,0.4018,0.1746,0.0466,215.8,-0.3567,264.2,0.3844,36.2661,0.0637,0.0330,0.0307
222,0.0880,0.4019,0.1746,0.0466,215.8,-0.3568,264.2,0.3845,36.2661,0.0637,0.0330,0.0306
223,0.0880,0.4019,0.1746,0.0466,215.8,-0.3568,264.2,0.3845,36.2661,0.0637,0.0330,0.0306
224,0.0880,0.4019,0.1746,0.0466,215.8,-0.3568,264.2,0.3846,36.2714,0.0637,0.0331,0.0306
225,0.0880,0.4019,0.1747,0.0466,215.8,-0.3568,264.2,0.3846,36.2714,0.0637,0.0331,0.0305
226,0.0881,0.4020,0.1747,0.0466,215.8,-0.3568,264.2,0.3847,36.2767,0.0636,0.0331,0.0305
227,0.0881,0.4020,0.1747,0.0466,215.8,-0.3568,264.2,0.3847,36.2767,0.0636,0.0332,0.0305
228,0.0881,0.4020,0.1747,0.0466,215.8,-0.3568,264.2,0.3847,36.2835,0.0636,0.0332,0.0304
229,0.0881,0.4020,0.1747,0.0466,215.8,-0.3568,264.2,0.3848,36.2835,0.0636,0.0332,0.0304
230,0.0881,0.4021,0.1747,0.0466,215.8,-0.3568,264.2,0.3848,36.2835,0.0636,0.0333,0.0304
231,0.0881,0.4021,0.1748,0.0466,215.9,-0.3567,264.1,0.3850,36.2835,0.0636,0.0333,0.0304
232,0.0881,0.4021,0.1748,0.0466,215.9,-0.3567,264.1,0.3851,36.2835,0.0636,0.0333,0.0303
233,0.0882,0.4021,0.1748,0.0466,215.9,-0.3567,264.1,0.3851,36.2637,0.0636,0.0333,0.0303
234,0.0882,0.4021,0.1748,0.0466,215.9,-0.3567,264.1,0.3851,36.2807,0.0636,0.0334,0.0303
235,0.0882,0.4022,0.1748,0.0466,215.9,-0.3567,264.1,0.3851,36.2807,0.0636,0.0334,0.0303
236,0.0882,0.4022,0.1748,0.0466,215.9,-0.3568,264.1,0.3852,36.3065,0.0636,0.0334,0.0302
237,0.0882,0.4022,0.1748,0.0466,215.9,-0.3568,264.1,0.3852,36.3065,0.0636,0.0334,0.0302
238,0.0882,0.4022,0.1749,0.0466,215.9,-0.3568,264.1,0.3852,36.3065,0.0636,0.0334,0.0302
239,0.0882,0.4022,0.1749,0.0466,215.9,-0.3568,264.1,0.3852,36.3065,0.0636,0.0334,0.0302
240,0.0882,0.4022,0.1749,0.0466,215.9,-0.3568,264.1,0.3853,36.3221,0.0636,0.0335,0.0302
241,0.0882,0.4023,0.1749,0.0466,215.9,-0.3568,264.1,0.3853,36.3153,0.0636,0.0335,0.0302
242,0.0882,0.4023,0.1749,0.0466,215.9,-0.3568,264.1,0.3853,36.3153,0.0636,0.0335,0.0301
243,0.0882,0.4023,0.1749,0.0466,215.9,-0.3568,264.1,0.3853,36.3352,0.0636,0.0335,0.0301
244,0.0882,0.4023,0.1749,0.0466,215.9,-0.3568,264.1,0.3853,36.3282,0.0636,0.0335,0.0301
245,0.0882,0.4023,0.1749,0.0466,215.9,-0.3568,264.1,0.3854,36.3282,0.0636,0.0335,0.0301
246,0.0883,0.4023,0.1749,0.0466,215.9,-0.3569,264.1,0.3854,36.3282,0.0636,0.0335,0.0301
247,0.0883,0.4023,0.1749,0.0466,215.9,-0.3569,264.1,0.3854,36.3282,0.0636,0.0335,0.0301
248,0.0883,0.4024,0.1749,0.0466,215.9,-0.3569,264.1,0.3854,36.3282,0.0636,0.0336,0.0301
249,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3854,36.3282,0.0636,0.0336,0.0300
250,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3854,36.3282,0.0636,0.0336,0.0300
251,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3309,0.0636,0.0336,0.0300
252,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3309,0.0636,0.0336,0.0300
253,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3309,0.0636,0.0336,0.0300
254,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3309,0.0636,0.0336,0.0300
255,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3480,0.0636,0.0336,0.0300
256,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3480,0.0636,0.0336,0.0300
257,0.0883,0.4024,0.1750,0.0466,215.9,-0.3569,264.1,0.3855,36.3480,0.0636,0.0336,0.0300
258,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3855,36.3480,0.0636,0.0336,0.0300
259,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0336,0.0299
260,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0336,0.0299
261,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
262,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
263,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
264,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
265,0.0883,0.4025,0.1750,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
266,0.0883,0.4025,0.1751,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
267,0.0883,0.4025,0.1751,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
268,0.0883,0.4025,0.1751,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
269,0.0883,0.4025,0.1751,0.0466,215.9,-0.3570,264.1,0.3856,36.3480,0.0636,0.0337,0.0299
270,0.0883,0.4025,0.1751,0.0466,215.9,-0.3570,264.1,0.3857,36.3480,0.0636,0.0337,0.0299
271,0.0883,0.4026,0.1751,0.0466,215.9,-0.3570,264.1,0.3857,36.3480,0.0636,0.0337,0.0299
272,0.0883,0.4026,0.1751,0.0466,215.9,-0.3570,264.1,0.3857,36.3480,0.0636,0.0337,0.0299
273,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3480,0.0636,0.0337,0.0299
274,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3480,0.0636,0.0337,0.0298
275,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3480,0.0636,0.0337,0.0298
276,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0636,0.0337,0.0298
277,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
278,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
279,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
280,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
281,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
282,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
283,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
284,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
285,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
286,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
287,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3857,36.3533,0.0635,0.0337,0.0298
288,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3858,36.3533,0.0635,0.0337,0.0298
289,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3858,36.3533,0.0635,0.0337,0.0298
290,0.0883,0.4026,0.1751,0.0466,215.9,-0.3571,264.1,0.3858,36.3533,0.0635,0.0337,0.0298
291,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0298
292,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0298
293,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0298
294,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0298
295,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0298
296,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0297
297,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0297
298,0.0883,0.4027,0.1751,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0297
299,0.0883,0.4027,0.1752,0.0466,215.9,-0.3572,264.1,0.3858,36.3533,0.0635,0.0338,0.0297
