step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
54,0.2004,0.2007,0.0349,0.0075,16,-0.0048,464,0.1730,0.0000,0.2950,0.0757,0.2192
55,0.2022,0.2025,0.0351,0.0076,14,-0.0051,466,0.1742,0.0000,0.2966,0.0778,0.2188
56,0.2040,0.2043,0.0352,0.0076,14,-0.0047,466,0.1761,0.0000,0.2982,0.0799,0.2183
57,0.2058,0.2060,0.0354,0.0077,14,-0.0043,466,0.1780,0.0000,0.2997,0.0820,0.2177
58,0.2076,0.2078,0.0356,0.0078,12,-0.0046,468,0.1792,0.0000,0.3012,0.0841,0.2171
59,0.2094,0.2096,0.0357,0.0078,11,-0.0046,469,0.1807,0.0000,0.3026,0.0863,0.2163
60,0.2112,0.2113,0.0359,0.0079,10,-0.0047,470,0.1822,0.0000,0.3040,0.0885,0.2155
61,0.2129,0.2131,0.0360,0.0080,10,-0.0044,470,0.1841,0.0000,0.3053,0.0907,0.2146
62,0.2147,0.2149,0.0362,0.0081,10,-0.0041,470,0.1860,0.0000,0.3066,0.0930,0.2137
63,0.2165,0.2167,0.0363,0.0081,10,-0.0039,470,0.1878,0.0000,0.3079,0.0952,0.2126
64,0.2183,0.2184,0.0364,0.0082,9,-0.0040,471,0.1893,0.0000,0.3091,0.0976,0.2116
65,0.2201,0.2202,0.0365,0.0083,9,-0.0037,471,0.1912,0.0000,0.3103,0.0999,0.2104
66,0.2218,0.2220,0.0367,0.0084,9,-0.0034,471,0.1931,0.0000,0.3114,0.1023,0.2092
67,0.2236,0.2237,0.0368,0.0084,8,-0.0036,472,0.1946,0.0000,0.3125,0.1047,0.2079
68,0.2254,0.2255,0.0369,0.0085,7,-0.0038,473,0.1960,0.0000,0.3136,0.1071,0.2065
69,0.2272,0.2273,0.0370,0.0086,6,-0.0042,474,0.1975,0.0000,0.3146,0.1095,0.2051
70,0.2290,0.2291,0.0371,0.0087,6,-0.0040,474,0.1994,0.0000,0.3157,0.1120,0.2037
71,0.2307,0.2308,0.0372,0.0088,6,-0.0039,474,0.2012,0.0000,0.3166,0.1144,0.2022
72,0.2325,0.2326,0.0373,0.0088,6,-0.0037,474,0.2031,0.0000,0.3176,0.1169,0.2006
73,0.2343,0.2344,0.0374,0.0089,6,-0.0035,474,0.2050,0.0000,0.3185,0.1195,0.1990
74,0.2361,0.2362,0.0375,0.0090,6,-0.0033,474,0.2069,0.0000,0.3194,0.1220,0.1974
75,0.2379,0.2379,0.0376,0.0091,6,-0.0031,474,0.2087,0.0000,0.3203,0.1245,0.1957
76,0.2396,0.2397,0.0377,0.0092,6,-0.0030,474,0.2106,0.0000,0.3211,0.1271,0.1940
77,0.2414,0.2415,0.0379,0.0093,6,-0.0028,474,0.2125,0.0000,0.3219,0.1297,0.1922
78,0.2432,0.2432,0.0380,0.0094,6,-0.0026,474,0.2144,0.0000,0.3227,0.1323,0.1904
79,0.2449,0.2450,0.0381,0.0095,6,-0.0024,474,0.2162,0.0000,0.3235,0.1349,0.1886
80,0.2467,0.2468,0.0382,0.0096,4,-0.0034,476,0.2172,0.0000,0.3243,0.1375,0.1868
81,0.2485,0.2485,0.0383,0.0097,4,-0.0032,476,0.2190,0.0000,0.3250,0.1401,0.1849
82,0.2502,0.2503,0.0384,0.0098,4,-0.0030,476,0.2209,0.0000,0.3257,0.1428,0.1830
83,0.2520,0.2520,0.0385,0.0099,4,-0.0029,476,0.2227,0.0000,0.3264,0.1454,0.1810
84,0.2538,0.2538,0.0386,0.0100,4,-0.0027,476,0.2246,0.0000,0.3271,0.1481,0.1791
85,0.2555,0.2555,0.0387,0.0100,4,-0.0025,476,0.2264,0.0000,0.3278,0.1507,0.1771
86,0.2572,0.2573,0.0388,0.0101,4,-0.0023,476,0.2282,0.0000,0.3284,0.1534,0.1751
87,0.2590,0.2590,0.0390,0.0102,4,-0.0021,476,0.2300,0.0000,0.3291,0.1560,0.1730
88,0.2607,0.2607,0.0391,0.0103,4,-0.0019,476,0.2319,0.0000,0.3297,0.1587,0.1710
89,0.2624,0.2625,0.0392,0.0104,4,-0.0018,476,0.2337,0.0000,0.3303,0.1613,0.1690
90,0.2642,0.2642,0.0393,0.0105,4,-0.0016,476,0.2355,0.0000,0.3309,0.1640,0.1669
91,0.2659,0.2659,0.0394,0.0106,3,-0.0019,477,0.2368,0.0000,0.3314,0.1666,0.1648
92,0.2676,0.2676,0.0395,0.0107,3,-0.0018,477,0.2386,0.0000,0.3320,0.1692,0.1627
93,0.2693,0.2693,0.0396,0.0108,3,-0.0016,477,0.2403,0.0000,0.3325,0.1719,0.1607
94,0.2710,0.2710,0.0398,0.0109,3,-0.0015,477,0.2421,0.0000,0.3331,0.1745,0.1586
95,0.2726,0.2726,0.0399,0.0110,3,-0.0013,477,0.2439,0.0000,0.3336,0.1771,0.1565
96,0.2743,0.2743,0.0400,0.0111,2,-0.0019,478,0.2451,0.0000,0.3341,0.1797,0.1544
97,0.2760,0.2760,0.0401,0.0112,2,-0.0018,478,0.2468,0.0000,0.3346,0.1823,0.1523
98,0.2776,0.2776,0.0402,0.0113,2,-0.0017,478,0.2485,0.0000,0.3351,0.1849,0.1502
99,0.2792,0.2792,0.0403,0.0114,2,-0.0016,478,0.2503,0.0000,0.3356,0.1875,0.1481
100,0.2809,0.2809,0.0404,0.0115,2,-0.0014,478,0.2519,0.0000,0.3360,0.1901,0.1460
101,0.2825,0.2825,0.0406,0.0116,2,-0.0013,478,0.2536,0.0000,0.3365,0.1926,0.1439
102,0.2841,0.2841,0.0407,0.0117,2,-0.0012,478,0.2553,0.0000,0.3369,0.1952,0.1418
103,0.2857,0.2857,0.0408,0.0118,2,-0.0011,478,0.2570,0.0000,0.3374,0.1977,0.1397
104,0.2872,0.2872,0.0409,0.0119,2,-0.0010,478,0.2586,0.0000,0.3378,0.2002,0.1376
105,0.2888,0.2888,0.0410,0.0120,2,-0.0009,478,0.2602,0.0000,0.3382,0.2027,0.1356
106,0.2903,0.2903,0.0411,0.0120,2,-0.0008,478,0.2619,0.0000,0.3386,0.2051,0.1335
107,0.2919,0.2919,0.0412,0.0121,2,-0.0007,478,0.2635,0.0000,0.3390,0.2076,0.1315
108,0.2934,0.2934,0.0413,0.0122,2,-0.0006,478,0.2651,0.0000,0.3394,0.2100,0.1294
109,0.2949,0.2949,0.0414,0.0123,2,-0.0005,478,0.2666,0.0000,0.3398,0.2124,0.1274
110,0.2964,0.2964,0.0415,0.0124,2,-0.0004,478,0.2682,0.0000,0.3402,0.2148,0.1254
111,0.2979,0.2979,0.0416,0.0125,2,-0.0003,478,0.2697,0.0000,0.3406,0.2172,0.1234
112,0.2993,0.2993,0.0417,0.0126,2,-0.0002,478,0.2713,0.0000,0.3409,0.2195,0.1214
113,0.3008,0.3008,0.0418,0.0127,2,-0.0001,478,0.2728,0.0000,0.3413,0.2219,0.1194
114,0.3022,0.3022,0.0419,0.0127,1,-0.0001,479,0.2737,0.0000,0.3417,0.2242,0.1175
115,0.3036,0.3036,0.0420,0.0128,1,-0.0000,479,0.2752,0.0000,0.3420,0.2265,0.1155
116,0.3050,0.3050,0.0421,0.0129,0,0.0000,480,0.2761,0.0000,0.3423,0.2287,0.1136
117,0.3064,0.3064,0.0422,0.0130,0,0.0000,480,0.2775,0.0000,0.3427,0.2309,0.1117
118,0.3078,0.3078,0.0423,0.0131,0,0.0000,480,0.2789,0.0000,0.3430,0.2332,0.1098
119,0.3091,0.3091,0.0424,0.0132,0,0.0000,480,0.2803,0.0000,0.3433,0.2353,0.1080
120,0.3105,0.3105,0.0425,0.0132,0,0.0000,480,0.2817,0.0000,0.3436,0.2375,0.1061
121,0.3118,0.3118,0.0426,0.0133,0,0.0000,480,0.2831,0.0000,0.3439,0.2396,0.1043
122,0.3131,0.3131,0.0427,0.0134,0,0.0000,480,0.2845,0.0000,0.3442,0.2418,0.1025
123,0.3144,0.3144,0.0427,0.0135,0,0.0000,480,0.2858,0.0000,0.3445,0.2438,0.1007
124,0.3156,0.3156,0.0428,0.0135,0,0.0000,480,0.2871,0.0000,0.3448,0.2459,0.0989
125,0.3169,0.3169,0.0429,0.0136,0,0.0000,480,0.2884,0.0000,0.3451,0.2479,0.0972
126,0.3181,0.3181,0.0430,0.0137,0,0.0000,480,0.2897,0.0000,0.3454,0.2500,0.0954
127,0.3194,0.3194,0.0431,0.0138,0,0.0000,480,0.2910,0.0000,0.3457,0.2519,0.0937
128,0.3206,0.3206,0.0431,0.0138,0,0.0000,480,0.2922,0.0000,0.3459,0.2539,0.0920
129,0.3217,0.3217,0.0432,0.0139,0,0.0000,480,0.2935,0.0000,0.3462,0.2558,0.0904
130,0.3229,0.3229,0.0433,0.0140,0,0.0000,480,0.2947,0.0000,0.3465,0.2577,0.0887
131,0.3241,0.3241,0.0433,0.0140,0,0.0000,480,0.2959,0.0000,0.3467,0.2596,0.0871
132,0.3252,0.3252,0.0434,0.0141,0,0.0000,480,0.2971,0.0000,0.3470,0.2615,0.0855
133,0.3263,0.3263,0.0435,0.0142,0,0.0000,480,0.2983,0.0000,0.3472,0.2633,0.0839
134,0.3274,0.3274,0.0435,0.0142,0,0.0000,480,0.2994,0.0000,0.3474,0.2651,0.0823
135,0.3285,0.3285,0.0436,0.0143,0,0.0000,480,0.3006,0.0000,0.3477,0.2669,0.0808
136,0.3296,0.3296,0.0437,0.0143,0,0.0000,480,0.3017,0.0000,0.3479,0.2687,0.0793
137,0.3307,0.3307,0.0437,0.0144,0,0.0000,480,0.3028,0.0000,0.3481,0.2704,0.0778
138,0.3317,0.3317,0.0438,0.0145,0,0.0000,480,0.3039,0.0000,0.3484,0.2721,0.0763
139,0.3327,0.3327,0.0438,0.0145,0,0.0000,480,0.3049,0.0000,0.3486,0.2738,0.0748
140,0.3338,0.3338,0.0439,0.0146,0,0.0000,480,0.3060,0.0000,0.3488,0.2754,0.0734
141,0.3348,0.3348,0.0439,0.0146,0,0.0000,480,0.3070,0.0000,0.3490,0.2770,0.0720
142,0.3357,0.3357,0.0440,0.0147,0,0.0000,480,0.3081,0.0000,0.3492,0.2786,0.0706
143,0.3367,0.3367,0.0440,0.0147,0,0.0000,480,0.3091,0.0000,0.3494,0.2802,0.0692
144,0.3377,0.3377,0.0441,0.0148,0,0.0000,480,0.3101,0.0000,0.3496,0.2818,0.0679
145,0.3386,0.3386,0.0441,0.0148,0,0.0000,480,0.3110,0.0000,0.3498,0.2833,0.0665
146,0.3395,0.3395,0.0442,0.0149,0,0.0000,480,0.3120,0.0000,0.3500,0.2848,0.0652
147,0.3404,0.3404,0.0442,0.0150,0,0.0000,480,0.3129,0.0000,0.3502,0.2863,0.0639
148,0.3413,0.3413,0.0442,0.0150,0,0.0000,480,0.3139,0.0000,0.3504,0.2877,0.0627
149,0.3422,0.3422,0.0443,0.0150,0,0.0000,480,0.3148,0.0000,0.3506,0.2892,0.0614
150,0.3430,0.3430,0.0443,0.0151,0,0.0000,480,0.3157,0.0000,0.3508,0.2906,0.0602
151,0.3439,0.3439,0.0443,0.0151,0,0.0000,480,0.3166,0.0000,0.3510,0.2920,0.0590
152,0.3447,0.3447,0.0444,0.0152,0,0.0000,480,0.3174,0.0000,0.3512,0.2933,0.0578
153,0.3455,0.3455,0.0444,0.0152,0,0.0000,480,0.3183,0.0000,0.3513,0.2947,0.0567
154,0.3464,0.3464,0.0444,0.0153,0,0.0000,480,0.3191,0.0000,0.3515,0.2960,0.0555
155,0.3471,0.3471,0.0445,0.0153,0,0.0000,480,0.3199,0.0000,0.3517,0.2973,0.0544
156,0.3479,0.3479,0.0445,0.0154,0,0.0000,480,0.3208,0.0000,0.3518,0.2986,0.0533
157,0.3487,0.3487,0.0445,0.0154,0,0.0000,480,0.3216,0.0000,0.3520,0.2998,0.0522
158,0.3494,0.3494,0.0445,0.0154,0,0.0000,480,0.3223,0.0000,0.3522,0.3010,0.0511
159,0.3502,0.3502,0.0446,0.0155,0,0.0000,480,0.3231,0.0000,0.3523,0.3023,0.0501
160,0.3509,0.3509,0.0446,0.0155,0,0.0000,480,0.3239,0.0000,0.3525,0.3034,0.0490
