agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,-0.0482,-0.0193,-0.0290,-0.0482
1,-1,1,-0.8006,-0.3202,-0.7800,-1.1002
2,-1,0,-0.3592,-0.1436,-0.2335,-0.3772
3,-1,0,-0.4572,-0.1829,-0.3109,-0.4938
4,-1,1,-0.2628,-0.1051,-0.1640,-0.2691
5,-1,0,0.3683,0.1473,0.2392,0.3865
6,-1,1,0.3205,0.1282,0.2040,0.3322
7,-1,0,-0.0522,-0.0209,-0.0318,-0.0527
8,-1,0,-0.3412,-0.1365,-0.2195,-0.3560
9,-1,0,-0.5570,-0.2228,-0.4057,-0.6284
10,-1,0,-0.7382,-0.2953,-0.6513,-0.9466
11,-1,0,-0.6457,-0.2583,-0.5096,-0.7679
12,1,1,-0.3371,-0.1349,-0.2160,-0.3509
13,1,1,0.5113,0.2045,0.3600,0.5645
14,1,1,-0.3371,-0.1349,-0.2160,-0.3509
15,-1,1,-0.5814,-0.2325,-0.4320,-0.6645
16,-1,0,0.7448,0.2979,0.6631,0.9610
17,-1,0,0.1754,0.0702,0.1065,0.1767
18,1,0,-0.3018,-0.1207,-0.1911,-0.3118
19,1,1,0.3371,0.1349,0.2160,0.3509
20,-1,0,-0.0778,-0.0311,-0.0471,-0.0782
21,1,0,-0.2825,-0.1130,-0.1774,-0.2904
22,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
23,-1,0,-0.0000,-0.0000,0.0000,-0.0000
24,-1,0,-0.4224,-0.1690,-0.2817,-0.4506
25,1,1,0.2328,0.0931,0.1440,0.2371
26,1,0,-0.3319,-0.1328,-0.2122,-0.3449
27,-1,0,-0.7192,-0.2876,-0.6195,-0.9072
28,-1,1,-0.1191,-0.0476,-0.0720,-0.1196
29,-1,0,-0.6211,-0.2484,-0.4783,-0.7267
30,1,0,0.1812,0.0725,0.1107,0.1832
31,1,0,0.0919,0.0368,0.0554,0.0922
32,-1,0,-0.3325,-0.1330,-0.2127,-0.3457
33,-1,0,-0.8188,-0.3275,-0.8258,-1.1533
34,1,0,0.1275,0.0510,0.0772,0.1282
35,-1,0,-0.5667,-0.2267,-0.4159,-0.6426
36,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
37,1,0,-0.4828,-0.1931,-0.3336,-0.5267
38,-1,0,-0.4167,-0.1667,-0.2770,-0.4437
39,1,0,0.2328,0.0931,0.1440,0.2371
40,1,1,-0.6847,-0.2739,-0.5640,-0.8379
41,-1,0,-0.5080,-0.2032,-0.3581,-0.5612
42,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
43,-1,1,-0.6320,-0.2528,-0.4920,-0.7448
44,1,1,0.4301,0.1720,0.2880,0.4600
45,1,0,-0.3902,-0.1561,-0.2559,-0.4120
46,-1,0,-0.5789,-0.2316,-0.4292,-0.6608
47,-1,0,-0.6742,-0.2697,-0.5488,-0.8185
48,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
49,-1,0,-0.6637,-0.2655,-0.5339,-0.7994
50,1,0,-0.6632,-0.2653,-0.5332,-0.7984
51,-1,0,-0.6406,-0.2562,-0.5030,-0.7592
52,-1,1,0.2328,0.0931,0.1440,0.2371
53,-1,0,-0.3986,-0.1594,-0.2633,-0.4227
54,-1,0,0.4748,0.1899,0.3264,0.5163
55,-1,0,-0.5519,-0.2208,-0.4004,-0.6212
56,1,1,-0.2144,-0.0857,-0.1320,-0.2177
57,-1,1,0.4301,0.1720,0.2880,0.4600
58,-1,0,0.4860,0.1944,0.3364,0.5308
59,-1,0,-0.5257,-0.2103,-0.3739,-0.5842
60,-1,0,-0.5150,-0.2060,-0.3635,-0.5695
61,-1,0,-0.1833,-0.0733,-0.1132,-0.1865
62,1,1,-0.3371,-0.1349,-0.2160,-0.3509
63,-1,0,-0.7158,-0.2863,-0.6127,-0.8990
64,-1,0,0.5433,0.2173,0.3916,0.6089
65,-1,0,0.1482,0.0593,0.0895,0.1488
66,-1,0,0.5317,0.2127,0.3799,0.5926
67,-1,0,-0.6299,-0.2519,-0.4902,-0.7422
68,-1,1,0.3371,0.1349,0.2160,0.3509
69,1,0,-0.5434,-0.2174,-0.3916,-0.6089
70,1,1,-0.2328,-0.0931,-0.1440,-0.2371
71,-1,0,-0.6018,-0.2407,-0.4553,-0.6960
72,1,0,0.3095,0.1238,0.1962,0.3200
73,1,0,-0.0107,-0.0043,-0.0064,-0.0107
74,-1,0,0.1027,0.0411,0.0615,0.1026
75,-1,0,-0.6265,-0.2506,-0.4850,-0.7356
76,-1,0,0.0395,0.0158,0.0237,0.0395
77,-1,0,-0.3552,-0.1421,-0.2293,-0.3714
78,1,1,0.4301,0.1720,0.2880,0.4600
79,-1,0,0.7093,0.2837,0.6020,0.8858
80,-1,0,0.4595,0.1838,0.3128,0.4966
81,-1,0,-0.4667,-0.1867,-0.3196,-0.5063
82,-1,0,-0.9883,-0.3953,-2.1716,-2.5669
83,-1,0,0.2482,0.0993,0.1542,0.2535
84,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
85,1,0,-0.2793,-0.1117,-0.1753,-0.2870
86,-1,1,-0.3773,-0.1509,-0.2460,-0.3969
87,1,1,-0.3205,-0.1282,-0.2040,-0.3322
88,1,1,-0.4301,-0.1720,-0.2880,-0.4600
89,1,0,-0.2328,-0.0931,-0.1440,-0.2371
90,1,0,-0.1815,-0.0726,-0.1110,-0.1837
91,1,1,0.4301,0.1720,0.2880,0.4600
92,1,0,-0.1236,-0.0494,-0.0748,-0.1242
93,1,0,-0.1636,-0.0654,-0.1001,-0.1655
94,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
95,-1,0,0.2768,0.1107,0.1734,0.2841
96,1,0,-0.4744,-0.1897,-0.3259,-0.5157
97,-1,0,0.1238,0.0495,0.0748,0.1243
98,-1,0,0.4028,0.1611,0.2658,0.4269
99,1,0,-0.3153,-0.1261,-0.2007,-0.3268
100,-1,0,-0.7319,-0.2928,-0.6400,-0.9328
101,-1,0,-0.4828,-0.1931,-0.3336,-0.5267
102,-1,0,-0.5146,-0.2058,-0.3631,-0.5690
103,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
104,-1,0,0.4301,0.1720,0.2880,0.4600
105,-1,0,-0.5628,-0.2251,-0.4118,-0.6370
106,1,1,0.3371,0.1349,0.2160,0.3509
107,1,1,0.4301,0.1720,0.2880,0.4600
108,1,0,-0.4628,-0.1851,-0.3157,-0.5008
109,-1,0,-0.8284,-0.3314,-0.8518,-1.1832
110,-1,0,-0.3678,-0.1471,-0.2389,-0.3860
111,-1,0,-0.4209,-0.1683,-0.2804,-0.4487
112,-1,1,-0.2144,-0.0857,-0.1320,-0.2177
113,1,0,0.5636,0.2254,0.4126,0.6381
114,1,1,-0.5113,-0.2045,-0.3600,-0.5645
115,1,0,0.5636,0.2254,0.4126,0.6381
116,-1,0,0.1508,0.0603,0.0914,0.1518
117,-1,0,0.1647,0.0659,0.1003,0.1662
118,1,0,-0.3688,-0.1475,-0.2395,-0.3870
119,1,0,0.2014,0.0806,0.1237,0.2042
120,-1,0,-0.4180,-0.1672,-0.2787,-0.4459
121,1,0,0.0406,0.0162,0.0244,0.0406
122,1,0,-0.2171,-0.0868,-0.1340,-0.2208
123,-1,0,0.3279,0.1312,0.2093,0.3405
124,-1,0,-0.0974,-0.0389,-0.0592,-0.0982
125,-1,0,0.1633,0.0653,0.0995,0.1649
126,1,0,0.2478,0.0991,0.1539,0.2531
127,-1,1,0.1191,0.0476,0.0720,0.1196
128,-1,0,-0.4409,-0.1763,-0.2970,-0.4733
129,-1,0,0.3905,0.1562,0.2561,0.4124
130,-1,1,0.3371,0.1349,0.2160,0.3509
131,-1,1,0.1191,0.0476,0.0720,0.1196
132,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
