step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0023,0.0541,0.0038,0.0037,247,-0.0524,253,0.0558,0.0000,0.0032,-0.0001,0.0033
1,0.0024,0.0509,0.0034,0.0032,246,-0.0493,254,0.0525,0.0000,0.0033,-0.0001,0.0035
2,0.0025,0.0480,0.0030,0.0028,244,-0.0465,256,0.0493,0.0000,0.0035,-0.0002,0.0036
3,0.0026,0.0453,0.0027,0.0025,239,-0.0446,261,0.0459,0.0000,0.0036,-0.0002,0.0038
4,0.0028,0.0428,0.0024,0.0022,240,-0.0417,260,0.0438,0.0000,0.0038,-0.0002,0.0040
5,0.0029,0.0405,0.0021,0.0020,240,-0.0392,260,0.0417,0.0000,0.0039,-0.0002,0.0041
6,0.0030,0.0384,0.0019,0.0018,239,-0.0370,261,0.0396,0.0000,0.0041,-0.0001,0.0042
7,0.0031,0.0364,0.0017,0.0016,240,-0.0347,260,0.0380,0.0000,0.0042,-0.0001,0.0043
8,0.0032,0.0345,0.0016,0.0014,239,-0.0327,261,0.0362,0.0000,0.0044,-0.0001,0.0044
9,0.0034,0.0328,0.0014,0.0013,237,-0.0311,263,0.0344,0.0000,0.0045,-0.0000,0.0046
10,0.0035,0.0312,0.0013,0.0012,237,-0.0292,263,0.0330,0.0000,0.0047,0.0000,0.0047
11,0.0036,0.0297,0.0012,0.0010,234,-0.0279,266,0.0314,0.0000,0.0049,0.0001,0.0048
12,0.0038,0.0284,0.0011,0.0009,231,-0.0266,269,0.0299,0.0000,0.0050,0.0002,0.0049
13,0.0039,0.0271,0.0010,0.0009,230,-0.0252,270,0.0288,0.0000,0.0052,0.0002,0.0050
14,0.0041,0.0260,0.0009,0.0008,232,-0.0236,268,0.0281,0.0000,0.0054,0.0003,0.0050
15,0.0042,0.0249,0.0009,0.0007,230,-0.0225,270,0.0270,0.0000,0.0055,0.0004,0.0051
16,0.0044,0.0240,0.0008,0.0006,228,-0.0215,272,0.0261,0.0000,0.0057,0.0005,0.0052
17,0.0045,0.0231,0.0008,0.0006,224,-0.0207,276,0.0250,0.0000,0.0059,0.0006,0.0053
18,0.0047,0.0223,0.0007,0.0005,224,-0.0196,276,0.0245,0.0000,0.0061,0.0007,0.0054
19,0.0049,0.0216,0.0007,0.0005,220,-0.0190,280,0.0236,0.0000,0.0063,0.0008,0.0055
20,0.0050,0.0209,0.0006,0.0005,219,-0.0181,281,0.0231,0.0000,0.0065,0.0009,0.0056
21,0.0052,0.0203,0.0006,0.0004,218,-0.0173,282,0.0226,0.0000,0.0067,0.0010,0.0057
22,0.0054,0.0197,0.0006,0.0004,217,-0.0165,283,0.0222,0.0000,0.0069,0.0011,0.0058
23,0.0056,0.0192,0.0006,0.0004,215,-0.0158,285,0.0217,0.0000,0.0071,0.0012,0.0059
24,0.0058,0.0187,0.0005,0.0003,210,-0.0155,290,0.0211,0.0000,0.0073,0.0013,0.0060
25,0.0059,0.0183,0.0005,0.0003,207,-0.0149,293,0.0207,0.0000,0.0075,0.0014,0.0061
26,0.0061,0.0179,0.0005,0.0003,205,-0.0144,295,0.0204,0.0000,0.0077,0.0015,0.0062
27,0.0063,0.0176,0.0005,0.0003,201,-0.0140,299,0.0200,0.0000,0.0080,0.0016,0.0063
28,0.0065,0.0173,0.0005,0.0003,198,-0.0136,302,0.0198,0.0000,0.0082,0.0017,0.0065
29,0.0068,0.0171,0.0005,0.0003,196,-0.0131,304,0.0196,0.0000,0.0084,0.0019,0.0066
30,0.0070,0.0168,0.0005,0.0002,194,-0.0127,306,0.0194,0.0000,0.0087,0.0020,0.0067
31,0.0072,0.0166,0.0005,0.0002,194,-0.0122,306,0.0195,0.0000,0.0089,0.0021,0.0068
32,0.0074,0.0164,0.0005,0.0002,190,-0.0119,310,0.0192,0.0000,0.0092,0.0022,0.0070
33,0.0076,0.0163,0.0005,0.0002,188,-0.0115,312,0.0192,0.0000,0.0095,0.0024,0.0071
34,0.0079,0.0162,0.0005,0.0002,185,-0.0112,315,0.0191,0.0000,0.0097,0.0025,0.0072
35,0.0081,0.0160,0.0005,0.0002,185,-0.0107,315,0.0192,0.0000,0.0100,0.0026,0.0074
36,0.0084,0.0160,0.0005,0.0002,183,-0.0104,317,0.0192,0.0000,0.0103,0.0028,0.0075
37,0.0086,0.0159,0.0005,0.0002,179,-0.0102,321,0.0191,0.0000,0.0106,0.0029,0.0077
38,0.0089,0.0159,0.0005,0.0002,178,-0.0098,322,0.0192,0.0000,0.0109,0.0031,0.0079
39,0.0092,0.0159,0.0005,0.0002,179,-0.0094,321,0.0195,0.0000,0.0112,0.0032,0.0080
40,0.0095,0.0159,0.0005,0.0002,178,-0.0090,322,0.0197,0.0000,0.0116,0.0034,0.0082
41,0.0097,0.0159,0.0006,0.0002,178,-0.0087,322,0.0199,0.0000,0.0119,0.0035,0.0084
42,0.0100,0.0160,0.0006,0.0002,175,-0.0084,325,0.0200,0.0000,0.0122,0.0037,0.0086
43,0.0104,0.0160,0.0006,0.0002,171,-0.0083,329,0.0201,0.0000,0.0126,0.0038,0.0088
44,0.0107,0.0161,0.0006,0.0002,170,-0.0080,330,0.0203,0.0000,0.0130,0.0040,0.0090
45,0.0110,0.0162,0.0006,0.0002,168,-0.0078,332,0.0205,0.0000,0.0134,0.0042,0.0092
46,0.0113,0.0164,0.0007,0.0002,168,-0.0075,332,0.0209,0.0000,0.0137,0.0043,0.0094
47,0.0117,0.0165,0.0007,0.0002,167,-0.0072,333,0.0212,0.0000,0.0142,0.0045,0.0097
48,0.0120,0.0167,0.0007,0.0002,167,-0.0070,333,0.0216,0.0000,0.0146,0.0047,0.0099
49,0.0124,0.0169,0.0008,0.0002,165,-0.0068,335,0.0218,0.0000,0.0150,0.0049,0.0101
50,0.0128,0.0171,0.0008,0.0002,162,-0.0066,338,0.0221,0.0000,0.0154,0.0050,0.0104
51,0.0132,0.0173,0.0008,0.0002,160,-0.0064,340,0.0224,0.0000,0.0159,0.0052,0.0107
52,0.0136,0.0175,0.0009,0.0002,159,-0.0062,341,0.0228,0.0000,0.0164,0.0054,0.0110
53,0.0140,0.0178,0.0009,0.0002,160,-0.0059,340,0.0233,0.0000,0.0169,0.0056,0.0113
54,0.0144,0.0180,0.0010,0.0002,156,-0.0058,344,0.0236,0.0000,0.0174,0.0058,0.0116
55,0.0149,0.0183,0.0010,0.0002,155,-0.0056,345,0.0240,0.0000,0.0179,0.0060,0.0119
56,0.0153,0.0186,0.0011,0.0002,149,-0.0056,351,0.0242,0.0000,0.0184,0.0062,0.0122
57,0.0158,0.0190,0.0011,0.0002,146,-0.0055,354,0.0245,0.0000,0.0190,0.0065,0.0125
58,0.0163,0.0193,0.0012,0.0003,146,-0.0053,354,0.0251,0.0000,0.0196,0.0067,0.0129
59,0.0168,0.0197,0.0012,0.0003,142,-0.0052,358,0.0255,0.0000,0.0202,0.0069,0.0132
60,0.0173,0.0201,0.0013,0.0003,142,-0.0050,358,0.0261,0.0000,0.0208,0.0071,0.0136
61,0.0178,0.0205,0.0014,0.0003,139,-0.0049,361,0.0265,0.0000,0.0214,0.0074,0.0140
