step,community_0,community_1,community_2,community_4,community_7,community_9,community_10,community_11,community_12,community_13,community_14,community_16,community_18,community_20,community_22,community_25,community_26,community_28,community_29,community_31,community_34,community_37,community_38,community_79
0,0.0033,0.0021,0.0027,0.0037,0.0045,0.0032,0.0036,0.0030,0.0024,0.0037,0.0031,0.0030,0.0037,0.0043,0.0028,0.0029,0.0034,0.0033,0.0034,0.0046,0.0046,0.0048,0.0028,0.0035
1,0.0039,0.0020,0.0024,0.0039,0.0050,0.0024,0.0032,0.0034,0.0022,0.0039,0.0030,0.0033,0.0041,0.0037,0.0028,0.0025,0.0033,0.0034,0.0030,0.0041,0.0049,0.0039,0.0034,0.0037
2,0.0050,0.0021,0.0023,0.0043,0.0057,0.0026,0.0032,0.0045,0.0022,0.0044,0.0037,0.0040,0.0052,0.0035,0.0032,0.0026,0.0032,0.0037,0.0028,0.0041,0.0058,0.0036,0.0044,0.0041
3,0.0064,0.0025,0.0025,0.0049,0.0069,0.0034,0.0039,0.0061,0.0026,0.0050,0.0048,0.0048,0.0065,0.0037,0.0038,0.0029,0.0033,0.0041,0.0026,0.0044,0.0069,0.0035,0.0055,0.0047
4,0.0082,0.0030,0.0031,0.0057,0.0082,0.0047,0.0050,0.0082,0.0033,0.0059,0.0060,0.0058,0.0080,0.0042,0.0042,0.0034,0.0035,0.0046,0.0026,0.0051,0.0081,0.0039,0.0068,0.0052
5,0.0102,0.0037,0.0039,0.0067,0.0097,0.0065,0.0064,0.0106,0.0042,0.0069,0.0076,0.0068,0.0097,0.0049,0.0048,0.0041,0.0040,0.0052,0.0026,0.0061,0.0095,0.0045,0.0082,0.0062
6,0.0126,0.0045,0.0051,0.0078,0.0113,0.0085,0.0080,0.0131,0.0052,0.0081,0.0097,0.0079,0.0115,0.0057,0.0051,0.0049,0.0048,0.0059,0.0027,0.0072,0.0108,0.0054,0.0097,0.0073
7,0.0151,0.0054,0.0065,0.0091,0.0130,0.0108,0.0098,0.0155,0.0063,0.0089,0.0119,0.0091,0.0134,0.0066,0.0055,0.0057,0.0058,0.0065,0.0029,0.0085,0.0123,0.0068,0.0112,0.0086
8,0.0177,0.0063,0.0081,0.0105,0.0147,0.0132,0.0117,0.0179,0.0075,0.0099,0.0143,0.0104,0.0153,0.0076,0.0060,0.0067,0.0070,0.0072,0.0032,0.0098,0.0137,0.0084,0.0127,0.0100
9,0.0204,0.0073,0.0098,0.0120,0.0164,0.0156,0.0136,0.0204,0.0087,0.0108,0.0167,0.0116,0.0173,0.0086,0.0067,0.0076,0.0082,0.0079,0.0034,0.0112,0.0151,0.0101,0.0141,0.0115
10,0.0230,0.0083,0.0116,0.0136,0.0182,0.0178,0.0156,0.0229,0.0099,0.0117,0.0192,0.0129,0.0192,0.0096,0.0073,0.0086,0.0095,0.0086,0.0037,0.0126,0.0164,0.0120,0.0156,0.0130
11,0.0257,0.0094,0.0134,0.0152,0.0199,0.0200,0.0177,0.0253,0.0111,0.0126,0.0218,0.0141,0.0212,0.0106,0.0079,0.0096,0.0108,0.0093,0.0041,0.0141,0.0177,0.0139,0.0169,0.0146
12,0.0283,0.0104,0.0152,0.0168,0.0217,0.0220,0.0198,0.0277,0.0124,0.0135,0.0243,0.0153,0.0231,0.0117,0.0085,0.0106,0.0122,0.0099,0.0044,0.0149,0.0191,0.0159,0.0182,0.0163
13,0.0308,0.0114,0.0170,0.0185,0.0234,0.0240,0.0218,0.0301,0.0136,0.0145,0.0268,0.0164,0.0248,0.0126,0.0092,0.0116,0.0136,0.0106,0.0048,0.0157,0.0204,0.0177,0.0195,0.0179
14,0.0333,0.0124,0.0188,0.0201,0.0249,0.0248,0.0238,0.0323,0.0148,0.0155,0.0293,0.0176,0.0266,0.0136,0.0100,0.0126,0.0149,0.0112,0.0052,0.0166,0.0217,0.0197,0.0206,0.0196
15,0.0358,0.0134,0.0206,0.0218,0.0265,0.0254,0.0258,0.0345,0.0159,0.0165,0.0318,0.0186,0.0285,0.0145,0.0107,0.0136,0.0163,0.0117,0.0056,0.0176,0.0230,0.0216,0.0217,0.0212
16,0.0381,0.0144,0.0224,0.0234,0.0282,0.0261,0.0278,0.0363,0.0171,0.0175,0.0342,0.0197,0.0303,0.0154,0.0114,0.0146,0.0176,0.0122,0.0059,0.0186,0.0242,0.0236,0.0227,0.0229
17,0.0404,0.0154,0.0241,0.0249,0.0299,0.0266,0.0297,0.0380,0.0181,0.0185,0.0365,0.0207,0.0321,0.0163,0.0122,0.0155,0.0189,0.0127,0.0063,0.0197,0.0253,0.0256,0.0237,0.0245
18,0.0425,0.0163,0.0257,0.0265,0.0317,0.0270,0.0315,0.0396,0.0192,0.0194,0.0388,0.0216,0.0339,0.0171,0.0129,0.0164,0.0201,0.0131,0.0067,0.0207,0.0265,0.0276,0.0240,0.0262
19,0.0446,0.0172,0.0274,0.0280,0.0334,0.0275,0.0333,0.0411,0.0202,0.0204,0.0410,0.0225,0.0357,0.0179,0.0136,0.0173,0.0213,0.0135,0.0071,0.0218,0.0275,0.0295,0.0243,0.0278
