step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
198,0.1507,0.4068,0.1672,0.0480,182.4,-0.3404,297.6,0.3976,33.6807,0.1981,0.0407,0.1574
199,0.1508,0.4069,0.1672,0.0480,182.4,-0.3404,297.6,0.3977,33.6867,0.1982,0.0408,0.1574
200,0.1508,0.4070,0.1673,0.0480,182.4,-0.3404,297.6,0.3979,33.7018,0.1982,0.0408,0.1574
201,0.1509,0.4070,0.1673,0.0480,182.4,-0.3404,297.6,0.3980,33.7096,0.1983,0.0409,0.1574
202,0.1510,0.4071,0.1673,0.0480,182.4,-0.3404,297.6,0.3981,33.7112,0.1983,0.0410,0.1573
203,0.1510,0.4071,0.1674,0.0480,182.3,-0.3406,297.7,0.3980,33.7159,0.1984,0.0411,0.1573
204,0.1511,0.4072,0.1674,0.0480,182.3,-0.3406,297.7,0.3981,33.7159,0.1984,0.0411,0.1573
205,0.1511,0.4072,0.1674,0.0480,182.4,-0.3405,297.6,0.3983,33.7159,0.1985,0.0412,0.1573
206,0.1512,0.4073,0.1675,0.0480,182.4,-0.3405,297.6,0.3984,33.7485,0.1985,0.0413,0.1572
207,0.1512,0.4073,0.1675,0.0480,182.4,-0.3404,297.6,0.3985,33.7752,0.1985,0.0413,0.1572
208,0.1513,0.4074,0.1675,0.0480,182.4,-0.3404,297.6,0.3986,33.8039,0.1986,0.0414,0.1572
209,0.1513,0.4074,0.1676,0.0480,182.4,-0.3404,297.6,0.3986,33.8267,0.1986,0.0414,0.1572
210,0.1514,0.4075,0.1676,0.0480,182.4,-0.3404,297.6,0.3987,33.8404,0.1986,0.0415,0.1572
211,0.1514,0.4075,0.1676,0.0480,182.4,-0.3404,297.6,0.3988,33.8730,0.1987,0.0415,0.1572
212,0.1514,0.4075,0.1676,0.0480,182.4,-0.3404,297.6,0.3988,33.8730,0.1987,0.0415,0.1572
213,0.1515,0.4076,0.1677,0.0480,182.3,-0.3406,297.7,0.3987,33.8770,0.1987,0.0416,0.1572
214,0.1515,0.4076,0.1677,0.0480,182.3,-0.3406,297.7,0.3988,33.8770,0.1988,0.0416,0.1571
215,0.1515,0.4077,0.1677,0.0480,182.2,-0.3408,297.8,0.3987,33.8770,0.1988,0.0417,0.1571
216,0.1516,0.4077,0.1677,0.0480,182.1,-0.3410,297.9,0.3987,33.8770,0.1988,0.0417,0.1571
217,0.1516,0.4078,0.1677,0.0480,182.1,-0.3410,297.9,0.3987,33.8770,0.1989,0.0418,0.1571
218,0.1517,0.4078,0.1678,0.0480,182.1,-0.3410,297.9,0.3988,33.8920,0.1989,0.0418,0.1571
219,0.1517,0.4078,0.1678,0.0480,182.1,-0.3410,297.9,0.3989,33.8920,0.1989,0.0419,0.1571
220,0.1517,0.4079,0.1678,0.0480,182.1,-0.3410,297.9,0.3989,33.8920,0.1989,0.0419,0.1570
221,0.1518,0.4079,0.1678,0.0480,182.1,-0.3410,297.9,0.3990,33.8957,0.1990,0.0419,0.1570
222,0.1518,0.4079,0.1678,0.0479,182.1,-0.3410,297.9,0.3990,33.9040,0.1990,0.0420,0.1570
223,0.1518,0.4080,0.1679,0.0479,182.1,-0.3410,297.9,0.3991,33.9141,0.1990,0.0420,0.1570
224,0.1518,0.4080,0.1679,0.0479,182.1,-0.3410,297.9,0.3991,33.9338,0.1990,0.0420,0.1570
225,0.1519,0.4080,0.1679,0.0479,182.2,-0.3408,297.8,0.3993,33.9338,0.1990,0.0421,0.1570
226,0.1519,0.4080,0.1679,0.0479,182.2,-0.3409,297.8,0.3993,33.9385,0.1991,0.0421,0.1570
227,0.1519,0.4081,0.1679,0.0479,182.2,-0.3409,297.8,0.3994,33.9385,0.1991,0.0421,0.1570
228,0.1519,0.4081,0.1679,0.0479,182.2,-0.3409,297.8,0.3994,33.9385,0.1991,0.0421,0.1570
229,0.1520,0.4081,0.1680,0.0479,182.2,-0.3409,297.8,0.3995,33.9385,0.1991,0.0422,0.1570
230,0.1520,0.4081,0.1680,0.0479,182.2,-0.3409,297.8,0.3995,33.9385,0.1991,0.0422,0.1570
231,0.1520,0.4082,0.1680,0.0479,182.2,-0.3409,297.8,0.3995,33.9385,0.1991,0.0422,0.1570
232,0.1520,0.4082,0.1680,0.0479,182.1,-0.3411,297.9,0.3994,33.9612,0.1992,0.0422,0.1570
233,0.1520,0.4082,0.1680,0.0479,182.1,-0.3411,297.9,0.3994,33.9380,0.1992,0.0422,0.1570
234,0.1520,0.4082,0.1680,0.0479,182.1,-0.3411,297.9,0.3995,33.9590,0.1992,0.0422,0.1570
235,0.1521,0.4082,0.1680,0.0479,182.1,-0.3411,297.9,0.3995,33.9590,0.1992,0.0423,0.1570
236,0.1521,0.4082,0.1680,0.0479,182.1,-0.3411,297.9,0.3995,33.9590,0.1992,0.0423,0.1570
237,0.1521,0.4083,0.1680,0.0479,182.1,-0.3411,297.9,0.3995,33.9590,0.1993,0.0423,0.1570
238,0.1521,0.4083,0.1680,0.0479,182.1,-0.3411,297.9,0.3996,33.9630,0.1993,0.0423,0.1570
239,0.1521,0.4083,0.1681,0.0479,182.1,-0.3411,297.9,0.3996,33.9630,0.1993,0.0423,0.1570
240,0.1521,0.4083,0.1681,0.0479,182.1,-0.3411,297.9,0.3996,33.9630,0.1993,0.0423,0.1570
241,0.1521,0.4083,0.1681,0.0479,182.1,-0.3411,297.9,0.3996,33.9548,0.1993,0.0423,0.1570
242,0.1522,0.4083,0.1681,0.0479,182.1,-0.3411,297.9,0.3996,33.9548,0.1993,0.0423,0.1570
243,0.1522,0.4083,0.1681,0.0479,182.0,-0.3412,298.0,0.3996,33.9548,0.1994,0.0424,0.1570
244,0.1522,0.4083,0.1681,0.0479,182.0,-0.3412,298.0,0.3996,33.9315,0.1994,0.0424,0.1570
245,0.1522,0.4084,0.1681,0.0479,182.0,-0.3412,298.0,0.3996,33.9315,0.1994,0.0424,0.1570
246,0.1522,0.4084,0.1681,0.0479,182.0,-0.3412,298.0,0.3996,33.9332,0.1994,0.0424,0.1570
247,0.1522,0.4084,0.1681,0.0479,181.9,-0.3414,298.1,0.3995,33.9480,0.1994,0.0424,0.1570
248,0.1522,0.4084,0.1681,0.0479,181.9,-0.3414,298.1,0.3995,33.9480,0.1995,0.0424,0.1570
249,0.1522,0.4084,0.1681,0.0479,181.9,-0.3414,298.1,0.3995,33.9480,0.1995,0.0424,0.1571
250,0.1523,0.4084,0.1681,0.0479,181.9,-0.3414,298.1,0.3996,33.9644,0.1995,0.0424,0.1571
251,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1995,0.0424,0.1571
252,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1995,0.0424,0.1571
253,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1995,0.0424,0.1571
254,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1995,0.0425,0.1571
255,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1996,0.0425,0.1571
256,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3996,33.9644,0.1996,0.0425,0.1571
257,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
258,0.1523,0.4084,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
259,0.1523,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
260,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
261,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
262,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
263,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1996,0.0425,0.1571
264,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1997,0.0425,0.1571
265,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1997,0.0425,0.1571
266,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3997,33.9644,0.1997,0.0425,0.1571
267,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
268,0.1524,0.4085,0.1681,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
269,0.1524,0.4085,0.1682,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
270,0.1524,0.4085,0.1682,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
271,0.1524,0.4085,0.1682,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
272,0.1524,0.4085,0.1682,0.0479,181.9,-0.3413,298.1,0.3998,33.9644,0.1997,0.0425,0.1572
273,0.1524,0.4085,0.1682,0.0479,181.8,-0.3415,298.2,0.3997,33.9644,0.1997,0.0425,0.1572
274,0.1524,0.4085,0.1682,0.0479,181.8,-0.3415,298.2,0.3997,33.9644,0.1997,0.0426,0.1572
275,0.1524,0.4085,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9644,0.1997,0.0426,0.1572
276,0.1524,0.4085,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9690,0.1997,0.0426,0.1572
277,0.1524,0.4085,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9690,0.1997,0.0426,0.1572
278,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9690,0.1998,0.0426,0.1572
279,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9881,0.1998,0.0426,0.1572
280,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9881,0.1998,0.0426,0.1572
281,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3997,33.9881,0.1998,0.0426,0.1572
282,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
283,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
284,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
285,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
286,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
287,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
288,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
289,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
290,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
291,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
292,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
293,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
294,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
295,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
296,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
297,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
298,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1998,0.0426,0.1572
299,0.1525,0.4086,0.1682,0.0479,181.8,-0.3414,298.2,0.3998,33.9881,0.1999,0.0426,0.1572
