step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
49,0.1201,0.3331,0.1198,0.0468,189.2,-0.2756,290.8,0.3186,25.8177,0.1529,0.0206,0.1323
50,0.1209,0.3351,0.1211,0.0470,189.0,-0.2774,291.0,0.3208,26.0991,0.1544,0.0209,0.1335
51,0.1217,0.3371,0.1224,0.0472,189.0,-0.2789,291.0,0.3231,26.2860,0.1558,0.0211,0.1346
52,0.1225,0.3390,0.1237,0.0474,188.7,-0.2809,291.3,0.3250,26.4852,0.1572,0.0214,0.1358
53,0.1232,0.3408,0.1249,0.0476,189.0,-0.2819,291.0,0.3277,26.5841,0.1585,0.0217,0.1368
54,0.1239,0.3426,0.1261,0.0477,188.9,-0.2834,291.1,0.3296,26.7768,0.1598,0.0219,0.1379
55,0.1246,0.3443,0.1272,0.0479,188.4,-0.2857,291.6,0.3310,26.9602,0.1610,0.0221,0.1389
56,0.1253,0.3460,0.1283,0.0480,188.3,-0.2870,291.7,0.3329,27.1453,0.1622,0.0224,0.1398
57,0.1259,0.3476,0.1294,0.0482,188.2,-0.2884,291.8,0.3347,27.2407,0.1633,0.0227,0.1406
58,0.1266,0.3491,0.1304,0.0483,188.2,-0.2895,291.8,0.3365,27.4574,0.1644,0.0230,0.1414
59,0.1272,0.3506,0.1314,0.0484,188.4,-0.2902,291.6,0.3384,27.5992,0.1655,0.0233,0.1422
60,0.1277,0.3521,0.1323,0.0485,188.4,-0.2914,291.6,0.3401,27.8046,0.1665,0.0235,0.1430
61,0.1283,0.3535,0.1332,0.0487,188.4,-0.2924,291.6,0.3417,27.9415,0.1675,0.0237,0.1438
62,0.1288,0.3548,0.1341,0.0488,188.3,-0.2935,291.7,0.3432,28.0240,0.1684,0.0239,0.1445
63,0.1293,0.3561,0.1350,0.0488,188.3,-0.2946,291.7,0.3447,28.1945,0.1693,0.0240,0.1453
64,0.1297,0.3574,0.1358,0.0489,188.1,-0.2958,291.9,0.3459,28.2569,0.1702,0.0241,0.1461
65,0.1302,0.3586,0.1366,0.0490,188.1,-0.2967,291.9,0.3473,28.3779,0.1711,0.0242,0.1469
66,0.1306,0.3598,0.1374,0.0490,188.1,-0.2977,291.9,0.3487,28.4548,0.1720,0.0242,0.1478
67,0.1310,0.3610,0.1382,0.0490,187.9,-0.2990,292.1,0.3497,28.5156,0.1729,0.0243,0.1486
68,0.1314,0.3622,0.1389,0.0491,187.9,-0.2999,292.1,0.3511,28.5635,0.1737,0.0243,0.1494
69,0.1318,0.3633,0.1396,0.0491,187.8,-0.3009,292.2,0.3522,28.6959,0.1746,0.0244,0.1502
70,0.1322,0.3643,0.1403,0.0491,187.7,-0.3019,292.3,0.3533,28.8115,0.1754,0.0244,0.1510
71,0.1326,0.3654,0.1410,0.0492,187.8,-0.3024,292.2,0.3546,28.8931,0.1762,0.0245,0.1517
72,0.1330,0.3664,0.1416,0.0492,187.4,-0.3038,292.6,0.3553,29.0952,0.1770,0.0245,0.1525
73,0.1334,0.3673,0.1422,0.0493,187.5,-0.3044,292.5,0.3565,29.3278,0.1778,0.0246,0.1532
74,0.1337,0.3683,0.1428,0.0493,187.5,-0.3050,292.5,0.3576,29.4679,0.1785,0.0247,0.1538
75,0.1341,0.3692,0.1434,0.0493,187.5,-0.3057,292.5,0.3586,29.5372,0.1791,0.0247,0.1544
76,0.1344,0.3700,0.1440,0.0494,187.4,-0.3066,292.6,0.3595,29.6441,0.1798,0.0248,0.1550
77,0.1347,0.3709,0.1446,0.0494,187.3,-0.3074,292.7,0.3603,29.6586,0.1804,0.0248,0.1556
78,0.1349,0.3717,0.1451,0.0494,187.2,-0.3082,292.8,0.3611,29.7504,0.1810,0.0248,0.1562
79,0.1352,0.3725,0.1456,0.0494,186.9,-0.3092,293.1,0.3616,29.8154,0.1815,0.0249,0.1567
80,0.1356,0.3733,0.1461,0.0494,186.7,-0.3102,293.3,0.3624,29.8643,0.1821,0.0251,0.1570
81,0.1359,0.3741,0.1466,0.0494,186.3,-0.3113,293.7,0.3628,29.9599,0.1826,0.0253,0.1574
82,0.1363,0.3748,0.1471,0.0494,186.1,-0.3121,293.9,0.3635,30.0066,0.1832,0.0255,0.1577
83,0.1366,0.3756,0.1476,0.0494,186.0,-0.3127,294.0,0.3642,30.0899,0.1837,0.0257,0.1580
84,0.1369,0.3763,0.1480,0.0494,185.8,-0.3137,294.2,0.3649,30.1519,0.1842,0.0258,0.1584
85,0.1372,0.3770,0.1485,0.0494,185.8,-0.3142,294.2,0.3657,30.2469,0.1847,0.0260,0.1587
