agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,1,0.3371,0.1349,0.2160,0.3509
1,1,1,0.4301,0.1720,0.2880,0.4600
2,1,1,1.0000,0.4000,0.5040,0.9040
3,1,0,0.3716,0.1486,0.2416,0.3903
4,-1,1,-0.4397,-0.1759,-0.2960,-0.4719
5,-1,0,0.3182,0.1273,0.2023,0.3296
6,-1,0,-0.5405,-0.2162,-0.3887,-0.6049
7,1,1,0.3371,0.1349,0.2160,0.3509
8,-1,1,0.1191,0.0476,0.0720,0.1196
9,1,1,-0.2328,-0.0931,-0.1440,-0.2371
10,-1,0,-0.8019,-0.3208,-0.7833,-1.1041
11,1,0,-0.4285,-0.1714,-0.2867,-0.4580
12,-1,0,-0.4985,-0.1994,-0.3480,-0.5474
13,1,0,-0.2569,-0.1028,-0.1600,-0.2628
14,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
15,1,1,0.2328,0.0931,0.1440,0.2371
16,1,0,0.5678,0.2271,0.4172,0.6443
17,-1,0,-0.8687,-0.3475,-0.9802,-1.3277
18,-1,1,0.5814,0.2326,0.4320,0.6646
19,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
20,-1,0,0.4326,0.1730,0.2900,0.4630
21,-1,0,-0.4301,-0.1720,-0.2880,-0.4600
22,1,1,1.0000,0.4000,0.3720,0.7720
23,-1,1,-0.4986,-0.1994,-0.3480,-0.5474
24,1,1,0.3371,0.1349,0.2160,0.3509
25,-1,0,0.2328,0.0931,0.1440,0.2371
26,1,1,-0.4154,-0.1662,-0.2760,-0.4422
27,1,1,-0.2328,-0.0931,-0.1440,-0.2371
28,1,0,-0.4656,-0.1863,-0.3182,-0.5045
29,-1,1,0.2328,0.0931,0.1440,0.2371
30,1,1,1.0000,0.4000,0.5040,0.9040
31,1,0,0.4301,0.1720,0.2880,0.4600
32,-1,1,0.3371,0.1349,0.2160,0.3509
33,-1,1,0.3371,0.1349,0.2160,0.3509
34,1,0,-0.1728,-0.0691,-0.1053,-0.1744
35,-1,0,-0.6770,-0.2708,-0.5528,-0.8236
36,-1,0,-0.6003,-0.2401,-0.4536,-0.6937
37,1,1,-0.2628,-0.1051,-0.1640,-0.2691
38,-1,0,0.0152,0.0061,0.0084,0.0145
39,1,0,-0.5991,-0.2397,-0.4521,-0.6918
40,1,0,0.2261,0.0904,0.1397,0.2301
41,-1,0,-0.1966,-0.0786,-0.1206,-0.1992
42,-1,1,0.3371,0.1349,0.2160,0.3509
43,1,1,0.3371,0.1349,0.2160,0.3509
44,-1,0,-0.5796,-0.2318,-0.4300,-0.6619
45,1,0,0.6779,0.2712,0.5541,0.8253
46,1,0,-0.4154,-0.1662,-0.2760,-0.4422
47,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
48,1,0,0.4249,0.1700,0.2837,0.4537
49,-1,1,-0.8487,-0.3395,-0.9120,-1.2515
50,-1,0,-0.0406,-0.0162,-0.0244,-0.0406
51,-1,0,-0.2741,-0.1096,-0.1716,-0.2813
52,1,0,-0.1190,-0.0476,-0.0720,-0.1196
53,1,0,0.7737,0.3095,0.7200,1.0295
54,1,0,0.2899,0.1159,0.1825,0.2985
55,-1,0,-0.5705,-0.2282,-0.4201,-0.6483
56,-1,0,-0.4301,-0.1720,-0.2880,-0.4600
