step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0396,0.0902,0.0036,0.0034,228,-0.0555,252,0.0495,0.0000,0.0029,-0.0025,0.0054
1,0.0437,0.0879,0.0032,0.0030,214,-0.0516,266,0.0485,0.0000,0.0126,-0.0020,0.0146
2,0.0477,0.0866,0.0031,0.0028,205,-0.0475,275,0.0493,0.0000,0.0221,-0.0014,0.0235
3,0.0515,0.0862,0.0031,0.0026,198,-0.0439,282,0.0511,0.0000,0.0311,-0.0009,0.0320
4,0.0551,0.0866,0.0032,0.0025,187,-0.0421,293,0.0527,0.0000,0.0399,-0.0003,0.0402
5,0.0587,0.0877,0.0035,0.0025,180,-0.0403,300,0.0553,0.0000,0.0483,0.0002,0.0481
6,0.0621,0.0892,0.0038,0.0025,172,-0.0394,308,0.0579,0.0000,0.0565,0.0007,0.0557
7,0.0654,0.0909,0.0042,0.0025,169,-0.0377,311,0.0614,0.0000,0.0643,0.0013,0.0630
8,0.0687,0.0927,0.0047,0.0026,169,-0.0355,311,0.0654,0.0000,0.0719,0.0018,0.0700
9,0.0718,0.0943,0.0052,0.0027,169,-0.0334,311,0.0692,0.0000,0.0792,0.0024,0.0768
10,0.0748,0.0960,0.0058,0.0028,170,-0.0312,310,0.0732,0.0000,0.0862,0.0029,0.0832
11,0.0777,0.0976,0.0064,0.0030,167,-0.0298,313,0.0762,0.0000,0.0930,0.0035,0.0895
12,0.0806,0.0993,0.0070,0.0031,166,-0.0282,314,0.0795,0.0000,0.0995,0.0041,0.0954
13,0.0833,0.1009,0.0077,0.0033,166,-0.0265,314,0.0830,0.0000,0.1058,0.0047,0.1011
14,0.0860,0.1025,0.0083,0.0034,166,-0.0249,314,0.0864,0.0000,0.1119,0.0053,0.1066
15,0.0886,0.1041,0.0090,0.0036,163,-0.0237,317,0.0889,0.0000,0.1178,0.0059,0.1119
16,0.0912,0.1057,0.0097,0.0037,161,-0.0225,319,0.0916,0.0000,0.1234,0.0066,0.1169
17,0.0937,0.1072,0.0103,0.0039,155,-0.0219,325,0.0930,0.0000,0.1289,0.0072,0.1217
18,0.0961,0.1088,0.0110,0.0041,153,-0.0208,327,0.0955,0.0000,0.1342,0.0079,0.1263
19,0.0984,0.1104,0.0116,0.0042,148,-0.0201,332,0.0970,0.0000,0.1393,0.0086,0.1307
20,0.1007,0.1119,0.0123,0.0044,144,-0.0194,336,0.0987,0.0000,0.1442,0.0093,0.1349
21,0.1030,0.1134,0.0129,0.0045,141,-0.0186,339,0.1006,0.0000,0.1489,0.0100,0.1389
22,0.1052,0.1150,0.0135,0.0047,139,-0.0177,341,0.1027,0.0000,0.1535,0.0108,0.1427
23,0.1073,0.1165,0.0142,0.0048,128,-0.0180,352,0.1022,0.0000,0.1579,0.0116,0.1464
24,0.1094,0.1181,0.0148,0.0049,121,-0.0180,359,0.1027,0.0000,0.1622,0.0124,0.1498
25,0.1115,0.1197,0.0153,0.0051,118,-0.0175,362,0.1044,0.0000,0.1663,0.0132,0.1531
26,0.1135,0.1213,0.0159,0.0052,116,-0.0169,364,0.1063,0.0000,0.1703,0.0141,0.1562
27,0.1155,0.1229,0.0164,0.0053,108,-0.0172,372,0.1064,0.0000,0.1741,0.0149,0.1592
28,0.1174,0.1245,0.0170,0.0055,104,-0.0171,376,0.1077,0.0000,0.1778,0.0158,0.1620
29,0.1193,0.1261,0.0175,0.0056,103,-0.0165,377,0.1097,0.0000,0.1814,0.0168,0.1646
30,0.1212,0.1277,0.0180,0.0057,101,-0.0161,379,0.1115,0.0000,0.1849,0.0178,0.1671
31,0.1231,0.1293,0.0185,0.0058,100,-0.0156,380,0.1134,0.0000,0.1882,0.0188,0.1695
32,0.1249,0.1309,0.0189,0.0059,95,-0.0158,385,0.1142,0.0000,0.1915,0.0198,0.1717
33,0.1268,0.1325,0.0194,0.0060,93,-0.0155,387,0.1158,0.0000,0.1946,0.0209,0.1737
34,0.1286,0.1341,0.0198,0.0061,91,-0.0152,389,0.1174,0.0000,0.1976,0.0220,0.1756
35,0.1304,0.1357,0.0203,0.0062,89,-0.0149,391,0.1189,0.0000,0.2006,0.0232,0.1774
36,0.1321,0.1372,0.0207,0.0063,83,-0.0154,397,0.1192,0.0000,0.2034,0.0243,0.1790
37,0.1339,0.1388,0.0211,0.0064,83,-0.0148,397,0.1213,0.0000,0.2061,0.0256,0.1805
38,0.1356,0.1404,0.0214,0.0065,82,-0.0145,398,0.1231,0.0000,0.2088,0.0269,0.1819
39,0.1374,0.1420,0.0218,0.0066,81,-0.0142,399,0.1249,0.0000,0.2113,0.0282,0.1832
40,0.1391,0.1436,0.0222,0.0067,78,-0.0142,402,0.1260,0.0000,0.2138,0.0295,0.1843
41,0.1409,0.1451,0.0225,0.0068,76,-0.0141,404,0.1275,0.0000,0.2162,0.0310,0.1853
42,0.1426,0.1467,0.0228,0.0069,75,-0.0138,405,0.1292,0.0000,0.2186,0.0324,0.1861
43,0.1443,0.1483,0.0232,0.0069,72,-0.0139,408,0.1303,0.0000,0.2208,0.0339,0.1869
44,0.1461,0.1499,0.0235,0.0070,71,-0.0136,409,0.1320,0.0000,0.2230,0.0355,0.1875
45,0.1478,0.1515,0.0238,0.0071,70,-0.0133,410,0.1337,0.0000,0.2251,0.0371,0.1880
46,0.1496,0.1531,0.0241,0.0072,67,-0.0134,413,0.1348,0.0000,0.2272,0.0387,0.1884
47,0.1513,0.1548,0.0245,0.0073,66,-0.0131,414,0.1365,0.0000,0.2292,0.0404,0.1887
48,0.1530,0.1564,0.0248,0.0074,65,-0.0129,415,0.1382,0.0000,0.2311,0.0422,0.1889
49,0.1548,0.1580,0.0251,0.0074,65,-0.0124,415,0.1403,0.0000,0.2330,0.0440,0.1890
50,0.1566,0.1597,0.0254,0.0075,65,-0.0119,415,0.1423,0.0000,0.2348,0.0458,0.1890
51,0.1583,0.1613,0.0257,0.0076,66,-0.0113,414,0.1447,0.0000,0.2366,0.0477,0.1889
52,0.1601,0.1629,0.0260,0.0077,66,-0.0108,414,0.1468,0.0000,0.2383,0.0496,0.1887
53,0.1619,0.1646,0.0263,0.0078,65,-0.0105,415,0.1485,0.0000,0.2400,0.0516,0.1884
54,0.1636,0.1662,0.0267,0.0078,63,-0.0103,417,0.1498,0.0000,0.2416,0.0536,0.1880
55,0.1654,0.1679,0.0270,0.0079,61,-0.0102,419,0.1511,0.0000,0.2432,0.0556,0.1876
56,0.1672,0.1695,0.0273,0.0080,61,-0.0097,419,0.1532,0.0000,0.2447,0.0576,0.1871
57,0.1689,0.1712,0.0276,0.0081,60,-0.0094,420,0.1548,0.0000,0.2462,0.0597,0.1865
58,0.1707,0.1728,0.0280,0.0082,59,-0.0090,421,0.1565,0.0000,0.2476,0.0618,0.1858
59,0.1725,0.1745,0.0283,0.0082,59,-0.0085,421,0.1585,0.0000,0.2490,0.0639,0.1851
60,0.1742,0.1761,0.0287,0.0083,56,-0.0084,424,0.1594,0.0000,0.2504,0.0661,0.1843
61,0.1760,0.1777,0.0290,0.0084,52,-0.0085,428,0.1599,0.0000,0.2517,0.0682,0.1835
62,0.1777,0.1794,0.0294,0.0084,49,-0.0085,431,0.1607,0.0000,0.2530,0.0704,0.1826
63,0.1794,0.1810,0.0297,0.0085,49,-0.0079,431,0.1627,0.0000,0.2543,0.0726,0.1817
64,0.1812,0.1826,0.0301,0.0086,49,-0.0074,431,0.1646,0.0000,0.2555,0.0747,0.1808
65,0.1829,0.1842,0.0304,0.0086,44,-0.0076,436,0.1646,0.0000,0.2567,0.0769,0.1798
66,0.1846,0.1858,0.0308,0.0087,44,-0.0072,436,0.1665,0.0000,0.2579,0.0791,0.1788
67,0.1863,0.1874,0.0311,0.0088,41,-0.0072,439,0.1673,0.0000,0.2590,0.0812,0.1778
68,0.1879,0.1890,0.0314,0.0088,39,-0.0070,441,0.1683,0.0000,0.2601,0.0834,0.1767
69,0.1896,0.1906,0.0318,0.0089,38,-0.0067,442,0.1698,0.0000,0.2612,0.0856,0.1756
70,0.1912,0.1922,0.0321,0.0089,33,-0.0071,447,0.1697,0.0000,0.2622,0.0877,0.1745
71,0.1928,0.1937,0.0325,0.0090,31,-0.0071,449,0.1707,0.0000,0.2633,0.0898,0.1734
72,0.1944,0.1953,0.0328,0.0090,30,-0.0068,450,0.1721,0.0000,0.2642,0.0920,0.1723
73,0.1960,0.1968,0.0331,0.0091,30,-0.0063,450,0.1738,0.0000,0.2652,0.0941,0.1711
74,0.1976,0.1983,0.0335,0.0091,28,-0.0063,452,0.1747,0.0000,0.2662,0.0962,0.1700
