step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0376,0.0910,0.0036,0.0032,257,-0.0520,223,0.0544,0.0000,-0.0048,0.0005,-0.0054
1,0.0380,0.0905,0.0036,0.0030,258,-0.0508,222,0.0546,0.0000,-0.0056,0.0026,-0.0081
2,0.0380,0.0934,0.0042,0.0033,258,-0.0536,222,0.0579,0.0218,-0.0064,0.0037,-0.0101
3,0.0379,0.0989,0.0053,0.0037,249,-0.0612,231,0.0614,0.0732,-0.0072,0.0044,-0.0116
4,0.0381,0.1062,0.0069,0.0044,252,-0.0675,228,0.0706,0.0836,-0.0079,0.0060,-0.0139
5,0.0379,0.1150,0.0089,0.0053,251,-0.0769,229,0.0796,0.1932,-0.0091,0.0069,-0.0160
6,0.0373,0.1243,0.0112,0.0064,247,-0.0881,233,0.0875,0.5478,-0.0106,0.0075,-0.0181
7,0.0368,0.1338,0.0138,0.0075,245,-0.0990,235,0.0964,1.1260,-0.0123,0.0086,-0.0209
8,0.0363,0.1429,0.0166,0.0088,247,-0.1078,233,0.1064,1.7815,-0.0140,0.0097,-0.0237
9,0.0359,0.1515,0.0196,0.0101,247,-0.1170,233,0.1152,2.4884,-0.0157,0.0108,-0.0265
10,0.0354,0.1597,0.0227,0.0114,246,-0.1263,234,0.1230,3.0971,-0.0173,0.0118,-0.0291
11,0.0350,0.1676,0.0259,0.0128,246,-0.1348,234,0.1310,4.1064,-0.0189,0.0129,-0.0318
12,0.0346,0.1752,0.0292,0.0142,247,-0.1423,233,0.1392,4.8418,-0.0204,0.0140,-0.0344
13,0.0343,0.1825,0.0325,0.0156,248,-0.1494,232,0.1474,5.8205,-0.0217,0.0150,-0.0367
14,0.0339,0.1896,0.0359,0.0169,246,-0.1582,234,0.1534,6.6039,-0.0229,0.0158,-0.0388
15,0.0337,0.1965,0.0392,0.0183,243,-0.1674,237,0.1585,7.4555,-0.0241,0.0169,-0.0410
16,0.0336,0.2031,0.0425,0.0196,245,-0.1730,235,0.1666,8.3608,-0.0252,0.0179,-0.0431
17,0.0333,0.2094,0.0458,0.0209,246,-0.1790,234,0.1738,9.0919,-0.0264,0.0189,-0.0453
18,0.0330,0.2156,0.0490,0.0222,243,-0.1879,237,0.1778,9.5797,-0.0277,0.0198,-0.0475
19,0.0327,0.2215,0.0523,0.0234,244,-0.1935,236,0.1845,11.1076,-0.0290,0.0207,-0.0497
20,0.0324,0.2272,0.0554,0.0246,244,-0.1996,236,0.1902,11.5403,-0.0301,0.0216,-0.0517
21,0.0321,0.2326,0.0585,0.0257,244,-0.2054,236,0.1956,12.3899,-0.0313,0.0224,-0.0537
22,0.0318,0.2378,0.0615,0.0268,244,-0.2110,236,0.2009,13.8189,-0.0323,0.0232,-0.0555
23,0.0316,0.2428,0.0645,0.0279,246,-0.2146,234,0.2076,14.9991,-0.0334,0.0239,-0.0573
24,0.0313,0.2475,0.0674,0.0289,246,-0.2197,234,0.2124,15.8140,-0.0343,0.0245,-0.0589
25,0.0310,0.2520,0.0702,0.0298,246,-0.2246,234,0.2170,16.9192,-0.0352,0.0250,-0.0601
26,0.0308,0.2564,0.0729,0.0307,246,-0.2293,234,0.2213,18.0920,-0.0359,0.0254,-0.0613
27,0.0305,0.2605,0.0755,0.0316,247,-0.2327,233,0.2264,18.8845,-0.0367,0.0258,-0.0625
