step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
69,0.0085,0.0001,0.0062,0.0188,0.0117,0.0175,0.0001,0.0167,0.0000,0.0032,0.0000,0.0013,0.0001,0.0000,0.0190,0.0006,0.0002,0.0131,0.0047,0.0164,0.0083,0.0007,0.0186,0.0068,0.0014,0.0004,0.0001
70,0.0086,0.0001,0.0062,0.0188,0.0118,0.0176,0.0002,0.0167,0.0000,0.0035,0.0001,0.0013,0.0001,0.0000,0.0189,0.0006,0.0002,0.0132,0.0047,0.0163,0.0084,0.0008,0.0189,0.0068,0.0015,0.0004,0.0001
71,0.0087,0.0001,0.0061,0.0188,0.0120,0.0177,0.0002,0.0167,0.0000,0.0037,0.0001,0.0013,0.0001,0.0000,0.0189,0.0007,0.0003,0.0132,0.0048,0.0162,0.0084,0.0008,0.0191,0.0068,0.0016,0.0004,0.0001
72,0.0088,0.0001,0.0061,0.0188,0.0122,0.0177,0.0002,0.0167,0.0000,0.0040,0.0001,0.0014,0.0001,0.0000,0.0189,0.0007,0.0003,0.0132,0.0049,0.0160,0.0084,0.0008,0.0193,0.0068,0.0017,0.0005,0.0001
73,0.0089,0.0001,0.0061,0.0188,0.0123,0.0178,0.0002,0.0167,0.0000,0.0042,0.0001,0.0014,0.0001,0.0000,0.0189,0.0007,0.0003,0.0132,0.0049,0.0159,0.0084,0.0008,0.0196,0.0068,0.0018,0.0005,0.0001
74,0.0090,0.0001,0.0061,0.0188,0.0125,0.0179,0.0002,0.0167,0.0000,0.0045,0.0001,0.0015,0.0001,0.0000,0.0189,0.0007,0.0003,0.0132,0.0050,0.0158,0.0085,0.0008,0.0198,0.0068,0.0019,0.0005,0.0001
75,0.0091,0.0001,0.0061,0.0188,0.0126,0.0179,0.0002,0.0167,0.0000,0.0048,0.0001,0.0015,0.0001,0.0000,0.0189,0.0008,0.0003,0.0133,0.0051,0.0157,0.0085,0.0008,0.0200,0.0068,0.0020,0.0005,0.0002
76,0.0092,0.0001,0.0061,0.0188,0.0128,0.0180,0.0002,0.0167,0.0000,0.0051,0.0001,0.0016,0.0001,0.0000,0.0189,0.0008,0.0003,0.0133,0.0052,0.0156,0.0085,0.0009,0.0202,0.0068,0.0022,0.0005,0.0002
77,0.0092,0.0001,0.0060,0.0188,0.0130,0.0181,0.0002,0.0167,0.0000,0.0055,0.0001,0.0016,0.0001,0.0000,0.0189,0.0008,0.0003,0.0133,0.0052,0.0154,0.0085,0.0009,0.0204,0.0068,0.0023,0.0005,0.0002
78,0.0093,0.0001,0.0060,0.0189,0.0131,0.0181,0.0002,0.0167,0.0000,0.0058,0.0001,0.0017,0.0001,0.0000,0.0188,0.0009,0.0003,0.0133,0.0053,0.0153,0.0086,0.0009,0.0206,0.0068,0.0024,0.0005,0.0002
79,0.0094,0.0001,0.0060,0.0189,0.0133,0.0182,0.0002,0.0167,0.0000,0.0062,0.0001,0.0017,0.0001,0.0000,0.0188,0.0009,0.0003,0.0133,0.0054,0.0152,0.0086,0.0009,0.0208,0.0068,0.0026,0.0006,0.0002
80,0.0095,0.0001,0.0060,0.0189,0.0134,0.0183,0.0002,0.0167,0.0000,0.0066,0.0001,0.0018,0.0001,0.0000,0.0188,0.0009,0.0003,0.0133,0.0055,0.0151,0.0086,0.0009,0.0210,0.0068,0.0028,0.0006,0.0002
81,0.0096,0.0001,0.0060,0.0189,0.0136,0.0183,0.0002,0.0167,0.0000,0.0070,0.0001,0.0018,0.0001,0.0000,0.0188,0.0010,0.0004,0.0133,0.0055,0.0150,0.0086,0.0010,0.0212,0.0068,0.0029,0.0006,0.0002
82,0.0096,0.0001,0.0060,0.0189,0.0137,0.0184,0.0002,0.0167,0.0000,0.0074,0.0001,0.0019,0.0001,0.0000,0.0188,0.0010,0.0004,0.0134,0.0056,0.0149,0.0087,0.0010,0.0213,0.0068,0.0031,0.0006,0.0002
83,0.0097,0.0001,0.0060,0.0189,0.0138,0.0184,0.0002,0.0167,0.0000,0.0078,0.0001,0.0020,0.0001,0.0000,0.0188,0.0010,0.0004,0.0134,0.0057,0.0147,0.0087,0.0010,0.0215,0.0068,0.0033,0.0007,0.0002
84,0.0098,0.0001,0.0059,0.0189,0.0140,0.0185,0.0002,0.0167,0.0000,0.0082,0.0001,0.0020,0.0001,0.0000,0.0188,0.0011,0.0004,0.0134,0.0058,0.0146,0.0087,0.0010,0.0217,0.0068,0.0035,0.0007,0.0002
