step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0389,0.0906,0.0036,0.0034,242,-0.0534,238,0.0520,0.0000,0.0032,-0.0048,0.0080
1,0.0438,0.0915,0.0038,0.0033,221,-0.0540,259,0.0534,0.0000,0.0155,-0.0057,0.0212
2,0.0490,0.0967,0.0048,0.0035,208,-0.0573,272,0.0604,0.0000,0.0283,-0.0064,0.0347
3,0.0535,0.1049,0.0063,0.0041,212,-0.0606,268,0.0731,0.0713,0.0403,-0.0080,0.0483
4,0.0571,0.1143,0.0084,0.0049,208,-0.0686,272,0.0840,0.1737,0.0518,-0.0106,0.0624
5,0.0608,0.1239,0.0110,0.0059,206,-0.0766,274,0.0955,0.4374,0.0632,-0.0132,0.0764
6,0.0644,0.1342,0.0140,0.0071,206,-0.0846,274,0.1082,0.8232,0.0739,-0.0152,0.0891
7,0.0678,0.1443,0.0173,0.0084,207,-0.0924,273,0.1210,1.5658,0.0841,-0.0174,0.1015
8,0.0709,0.1541,0.0208,0.0098,207,-0.1004,273,0.1328,2.4990,0.0942,-0.0198,0.1140
9,0.0739,0.1634,0.0245,0.0112,203,-0.1103,277,0.1420,3.0312,0.1037,-0.0222,0.1259
10,0.0766,0.1723,0.0283,0.0127,203,-0.1179,277,0.1524,3.7205,0.1127,-0.0244,0.1371
11,0.0792,0.1807,0.0322,0.0142,202,-0.1257,278,0.1618,4.7424,0.1212,-0.0266,0.1478
12,0.0816,0.1888,0.0361,0.0156,206,-0.1301,274,0.1737,5.8765,0.1291,-0.0286,0.1578
13,0.0839,0.1965,0.0400,0.0171,205,-0.1374,275,0.1822,6.9120,0.1368,-0.0307,0.1676
14,0.0860,0.2040,0.0439,0.0185,206,-0.1431,274,0.1916,7.4897,0.1442,-0.0328,0.1770
15,0.0881,0.2110,0.0478,0.0199,204,-0.1507,276,0.1985,8.0941,0.1511,-0.0347,0.1858
16,0.0901,0.2177,0.0516,0.0211,203,-0.1572,277,0.2056,8.7572,0.1577,-0.0364,0.1941
17,0.0919,0.2240,0.0552,0.0224,206,-0.1603,274,0.2153,9.2814,0.1639,-0.0380,0.2019
18,0.0931,0.2304,0.0589,0.0236,207,-0.1658,273,0.2230,10.3159,0.1697,-0.0406,0.2104
19,0.0942,0.2364,0.0626,0.0248,208,-0.1709,272,0.2304,11.0122,0.1752,-0.0432,0.2184
20,0.0951,0.2422,0.0661,0.0259,208,-0.1767,272,0.2365,12.0214,0.1804,-0.0458,0.2262
21,0.0959,0.2476,0.0696,0.0270,208,-0.1823,272,0.2422,12.6367,0.1853,-0.0484,0.2337
22,0.0966,0.2527,0.0730,0.0280,208,-0.1876,272,0.2475,13.9467,0.1899,-0.0509,0.2407
23,0.0972,0.2575,0.0763,0.0291,206,-0.1945,274,0.2507,14.8169,0.1942,-0.0533,0.2475
24,0.0978,0.2621,0.0794,0.0300,207,-0.1984,273,0.2564,15.9143,0.1982,-0.0555,0.2538
25,0.0983,0.2665,0.0825,0.0309,206,-0.2042,274,0.2599,16.4552,0.2021,-0.0579,0.2599
26,0.0987,0.2707,0.0854,0.0318,205,-0.2098,275,0.2631,17.1864,0.2057,-0.0602,0.2660
27,0.0990,0.2747,0.0883,0.0326,205,-0.2143,275,0.2670,17.8694,0.2092,-0.0625,0.2717
28,0.0993,0.2785,0.0910,0.0334,207,-0.2165,273,0.2727,18.2532,0.2124,-0.0647,0.2771
29,0.0992,0.2823,0.0938,0.0340,207,-0.2211,273,0.2761,18.8273,0.2155,-0.0674,0.2828
30,0.0992,0.2859,0.0965,0.0347,207,-0.2255,273,0.2794,19.3619,0.2184,-0.0699,0.2882
31,0.0991,0.2893,0.0990,0.0353,208,-0.2287,272,0.2834,20.4807,0.2211,-0.0723,0.2934
32,0.0989,0.2925,0.1015,0.0358,208,-0.2327,272,0.2863,20.7691,0.2236,-0.0748,0.2984
33,0.0988,0.2956,0.1039,0.0364,208,-0.2366,272,0.2889,21.3275,0.2260,-0.0771,0.3031
34,0.0986,0.2985,0.1062,0.0369,209,-0.2392,271,0.2925,21.6821,0.2283,-0.0793,0.3076
35,0.0984,0.3013,0.1085,0.0374,207,-0.2451,273,0.2927,22.7881,0.2304,-0.0815,0.3120
36,0.0982,0.3040,0.1106,0.0379,208,-0.2474,272,0.2961,22.9976,0.2325,-0.0836,0.3161
37,0.0979,0.3066,0.1127,0.0383,209,-0.2496,271,0.2994,23.3497,0.2344,-0.0857,0.3200
38,0.0976,0.3090,0.1147,0.0387,209,-0.2529,271,0.3014,23.7700,0.2361,-0.0877,0.3239
