step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0367,0.0904,0.0036,0.0033,255,-0.0527,225,0.0524,0.0000,-0.0034,-0.0034,0.0000
1,0.0363,0.0882,0.0034,0.0030,256,-0.0507,224,0.0497,0.0000,-0.0019,-0.0056,0.0037
2,0.0357,0.0895,0.0037,0.0032,260,-0.0518,220,0.0514,0.0000,-0.0020,-0.0068,0.0048
3,0.0342,0.0950,0.0046,0.0037,257,-0.0591,223,0.0552,0.0436,-0.0029,-0.0088,0.0059
4,0.0331,0.1024,0.0059,0.0046,256,-0.0677,224,0.0620,0.1091,-0.0030,-0.0110,0.0080
5,0.0320,0.1103,0.0076,0.0056,253,-0.0773,227,0.0686,0.2441,-0.0030,-0.0132,0.0102
6,0.0306,0.1187,0.0097,0.0068,255,-0.0863,225,0.0770,0.4874,-0.0032,-0.0157,0.0125
7,0.0291,0.1276,0.0120,0.0081,250,-0.0985,230,0.0833,0.7603,-0.0035,-0.0185,0.0149
8,0.0278,0.1362,0.0146,0.0094,253,-0.1072,227,0.0925,1.4294,-0.0036,-0.0209,0.0174
9,0.0264,0.1444,0.0173,0.0109,252,-0.1170,228,0.0996,1.9935,-0.0036,-0.0236,0.0200
10,0.0255,0.1524,0.0201,0.0123,257,-0.1235,223,0.1097,2.7699,-0.0033,-0.0257,0.0223
11,0.0245,0.1601,0.0231,0.0137,258,-0.1314,222,0.1179,3.8370,-0.0031,-0.0278,0.0247
12,0.0237,0.1677,0.0262,0.0152,257,-0.1401,223,0.1249,4.8788,-0.0026,-0.0299,0.0274
13,0.0229,0.1750,0.0293,0.0166,259,-0.1468,221,0.1334,5.5716,-0.0019,-0.0321,0.0302
14,0.0221,0.1820,0.0324,0.0180,262,-0.1526,218,0.1424,6.2845,-0.0013,-0.0342,0.0329
15,0.0213,0.1888,0.0356,0.0193,261,-0.1605,219,0.1485,6.8143,-0.0006,-0.0365,0.0359
16,0.0203,0.1955,0.0388,0.0206,258,-0.1697,222,0.1530,7.6033,0.0000,-0.0389,0.0389
17,0.0196,0.2021,0.0420,0.0219,256,-0.1782,224,0.1581,8.8948,0.0011,-0.0413,0.0424
18,0.0189,0.2085,0.0453,0.0231,257,-0.1845,223,0.1653,9.8835,0.0022,-0.0437,0.0459
19,0.0182,0.2148,0.0485,0.0242,256,-0.1920,224,0.1708,11.2033,0.0033,-0.0461,0.0494
20,0.0177,0.2209,0.0517,0.0254,258,-0.1970,222,0.1786,11.7048,0.0048,-0.0485,0.0533
21,0.0171,0.2269,0.0549,0.0265,259,-0.2025,221,0.1855,12.3676,0.0062,-0.0509,0.0571
22,0.0164,0.2329,0.0581,0.0276,258,-0.2097,222,0.1907,13.3594,0.0078,-0.0535,0.0613
23,0.0158,0.2387,0.0613,0.0286,258,-0.2160,222,0.1965,13.8352,0.0093,-0.0562,0.0654
24,0.0151,0.2442,0.0645,0.0296,257,-0.2228,223,0.2010,14.6122,0.0107,-0.0588,0.0696
25,0.0145,0.2495,0.0676,0.0305,258,-0.2277,222,0.2072,15.4421,0.0122,-0.0613,0.0735
26,0.0138,0.2546,0.0706,0.0314,258,-0.2333,222,0.2122,16.3796,0.0135,-0.0639,0.0774
27,0.0132,0.2594,0.0736,0.0322,257,-0.2395,223,0.2159,17.8077,0.0149,-0.0663,0.0812
28,0.0126,0.2641,0.0766,0.0330,255,-0.2466,225,0.2186,18.7553,0.0162,-0.0687,0.0848
29,0.0120,0.2686,0.0795,0.0337,253,-0.2536,227,0.2209,19.5641,0.0174,-0.0710,0.0884
30,0.0114,0.2729,0.0823,0.0345,253,-0.2584,227,0.2250,20.3609,0.0186,-0.0732,0.0918
31,0.0108,0.2771,0.0851,0.0351,253,-0.2631,227,0.2289,21.3034,0.0198,-0.0754,0.0952
32,0.0102,0.2810,0.0878,0.0358,253,-0.2676,227,0.2326,22.8369,0.0209,-0.0776,0.0985
33,0.0096,0.2849,0.0904,0.0364,254,-0.2709,226,0.2373,23.7149,0.0220,-0.0797,0.1017
34,0.0089,0.2886,0.0930,0.0370,253,-0.2763,227,0.2395,24.2677,0.0229,-0.0820,0.1049
35,0.0082,0.2921,0.0955,0.0375,252,-0.2817,228,0.2416,25.1443,0.0238,-0.0842,0.1080
36,0.0075,0.2956,0.0979,0.0380,251,-0.2869,229,0.2435,25.5690,0.0247,-0.0863,0.1110
37,0.0069,0.2988,0.1003,0.0385,251,-0.2908,229,0.2464,26.1116,0.0256,-0.0884,0.1140
38,0.0062,0.3020,0.1027,0.0389,252,-0.2934,228,0.2502,26.4417,0.0264,-0.0904,0.1169
39,0.0055,0.3050,0.1049,0.0393,252,-0.2971,228,0.2528,26.6308,0.0270,-0.0924,0.1194
40,0.0048,0.3079,0.1072,0.0397,252,-0.3007,228,0.2552,26.8000,0.0276,-0.0943,0.1219
41,0.0041,0.3108,0.1094,0.0401,253,-0.3030,227,0.2587,27.2140,0.0281,-0.0961,0.1243
42,0.0034,0.3136,0.1115,0.0404,253,-0.3065,227,0.2610,28.0443,0.0285,-0.0980,0.1265
43,0.0027,0.3163,0.1136,0.0407,253,-0.3098,227,0.2632,28.5053,0.0289,-0.0997,0.1287
44,0.0020,0.3189,0.1156,0.0410,252,-0.3143,228,0.2641,28.6016,0.0293,-0.1014,0.1307
45,0.0016,0.3215,0.1176,0.0413,252,-0.3174,228,0.2665,28.7996,0.0300,-0.1029,0.1330
46,0.0011,0.3240,0.1196,0.0415,251,-0.3216,229,0.2676,29.2663,0.0307,-0.1044,0.1352
47,0.0007,0.3264,0.1215,0.0418,252,-0.3231,228,0.2709,29.6489,0.0314,-0.1059,0.1372
48,0.0002,0.3287,0.1234,0.0420,252,-0.3258,228,0.2729,29.9544,0.0320,-0.1073,0.1393
49,-0.0002,0.3309,0.1252,0.0423,252,-0.3284,228,0.2749,30.3261,0.0326,-0.1087,0.1413
50,-0.0006,0.3330,0.1269,0.0425,252,-0.3309,228,0.2768,30.5437,0.0332,-0.1100,0.1433
51,-0.0010,0.3350,0.1287,0.0427,253,-0.3320,227,0.2798,30.5437,0.0338,-0.1113,0.1451
52,-0.0014,0.3370,0.1303,0.0429,252,-0.3357,228,0.2803,30.9329,0.0344,-0.1126,0.1470
53,-0.0017,0.3389,0.1319,0.0431,251,-0.3392,229,0.2807,30.8251,0.0350,-0.1139,0.1489
54,-0.0020,0.3408,0.1335,0.0433,251,-0.3414,229,0.2825,31.1516,0.0357,-0.1151,0.1508
55,-0.0023,0.3426,0.1351,0.0435,251,-0.3435,229,0.2841,31.7992,0.0364,-0.1163,0.1527
56,-0.0026,0.3443,0.1366,0.0437,250,-0.3469,230,0.2845,32.2191,0.0370,-0.1174,0.1544
57,-0.0028,0.3460,0.1380,0.0438,250,-0.3488,230,0.2861,32.3210,0.0378,-0.1184,0.1562
58,-0.0030,0.3476,0.1394,0.0440,251,-0.3492,229,0.2889,32.4947,0.0385,-0.1195,0.1579
59,-0.0032,0.3491,0.1408,0.0441,252,-0.3495,228,0.2916,32.3711,0.0391,-0.1205,0.1596
60,-0.0035,0.3506,0.1420,0.0442,252,-0.3513,228,0.2928,33.0550,0.0399,-0.1218,0.1616
61,-0.0038,0.3519,0.1433,0.0443,252,-0.3529,228,0.2940,33.1057,0.0405,-0.1230,0.1635
62,-0.0041,0.3533,0.1445,0.0444,252,-0.3545,228,0.2951,33.0345,0.0412,-0.1241,0.1653
63,-0.0044,0.3545,0.1457,0.0445,252,-0.3560,228,0.2962,33.4362,0.0418,-0.1252,0.1670
64,-0.0046,0.3557,0.1468,0.0446,253,-0.3561,227,0.2986,33.3656,0.0424,-0.1262,0.1686
65,-0.0051,0.3570,0.1480,0.0446,253,-0.3579,227,0.2994,33.5412,0.0429,-0.1278,0.1707
66,-0.0057,0.3583,0.1491,0.0446,254,-0.3582,226,0.3016,33.5412,0.0435,-0.1292,0.1727
67,-0.0062,0.3596,0.1502,0.0446,254,-0.3600,226,0.3025,33.8684,0.0440,-0.1307,0.1747
