step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0374,0.0905,0.0036,0.0033,255,-0.0520,225,0.0532,0.0000,-0.0051,0.0005,-0.0056
1,0.0418,0.0902,0.0036,0.0031,242,-0.0500,238,0.0546,0.0000,0.0012,0.0027,-0.0016
2,0.0462,0.0937,0.0043,0.0033,233,-0.0510,247,0.0605,0.0000,0.0081,0.0042,0.0039
3,0.0502,0.0994,0.0054,0.0038,221,-0.0556,259,0.0671,0.0270,0.0148,0.0051,0.0096
4,0.0546,0.1066,0.0069,0.0045,217,-0.0599,263,0.0772,0.0322,0.0214,0.0070,0.0144
5,0.0585,0.1153,0.0089,0.0054,207,-0.0685,273,0.0859,0.0851,0.0276,0.0082,0.0194
6,0.0621,0.1245,0.0110,0.0063,197,-0.0791,283,0.0941,0.3177,0.0335,0.0091,0.0244
7,0.0658,0.1338,0.0135,0.0074,194,-0.0876,286,0.1045,0.7782,0.0391,0.0105,0.0286
8,0.0694,0.1427,0.0161,0.0086,192,-0.0954,288,0.1146,1.1353,0.0446,0.0120,0.0327
9,0.0729,0.1512,0.0188,0.0098,192,-0.1019,288,0.1251,1.6354,0.0500,0.0133,0.0367
10,0.0762,0.1593,0.0217,0.0111,190,-0.1094,290,0.1341,2.0586,0.0551,0.0147,0.0404
11,0.0796,0.1673,0.0246,0.0123,190,-0.1154,290,0.1439,2.5961,0.0602,0.0161,0.0441
12,0.0829,0.1751,0.0275,0.0136,192,-0.1200,288,0.1545,3.0619,0.0652,0.0175,0.0477
13,0.0862,0.1826,0.0305,0.0148,191,-0.1262,289,0.1634,3.8671,0.0702,0.0188,0.0515
14,0.0895,0.1899,0.0336,0.0161,190,-0.1321,290,0.1719,4.5353,0.0755,0.0199,0.0556
15,0.0927,0.1970,0.0366,0.0173,186,-0.1402,294,0.1783,5.3070,0.0804,0.0209,0.0595
16,0.0958,0.2038,0.0396,0.0185,187,-0.1444,293,0.1874,5.9270,0.0852,0.0222,0.0629
17,0.0988,0.2104,0.0426,0.0197,184,-0.1517,296,0.1936,6.8359,0.0896,0.0235,0.0661
18,0.1017,0.2167,0.0456,0.0209,180,-0.1597,300,0.1986,7.3789,0.0939,0.0247,0.0692
19,0.1044,0.2228,0.0485,0.0220,181,-0.1634,299,0.2067,8.6223,0.0981,0.0259,0.0722
20,0.1071,0.2286,0.0514,0.0230,181,-0.1678,299,0.2137,9.3428,0.1020,0.0271,0.0750
21,0.1096,0.2341,0.0542,0.0241,181,-0.1720,299,0.2204,10.4011,0.1058,0.0282,0.0776
22,0.1120,0.2394,0.0569,0.0251,182,-0.1751,298,0.2277,11.6797,0.1094,0.0292,0.0801
23,0.1142,0.2445,0.0596,0.0261,185,-0.1760,295,0.2362,12.6855,0.1126,0.0303,0.0824
24,0.1162,0.2493,0.0622,0.0270,185,-0.1798,295,0.2420,13.9843,0.1157,0.0311,0.0846
25,0.1182,0.2538,0.0647,0.0278,185,-0.1833,295,0.2474,15.0294,0.1187,0.0318,0.0869
26,0.1200,0.2581,0.0672,0.0287,186,-0.1857,294,0.2535,16.3108,0.1215,0.0325,0.0890
27,0.1217,0.2622,0.0696,0.0295,186,-0.1889,294,0.2585,16.8907,0.1242,0.0332,0.0910
28,0.1234,0.2661,0.0719,0.0303,186,-0.1919,294,0.2632,17.6864,0.1267,0.0338,0.0928
29,0.1249,0.2698,0.0741,0.0310,186,-0.1948,294,0.2676,18.2480,0.1290,0.0345,0.0946
30,0.1264,0.2733,0.0762,0.0317,186,-0.1975,294,0.2719,18.9840,0.1313,0.0351,0.0962
31,0.1278,0.2767,0.0783,0.0324,188,-0.1980,292,0.2778,20.4682,0.1334,0.0357,0.0977
32,0.1289,0.2800,0.0803,0.0331,188,-0.2009,292,0.2817,20.8467,0.1353,0.0358,0.0995
33,0.1300,0.2832,0.0823,0.0337,187,-0.2048,293,0.2843,21.6563,0.1372,0.0360,0.1012
34,0.1312,0.2863,0.0842,0.0343,187,-0.2074,293,0.2879,22.2131,0.1390,0.0364,0.1025
35,0.1323,0.2892,0.0860,0.0348,185,-0.2121,295,0.2894,22.6071,0.1406,0.0369,0.1037
36,0.1333,0.2920,0.0877,0.0354,185,-0.2144,295,0.2927,22.8905,0.1422,0.0374,0.1048
37,0.1344,0.2946,0.0893,0.0359,185,-0.2166,295,0.2958,23.1050,0.1437,0.0379,0.1058
38,0.1353,0.2971,0.0909,0.0364,184,-0.2198,296,0.2977,23.4780,0.1451,0.0384,0.1067
39,0.1363,0.2995,0.0924,0.0368,184,-0.2218,296,0.3005,24.0091,0.1465,0.0389,0.1076
40,0.1372,0.3018,0.0939,0.0373,185,-0.2224,295,0.3042,24.3215,0.1478,0.0393,0.1085
41,0.1381,0.3040,0.0953,0.0377,184,-0.2254,296,0.3058,24.0348,0.1490,0.0398,0.1093
42,0.1390,0.3061,0.0967,0.0381,183,-0.2282,297,0.3073,24.0348,0.1504,0.0402,0.1102
43,0.1399,0.3080,0.0980,0.0384,183,-0.2297,297,0.3097,24.2534,0.1517,0.0406,0.1111
44,0.1407,0.3099,0.0992,0.0388,182,-0.2324,298,0.3109,24.5679,0.1529,0.0410,0.1119
45,0.1415,0.3117,0.1004,0.0391,182,-0.2338,298,0.3131,24.5938,0.1541,0.0414,0.1127
46,0.1423,0.3135,0.1016,0.0394,180,-0.2378,300,0.3131,24.8122,0.1552,0.0418,0.1134
47,0.1432,0.3152,0.1026,0.0396,180,-0.2388,300,0.3153,24.8122,0.1566,0.0422,0.1145
48,0.1441,0.3168,0.1036,0.0399,180,-0.2398,300,0.3174,25.0347,0.1580,0.0425,0.1155
49,0.1450,0.3183,0.1046,0.0401,180,-0.2408,300,0.3194,25.1328,0.1593,0.0429,0.1165
50,0.1458,0.3198,0.1056,0.0403,180,-0.2417,300,0.3213,25.2571,0.1606,0.0432,0.1174
51,0.1466,0.3212,0.1065,0.0405,180,-0.2426,300,0.3232,25.1321,0.1617,0.0435,0.1182
52,0.1473,0.3226,0.1074,0.0407,181,-0.2421,299,0.3260,25.4796,0.1628,0.0438,0.1190
