step,community_0,community_1,community_2,community_4,community_5,community_6,community_7,community_10,community_12,community_13,community_14,community_16,community_17,community_22,community_30,community_31,community_32,community_36,community_42,community_45,community_46,community_53,community_55,community_60,community_86,community_156
0,0.0034,0.0022,0.0011,0.0025,0.0024,0.0043,0.0034,0.0033,0.0036,0.0021,0.0028,0.0026,0.0046,0.0031,0.0013,0.0030,0.0046,0.0031,0.0022,0.0027,0.0047,0.0044,0.0043,0.0040,0.0038,0.0018
1,0.0030,0.0019,0.0009,0.0023,0.0024,0.0041,0.0030,0.0028,0.0034,0.0018,0.0025,0.0024,0.0040,0.0030,0.0011,0.0026,0.0042,0.0026,0.0018,0.0022,0.0041,0.0039,0.0038,0.0027,0.0033,0.0018
2,0.0026,0.0017,0.0008,0.0021,0.0026,0.0040,0.0027,0.0023,0.0032,0.0016,0.0023,0.0022,0.0037,0.0031,0.0010,0.0023,0.0041,0.0022,0.0015,0.0019,0.0036,0.0035,0.0035,0.0021,0.0029,0.0018
3,0.0023,0.0014,0.0007,0.0020,0.0029,0.0040,0.0025,0.0019,0.0030,0.0014,0.0021,0.0021,0.0037,0.0035,0.0008,0.0020,0.0041,0.0018,0.0012,0.0018,0.0031,0.0031,0.0032,0.0022,0.0025,0.0018
4,0.0020,0.0013,0.0006,0.0020,0.0033,0.0041,0.0023,0.0017,0.0029,0.0012,0.0019,0.0021,0.0038,0.0040,0.0007,0.0018,0.0042,0.0015,0.0010,0.0019,0.0028,0.0028,0.0029,0.0026,0.0022,0.0019
5,0.0018,0.0011,0.0005,0.0020,0.0038,0.0043,0.0021,0.0014,0.0028,0.0011,0.0017,0.0021,0.0041,0.0046,0.0006,0.0016,0.0045,0.0013,0.0008,0.0020,0.0024,0.0025,0.0028,0.0033,0.0020,0.0020
6,0.0016,0.0010,0.0005,0.0021,0.0043,0.0046,0.0020,0.0013,0.0028,0.0010,0.0016,0.0021,0.0044,0.0053,0.0005,0.0014,0.0048,0.0011,0.0007,0.0021,0.0021,0.0023,0.0026,0.0043,0.0018,0.0022
7,0.0014,0.0009,0.0004,0.0022,0.0048,0.0049,0.0019,0.0011,0.0027,0.0008,0.0015,0.0022,0.0049,0.0062,0.0005,0.0012,0.0053,0.0009,0.0006,0.0023,0.0019,0.0021,0.0025,0.0054,0.0016,0.0023
8,0.0013,0.0008,0.0004,0.0023,0.0054,0.0053,0.0018,0.0010,0.0027,0.0007,0.0014,0.0023,0.0055,0.0070,0.0004,0.0011,0.0058,0.0008,0.0006,0.0026,0.0017,0.0019,0.0024,0.0066,0.0014,0.0025
9,0.0012,0.0007,0.0003,0.0024,0.0060,0.0057,0.0017,0.0009,0.0027,0.0007,0.0014,0.0024,0.0060,0.0080,0.0004,0.0010,0.0063,0.0007,0.0005,0.0028,0.0015,0.0017,0.0023,0.0078,0.0013,0.0027
10,0.0011,0.0006,0.0003,0.0025,0.0067,0.0061,0.0017,0.0009,0.0027,0.0006,0.0013,0.0025,0.0066,0.0089,0.0003,0.0009,0.0069,0.0006,0.0005,0.0031,0.0013,0.0015,0.0023,0.0090,0.0011,0.0029
