step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0402,0.0904,0.0035,0.0034,236,-0.0531,244,0.0518,0.0000,0.0014,-0.0013,0.0027
1,0.0423,0.0885,0.0034,0.0031,225,-0.0513,255,0.0498,0.0000,0.0066,-0.0027,0.0093
2,0.0456,0.0904,0.0038,0.0033,216,-0.0519,264,0.0530,0.0000,0.0136,-0.0036,0.0172
3,0.0494,0.0956,0.0047,0.0038,215,-0.0537,265,0.0613,0.0253,0.0213,-0.0044,0.0257
4,0.0528,0.1022,0.0061,0.0046,212,-0.0582,268,0.0700,0.0575,0.0286,-0.0052,0.0338
5,0.0565,0.1100,0.0078,0.0057,205,-0.0653,275,0.0786,0.1392,0.0360,-0.0058,0.0418
6,0.0602,0.1187,0.0098,0.0070,199,-0.0736,281,0.0880,0.3475,0.0435,-0.0065,0.0501
7,0.0639,0.1275,0.0120,0.0085,197,-0.0807,283,0.0984,0.5444,0.0510,-0.0070,0.0581
8,0.0675,0.1359,0.0144,0.0100,196,-0.0872,284,0.1087,0.7333,0.0582,-0.0074,0.0656
9,0.0709,0.1442,0.0170,0.0117,190,-0.0965,290,0.1165,1.0961,0.0651,-0.0080,0.0731
10,0.0743,0.1522,0.0197,0.0134,186,-0.1047,294,0.1246,1.7413,0.0718,-0.0084,0.0802
11,0.0777,0.1600,0.0224,0.0151,185,-0.1112,295,0.1337,2.2493,0.0785,-0.0086,0.0872
12,0.0812,0.1675,0.0253,0.0168,183,-0.1179,297,0.1420,2.9679,0.0852,-0.0088,0.0941
13,0.0845,0.1748,0.0281,0.0185,184,-0.1227,296,0.1514,3.8576,0.0918,-0.0092,0.1010
14,0.0875,0.1817,0.0311,0.0201,180,-0.1309,300,0.1577,4.4808,0.0980,-0.0099,0.1079
15,0.0905,0.1886,0.0340,0.0218,179,-0.1369,301,0.1654,5.3782,0.1043,-0.0104,0.1147
16,0.0936,0.1952,0.0369,0.0234,176,-0.1443,304,0.1718,6.1726,0.1106,-0.0110,0.1217
17,0.0968,0.2019,0.0398,0.0250,175,-0.1502,305,0.1792,6.7371,0.1168,-0.0113,0.1282
18,0.0998,0.2083,0.0427,0.0265,171,-0.1586,309,0.1845,7.2561,0.1228,-0.0116,0.1343
19,0.1028,0.2144,0.0456,0.0280,171,-0.1632,309,0.1919,8.3349,0.1284,-0.0117,0.1401
20,0.1056,0.2203,0.0484,0.0295,172,-0.1668,308,0.1996,9.1870,0.1338,-0.0118,0.1456
21,0.1083,0.2260,0.0511,0.0309,171,-0.1720,309,0.2057,10.3453,0.1390,-0.0117,0.1508
22,0.1111,0.2313,0.0538,0.0322,171,-0.1758,309,0.2123,11.0445,0.1442,-0.0116,0.1558
23,0.1138,0.2365,0.0564,0.0335,169,-0.1815,311,0.2172,11.3917,0.1491,-0.0115,0.1607
24,0.1164,0.2414,0.0589,0.0347,170,-0.1838,310,0.2240,12.7012,0.1539,-0.0113,0.1652
25,0.1189,0.2461,0.0614,0.0358,168,-0.1894,312,0.2284,13.8499,0.1584,-0.0111,0.1695
26,0.1213,0.2507,0.0638,0.0369,169,-0.1914,311,0.2347,14.5179,0.1628,-0.0108,0.1736
27,0.1236,0.2550,0.0662,0.0380,168,-0.1956,312,0.2392,15.3046,0.1669,-0.0106,0.1775
28,0.1258,0.2592,0.0685,0.0390,166,-0.2009,314,0.2428,15.6039,0.1709,-0.0103,0.1812
29,0.1280,0.2632,0.0707,0.0399,166,-0.2037,314,0.2477,15.9520,0.1748,-0.0101,0.1849
30,0.1301,0.2670,0.0728,0.0408,166,-0.2063,314,0.2525,17.1634,0.1786,-0.0098,0.1884
31,0.1321,0.2707,0.0749,0.0416,164,-0.2114,316,0.2554,17.5136,0.1822,-0.0095,0.1918
32,0.1341,0.2743,0.0769,0.0424,162,-0.2163,318,0.2582,18.0711,0.1857,-0.0091,0.1948
33,0.1362,0.2777,0.0788,0.0431,161,-0.2197,319,0.2616,18.4299,0.1892,-0.0086,0.1979
34,0.1384,0.2810,0.0806,0.0438,162,-0.2201,318,0.2668,18.9204,0.1930,-0.0082,0.2012
35,0.1405,0.2842,0.0823,0.0444,161,-0.2232,319,0.2701,19.0787,0.1966,-0.0077,0.2043
36,0.1427,0.2874,0.0840,0.0448,160,-0.2261,320,0.2735,19.4684,0.2005,-0.0073,0.2077
37,0.1448,0.2904,0.0856,0.0451,160,-0.2275,320,0.2776,19.6284,0.2042,-0.0068,0.2110
38,0.1469,0.2933,0.0873,0.0455,160,-0.2288,320,0.2814,19.7297,0.2077,-0.0064,0.2141
39,0.1489,0.2961,0.0888,0.0459,160,-0.2301,320,0.2851,20.1297,0.2111,-0.0060,0.2171
40,0.1507,0.2988,0.0904,0.0463,160,-0.2314,320,0.2887,20.5089,0.2143,-0.0056,0.2199
41,0.1525,0.3014,0.0919,0.0466,160,-0.2325,320,0.2921,20.7498,0.2174,-0.0052,0.2227
42,0.1543,0.3039,0.0933,0.0470,158,-0.2367,322,0.2936,20.7935,0.2204,-0.0049,0.2253
43,0.1560,0.3063,0.0947,0.0473,156,-0.2409,324,0.2950,20.7935,0.2233,-0.0044,0.2278
44,0.1577,0.3088,0.0960,0.0475,155,-0.2436,325,0.2973,20.5737,0.2262,-0.0040,0.2302
45,0.1594,0.3110,0.0973,0.0478,155,-0.2446,325,0.3003,20.7354,0.2290,-0.0035,0.2326
46,0.1610,0.3132,0.0985,0.0480,154,-0.2471,326,0.3024,20.9188,0.2317,-0.0031,0.2348
47,0.1628,0.3154,0.0997,0.0481,154,-0.2477,326,0.3053,21.2458,0.2344,-0.0022,0.2366
48,0.1645,0.3174,0.1008,0.0482,154,-0.2483,326,0.3082,21.3712,0.2369,-0.0014,0.2384
49,0.1661,0.3194,0.1019,0.0483,153,-0.2505,327,0.3100,21.5565,0.2393,-0.0007,0.2400
50,0.1677,0.3213,0.1030,0.0484,152,-0.2527,328,0.3117,21.6382,0.2417,0.0001,0.2417
51,0.1693,0.3233,0.1040,0.0484,153,-0.2516,327,0.3154,21.7418,0.2442,0.0008,0.2435
52,0.1709,0.3252,0.1050,0.0485,151,-0.2556,329,0.3162,21.8672,0.2466,0.0015,0.2452
53,0.1727,0.3273,0.1060,0.0485,150,-0.2578,330,0.3182,21.9489,0.2491,0.0026,0.2465
54,0.1744,0.3293,0.1069,0.0485,150,-0.2581,330,0.3210,22.1463,0.2515,0.0038,0.2476
55,0.1761,0.3312,0.1078,0.0485,149,-0.2602,331,0.3227,22.1463,0.2537,0.0050,0.2488
56,0.1778,0.3332,0.1087,0.0485,149,-0.2607,331,0.3255,21.9130,0.2559,0.0062,0.2497
