step,community_0,community_1,community_2,community_4,community_5,community_6,community_7,community_10,community_12,community_13,community_14,community_16,community_17,community_22,community_30,community_31,community_32,community_36,community_42,community_45,community_46,community_53,community_55,community_60,community_86,community_156
0,0.0028,0.0019,0.0020,0.0027,0.0043,0.0043,0.0031,0.0039,0.0040,0.0044,0.0034,0.0016,0.0037,0.0041,0.0022,0.0031,0.0036,0.0023,0.0029,0.0039,0.0028,0.0022,0.0031,0.0032,0.0039,0.0035
1,0.0025,0.0018,0.0015,0.0023,0.0038,0.0041,0.0025,0.0034,0.0029,0.0044,0.0030,0.0013,0.0039,0.0030,0.0015,0.0031,0.0035,0.0022,0.0028,0.0039,0.0020,0.0020,0.0028,0.0027,0.0030,0.0040
2,0.0032,0.0018,0.0012,0.0021,0.0038,0.0043,0.0024,0.0033,0.0025,0.0046,0.0028,0.0012,0.0045,0.0035,0.0015,0.0035,0.0037,0.0021,0.0028,0.0046,0.0022,0.0022,0.0026,0.0031,0.0025,0.0047
3,0.0043,0.0018,0.0011,0.0022,0.0042,0.0049,0.0023,0.0038,0.0027,0.0050,0.0028,0.0013,0.0056,0.0051,0.0023,0.0038,0.0041,0.0023,0.0029,0.0056,0.0029,0.0028,0.0027,0.0036,0.0025,0.0058
4,0.0059,0.0018,0.0013,0.0025,0.0049,0.0063,0.0025,0.0043,0.0031,0.0054,0.0031,0.0016,0.0071,0.0076,0.0036,0.0042,0.0047,0.0026,0.0031,0.0070,0.0039,0.0036,0.0030,0.0042,0.0029,0.0065
5,0.0077,0.0018,0.0016,0.0029,0.0059,0.0080,0.0028,0.0054,0.0037,0.0059,0.0036,0.0021,0.0087,0.0107,0.0053,0.0046,0.0054,0.0029,0.0034,0.0085,0.0052,0.0047,0.0034,0.0055,0.0036,0.0075
6,0.0097,0.0018,0.0020,0.0034,0.0070,0.0099,0.0032,0.0066,0.0043,0.0064,0.0042,0.0027,0.0105,0.0142,0.0071,0.0051,0.0064,0.0034,0.0038,0.0102,0.0066,0.0060,0.0039,0.0070,0.0038,0.0081
7,0.0118,0.0018,0.0024,0.0039,0.0083,0.0121,0.0037,0.0080,0.0051,0.0070,0.0049,0.0034,0.0121,0.0181,0.0091,0.0056,0.0074,0.0038,0.0041,0.0120,0.0078,0.0075,0.0045,0.0085,0.0045,0.0089
8,0.0140,0.0018,0.0029,0.0046,0.0096,0.0143,0.0041,0.0096,0.0060,0.0076,0.0057,0.0041,0.0138,0.0223,0.0113,0.0062,0.0083,0.0044,0.0045,0.0139,0.0091,0.0091,0.0051,0.0097,0.0049,0.0097
9,0.0163,0.0019,0.0034,0.0052,0.0111,0.0167,0.0047,0.0111,0.0070,0.0082,0.0065,0.0048,0.0156,0.0266,0.0137,0.0067,0.0094,0.0049,0.0050,0.0159,0.0104,0.0107,0.0057,0.0104,0.0056,0.0106
