agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,0,0.1598,0.0637,0.1024,0.1661
1,1,0,0.5038,0.2011,0.3649,0.5660
2,-1,0,0.2742,0.1092,0.1839,0.2932
3,1,0,0.1112,0.0443,0.0728,0.1171
4,1,0,0.3631,0.1448,0.2463,0.3912
5,-1,0,0.0638,0.0254,0.0412,0.0666
6,1,0,0.1188,0.0473,0.0775,0.1248
7,1,0,0.3996,0.1595,0.2718,0.4314
8,-1,0,0.0550,0.0219,0.0365,0.0584
9,-1,0,0.7819,0.3128,0.7377,1.0505
10,-1,0,0.0415,0.0165,0.0266,0.0432
11,-1,0,0.6813,0.2725,0.5593,0.8318
12,-1,0,0.3740,0.1494,0.2491,0.3985
13,-1,0,0.5160,0.2063,0.3669,0.5732
14,1,0,0.5002,0.1997,0.3601,0.5598
15,1,0,0.2880,0.1148,0.1908,0.3056
16,1,0,0.0129,0.0051,0.0087,0.0138
17,-1,0,0.0586,0.0233,0.0388,0.0621
18,-1,0,0.1234,0.0492,0.0778,0.1271
19,-1,0,0.6039,0.2415,0.4579,0.6994
20,1,0,0.2902,0.1154,0.1990,0.3144
21,1,0,0.0336,0.0134,0.0220,0.0353
22,-1,0,0.0619,0.0246,0.0402,0.0648
23,-1,0,0.0331,0.0132,0.0209,0.0341
24,-1,0,0.5410,0.2163,0.3911,0.6074
25,1,0,0.0183,0.0073,0.0125,0.0197
26,-1,0,0.0062,0.0025,0.0039,0.0063
27,1,0,0.1061,0.0421,0.0710,0.1131
28,-1,0,0.0019,0.0007,0.0013,0.0021
29,1,0,0.0542,0.0213,0.0414,0.0627
30,-1,0,0.5314,0.2125,0.3796,0.5921
31,1,0,0.2242,0.0891,0.1530,0.2421
32,-1,0,0.4282,0.1713,0.2873,0.4585
33,1,0,0.0360,0.0143,0.0240,0.0383
34,-1,0,0.2964,0.1181,0.1994,0.3175
35,-1,0,0.2373,0.0945,0.1567,0.2512
36,1,0,0.1167,0.0464,0.0780,0.1243
37,-1,0,0.2066,0.0821,0.1399,0.2220
38,1,0,0.0308,0.0122,0.0199,0.0321
39,-1,0,0.4593,0.1837,0.3129,0.4966
40,-1,0,0.5445,0.2178,0.3930,0.6108
41,1,0,0.0235,0.0093,0.0158,0.0251
42,-1,0,0.5636,0.2254,0.4129,0.6383
43,1,0,0.0666,0.0262,0.0504,0.0766
44,-1,0,0.0534,0.0213,0.0347,0.0560
45,-1,0,0.0062,0.0025,0.0043,0.0068
46,-1,0,0.0643,0.0256,0.0409,0.0665
47,1,0,0.0543,0.0216,0.0354,0.0570
48,-1,0,0.1492,0.0593,0.0991,0.1584
49,1,0,0.1128,0.0449,0.0735,0.1184
50,-1,0,0.6254,0.2502,0.4837,0.7339
51,1,0,0.0056,0.0022,0.0050,0.0072
52,1,0,0.0743,0.0295,0.0486,0.0781
53,1,0,0.0629,0.0249,0.0428,0.0678
54,-1,0,0.0318,0.0127,0.0205,0.0331
55,1,0,0.1175,0.0466,0.0795,0.1262
56,1,0,0.0516,0.0205,0.0351,0.0556
57,-1,0,0.5870,0.2348,0.4383,0.6731
58,1,0,0.4377,0.1747,0.3065,0.4811
59,-1,0,0.5601,0.2241,0.4091,0.6331
60,-1,0,0.0277,0.0110,0.0180,0.0290
61,1,0,0.0123,0.0049,0.0082,0.0131
62,-1,0,0.8412,0.3365,0.8897,1.2262
63,-1,0,0.2966,0.1182,0.1996,0.3177
64,1,0,0.4734,0.1888,0.3419,0.5306
65,1,0,0.1673,0.0667,0.1065,0.1732
66,-1,0,0.0737,0.0294,0.0464,0.0758
67,-1,0,0.0182,0.0072,0.0116,0.0189
68,1,0,0.5989,0.2391,0.4690,0.7081
69,-1,0,0.0919,0.0365,0.0601,0.0966
70,-1,0,0.5152,0.2061,0.3638,0.5699
71,1,0,0.1739,0.0693,0.1134,0.1827
72,1,0,0.4856,0.1939,0.3478,0.5416
73,1,0,0.1442,0.0573,0.0963,0.1536
74,-1,0,0.0469,0.0187,0.0299,0.0486
75,-1,0,0.1670,0.0666,0.1075,0.1741
76,1,0,0.1820,0.0724,0.1204,0.1928
77,1,0,0.0574,0.0226,0.0429,0.0655
78,1,0,0.3923,0.1568,0.2623,0.4191
79,-1,0,0.0365,0.0145,0.0246,0.0391
80,-1,0,0.0408,0.0162,0.0264,0.0426
81,-1,0,0.2319,0.0928,0.1434,0.2362
82,-1,0,0.0124,0.0049,0.0082,0.0132
83,-1,0,0.0072,0.0029,0.0047,0.0075
84,1,0,0.3915,0.1560,0.2727,0.4287
85,-1,0,0.0030,0.0012,0.0020,0.0032
86,-1,0,0.0291,0.0116,0.0190,0.0306
87,1,0,0.0064,0.0025,0.0043,0.0069
88,-1,0,0.1265,0.0505,0.0781,0.1286
89,1,0,0.2780,0.1107,0.1887,0.2993
90,-1,0,0.3361,0.1344,0.2171,0.3515
91,-1,0,0.2350,0.0937,0.1529,0.2466
92,1,0,0.1419,0.0564,0.0949,0.1513
93,1,0,0.2792,0.1113,0.1854,0.2967
94,-1,0,0.6929,0.2772,0.5764,0.8536
95,-1,0,0.1940,0.0774,0.1233,0.2007
96,-1,0,0.2797,0.1118,0.1767,0.2885
97,1,0,0.0108,0.0043,0.0073,0.0115
98,-1,0,0.3431,0.1372,0.2204,0.3576
99,-1,0,0.0191,0.0076,0.0128,0.0204
100,1,0,0.1688,0.0673,0.1087,0.1759
101,-1,0,0.0509,0.0203,0.0331,0.0533
102,1,0,0.0756,0.0301,0.0487,0.0788
103,-1,0,0.6193,0.2477,0.4761,0.7238
104,-1,0,0.5268,0.2107,0.3751,0.5858
105,1,0,0.0218,0.0087,0.0140,0.0227
106,-1,0,0.0054,0.0022,0.0035,0.0057
107,1,0,0.3069,0.1225,0.2012,0.3237
108,-1,0,0.5505,0.2202,0.3989,0.6191
109,-1,0,0.0046,0.0018,0.0031,0.0050
110,-1,0,0.0947,0.0376,0.0630,0.1006
111,-1,0,0.9962,0.3985,2.7339,3.1324
112,-1,0,0.2131,0.0849,0.1387,0.2236
113,-1,0,0.4280,0.1712,0.2863,0.4575
114,1,0,0.1711,0.0682,0.1116,0.1797
115,1,0,0.1544,0.0614,0.1017,0.1631
