step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
0,0.0043,0.0034,0.0036,0.0034,0.0042,0.0029,0.0044,0.0039,0.0034,0.0038,0.0032,0.0028,0.0025,0.0025,0.0028,0.0038,0.0041,0.0034,0.0025,0.0031,0.0037,0.0039,0.0039,0.0019,0.0032,0.0034,0.0032
1,0.0038,0.0030,0.0031,0.0029,0.0036,0.0026,0.0039,0.0034,0.0030,0.0033,0.0028,0.0023,0.0021,0.0022,0.0025,0.0033,0.0036,0.0030,0.0023,0.0028,0.0034,0.0035,0.0042,0.0016,0.0029,0.0029,0.0028
2,0.0034,0.0027,0.0026,0.0024,0.0031,0.0023,0.0034,0.0030,0.0027,0.0028,0.0025,0.0019,0.0019,0.0018,0.0022,0.0029,0.0031,0.0027,0.0021,0.0024,0.0031,0.0031,0.0048,0.0014,0.0026,0.0026,0.0025
3,0.0032,0.0024,0.0023,0.0020,0.0028,0.0021,0.0030,0.0026,0.0024,0.0025,0.0023,0.0016,0.0016,0.0016,0.0019,0.0025,0.0026,0.0025,0.0020,0.0022,0.0029,0.0027,0.0056,0.0013,0.0024,0.0022,0.0022
4,0.0029,0.0021,0.0020,0.0017,0.0025,0.0018,0.0027,0.0023,0.0021,0.0021,0.0020,0.0014,0.0014,0.0013,0.0017,0.0022,0.0023,0.0022,0.0018,0.0019,0.0028,0.0024,0.0064,0.0011,0.0022,0.0020,0.0019
5,0.0028,0.0019,0.0017,0.0015,0.0024,0.0017,0.0023,0.0021,0.0019,0.0019,0.0018,0.0012,0.0012,0.0011,0.0015,0.0019,0.0020,0.0020,0.0017,0.0017,0.0027,0.0022,0.0074,0.0010,0.0021,0.0017,0.0017
6,0.0026,0.0017,0.0015,0.0012,0.0023,0.0015,0.0021,0.0018,0.0017,0.0016,0.0016,0.0010,0.0011,0.0010,0.0013,0.0017,0.0017,0.0018,0.0016,0.0015,0.0027,0.0019,0.0084,0.0009,0.0020,0.0015,0.0015
7,0.0025,0.0016,0.0013,0.0011,0.0022,0.0013,0.0019,0.0016,0.0015,0.0014,0.0014,0.0009,0.0009,0.0008,0.0012,0.0015,0.0015,0.0017,0.0015,0.0013,0.0027,0.0018,0.0094,0.0008,0.0019,0.0014,0.0013
8,0.0025,0.0014,0.0012,0.0009,0.0022,0.0012,0.0016,0.0014,0.0013,0.0013,0.0013,0.0008,0.0008,0.0007,0.0010,0.0014,0.0013,0.0015,0.0014,0.0012,0.0027,0.0016,0.0103,0.0007,0.0019,0.0012,0.0012
9,0.0024,0.0013,0.0010,0.0008,0.0022,0.0011,0.0015,0.0013,0.0012,0.0011,0.0012,0.0007,0.0007,0.0006,0.0009,0.0013,0.0011,0.0014,0.0013,0.0011,0.0028,0.0014,0.0113,0.0007,0.0019,0.0011,0.0011
