agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,1,0.3371,0.1349,0.2160,0.3509
1,1,1,0.4301,0.1720,0.2880,0.4600
2,1,0,0.4908,0.1963,0.3408,0.5371
3,1,1,1.0000,0.4000,0.0000,0.4000
4,-1,1,-0.4397,-0.1759,-0.2960,-0.4719
5,-1,0,0.3217,0.1287,0.2049,0.3336
6,-1,0,-0.5411,-0.2164,-0.3893,-0.6057
7,1,1,0.1191,0.0476,0.0720,0.1196
8,-1,1,0.1191,0.0476,0.0720,0.1196
9,1,1,-0.2328,-0.0931,-0.1440,-0.2371
10,-1,0,-0.8038,-0.3215,-0.7877,-1.1093
11,1,0,-0.4528,-0.1811,-0.3071,-0.4882
12,-1,0,-0.4985,-0.1994,-0.3480,-0.5474
13,1,0,-0.3633,-0.1453,-0.2353,-0.3806
14,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
15,1,1,0.2328,0.0931,0.1440,0.2371
16,1,0,0.5407,0.2163,0.3889,0.6052
17,-1,0,-0.8724,-0.3490,-0.9942,-1.3432
18,-1,1,0.5814,0.2326,0.4320,0.6646
19,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
20,-1,0,0.4314,0.1726,0.2891,0.4616
21,-1,0,-0.4301,-0.1720,-0.2880,-0.4600
22,1,0,-0.6697,-0.2679,-0.5424,-0.8103
23,-1,1,-0.4986,-0.1994,-0.3480,-0.5474
24,1,1,0.3371,0.1349,0.2160,0.3509
25,-1,0,0.2328,0.0931,0.1440,0.2371
26,1,1,-0.4154,-0.1662,-0.2760,-0.4422
27,1,1,0.0000,0.0000,0.0000,0.0000
28,1,0,-0.5903,-0.2361,-0.4420,-0.6781
29,-1,1,0.2328,0.0931,0.1440,0.2371
30,1,0,0.8103,0.3241,0.8038,1.1279
31,1,0,-0.0302,-0.0121,-0.0181,-0.0302
32,-1,1,0.3371,0.1349,0.2160,0.3509
33,-1,1,0.3371,0.1349,0.2160,0.3509
34,1,1,1.0000,0.4000,0.0720,0.4720
35,-1,0,-0.6793,-0.2717,-0.5562,-0.8279
36,-1,0,-0.7472,-0.2989,-0.6677,-0.9665
37,1,1,-0.2628,-0.1051,-0.1640,-0.2691
38,-1,0,0.0110,0.0044,0.0063,0.0107
39,1,0,-0.6919,-0.2768,-0.5748,-0.8516
40,1,0,0.1014,0.0406,0.0612,0.1018
41,-1,0,-0.2165,-0.0866,-0.1333,-0.2199
42,-1,1,0.3371,0.1349,0.2160,0.3509
43,1,1,0.3371,0.1349,0.2160,0.3509
44,-1,0,-0.5808,-0.2323,-0.4313,-0.6636
45,1,0,-0.3194,-0.1277,-0.2033,-0.3310
46,1,0,-0.4589,-0.1836,-0.3124,-0.4960
47,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
48,1,1,1.0000,0.4000,0.2880,0.6880
49,-1,1,-0.8487,-0.3395,-0.9120,-1.2515
50,-1,0,-0.0408,-0.0163,-0.0245,-0.0408
51,-1,0,-0.2745,-0.1098,-0.1719,-0.2818
52,1,0,0.2643,0.1057,0.1650,0.2707
53,1,0,0.7737,0.3095,0.7200,1.0295
54,1,0,0.2551,0.1020,0.1589,0.2610
55,-1,0,-0.5699,-0.2280,-0.4194,-0.6474
56,-1,0,-0.4301,-0.1720,-0.2880,-0.4600
