step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
0,0.0398,0.0901,0.0036,0.0033,241.2,-0.0521,238.8,0.0523,0.0000,0.0004,-0.0005,0.0009
1,0.0418,0.0873,0.0032,0.0030,236.6,-0.0482,243.4,0.0504,0.0000,0.0045,-0.0003,0.0048
2,0.0437,0.0851,0.0029,0.0027,230.2,-0.0450,249.8,0.0489,0.0000,0.0086,-0.0001,0.0088
3,0.0457,0.0836,0.0028,0.0025,223.9,-0.0423,256.1,0.0480,0.0000,0.0128,0.0000,0.0128
4,0.0477,0.0825,0.0027,0.0023,218.1,-0.0399,261.9,0.0479,0.0000,0.0170,0.0003,0.0168
5,0.0497,0.0819,0.0028,0.0023,211.5,-0.0381,268.5,0.0480,0.0000,0.0213,0.0005,0.0208
6,0.0517,0.0818,0.0029,0.0022,206.7,-0.0363,273.3,0.0489,0.0000,0.0255,0.0007,0.0248
7,0.0538,0.0818,0.0030,0.0022,204.3,-0.0343,275.7,0.0503,0.0000,0.0298,0.0010,0.0289
8,0.0558,0.0820,0.0032,0.0023,201.2,-0.0324,278.8,0.0518,0.0000,0.0341,0.0012,0.0329
9,0.0579,0.0823,0.0035,0.0023,199.4,-0.0305,280.6,0.0535,0.0000,0.0384,0.0015,0.0369
10,0.0600,0.0827,0.0038,0.0024,195.5,-0.0290,284.5,0.0550,0.0000,0.0427,0.0018,0.0409
11,0.0621,0.0833,0.0041,0.0025,192.7,-0.0275,287.3,0.0568,0.0000,0.0470,0.0022,0.0449
12,0.0642,0.0840,0.0045,0.0026,188.8,-0.0261,291.2,0.0584,0.0000,0.0513,0.0025,0.0488
13,0.0663,0.0848,0.0049,0.0027,183.7,-0.0251,296.3,0.0598,0.0000,0.0556,0.0029,0.0527
14,0.0684,0.0857,0.0054,0.0029,178.3,-0.0242,301.7,0.0612,0.0000,0.0598,0.0032,0.0566
15,0.0705,0.0867,0.0058,0.0030,174.2,-0.0233,305.8,0.0630,0.0000,0.0641,0.0037,0.0604
16,0.0726,0.0879,0.0063,0.0031,170.7,-0.0223,309.3,0.0650,0.0000,0.0683,0.0041,0.0642
17,0.0747,0.0891,0.0068,0.0033,167.5,-0.0215,312.5,0.0669,0.0000,0.0725,0.0045,0.0679
18,0.0768,0.0904,0.0073,0.0034,164.7,-0.0206,315.3,0.0690,0.0000,0.0766,0.0050,0.0716
19,0.0789,0.0918,0.0079,0.0035,161.0,-0.0199,319.0,0.0709,0.0000,0.0807,0.0055,0.0753
20,0.0810,0.0932,0.0084,0.0037,156.8,-0.0193,323.2,0.0727,0.0000,0.0848,0.0060,0.0788
21,0.0831,0.0947,0.0090,0.0038,153.6,-0.0187,326.4,0.0747,0.0000,0.0888,0.0065,0.0823
22,0.0852,0.0962,0.0096,0.0040,150.8,-0.0182,329.2,0.0768,0.0000,0.0928,0.0071,0.0858
23,0.0872,0.0978,0.0102,0.0041,147.9,-0.0177,332.1,0.0789,0.0000,0.0968,0.0076,0.0892
24,0.0893,0.0994,0.0108,0.0042,144.2,-0.0173,335.8,0.0808,0.0000,0.1007,0.0082,0.0925
25,0.0914,0.1010,0.0114,0.0044,140.5,-0.0170,339.5,0.0826,0.0000,0.1046,0.0089,0.0957
