step,community_0,community_1,community_2,community_3,community_4,community_6,community_7,community_8,community_9,community_10,community_11,community_14,community_15,community_17,community_18,community_19,community_20,community_21,community_22,community_27,community_28,community_29,community_30,community_31,community_38,community_39,community_40,community_52,community_57
0,0.0041,0.0033,0.0033,0.0044,0.0037,0.0039,0.0036,0.0033,0.0027,0.0041,0.0036,0.0028,0.0037,0.0038,0.0038,0.0028,0.0042,0.0026,0.0037,0.0023,0.0043,0.0039,0.0034,0.0045,0.0032,0.0036,0.0043,0.0026,0.0031
1,0.0036,0.0029,0.0030,0.0037,0.0032,0.0034,0.0032,0.0027,0.0024,0.0037,0.0032,0.0025,0.0031,0.0035,0.0034,0.0024,0.0036,0.0022,0.0033,0.0021,0.0039,0.0034,0.0030,0.0042,0.0028,0.0033,0.0038,0.0023,0.0027
2,0.0032,0.0025,0.0027,0.0032,0.0028,0.0029,0.0028,0.0022,0.0022,0.0034,0.0028,0.0022,0.0027,0.0032,0.0030,0.0021,0.0031,0.0019,0.0030,0.0018,0.0035,0.0029,0.0026,0.0051,0.0024,0.0029,0.0034,0.0020,0.0024
3,0.0029,0.0022,0.0024,0.0028,0.0024,0.0025,0.0025,0.0019,0.0019,0.0031,0.0025,0.0019,0.0023,0.0029,0.0027,0.0018,0.0027,0.0017,0.0026,0.0016,0.0031,0.0025,0.0023,0.0068,0.0021,0.0026,0.0031,0.0017,0.0022
4,0.0027,0.0020,0.0022,0.0024,0.0022,0.0022,0.0022,0.0016,0.0017,0.0028,0.0022,0.0017,0.0020,0.0026,0.0024,0.0016,0.0024,0.0015,0.0024,0.0014,0.0028,0.0022,0.0020,0.0090,0.0018,0.0024,0.0028,0.0015,0.0019
5,0.0025,0.0017,0.0020,0.0021,0.0019,0.0019,0.0019,0.0014,0.0016,0.0026,0.0019,0.0015,0.0017,0.0024,0.0021,0.0014,0.0021,0.0013,0.0021,0.0012,0.0026,0.0019,0.0017,0.0115,0.0016,0.0022,0.0025,0.0013,0.0018
6,0.0023,0.0015,0.0018,0.0018,0.0017,0.0016,0.0017,0.0012,0.0014,0.0024,0.0017,0.0013,0.0015,0.0022,0.0019,0.0012,0.0018,0.0011,0.0019,0.0011,0.0023,0.0017,0.0015,0.0142,0.0014,0.0020,0.0023,0.0011,0.0016
7,0.0021,0.0014,0.0016,0.0016,0.0015,0.0014,0.0015,0.0011,0.0013,0.0023,0.0015,0.0012,0.0013,0.0021,0.0017,0.0010,0.0016,0.0010,0.0017,0.0010,0.0021,0.0015,0.0013,0.0170,0.0012,0.0018,0.0021,0.0010,0.0015
8,0.0020,0.0012,0.0015,0.0014,0.0013,0.0012,0.0013,0.0011,0.0012,0.0022,0.0013,0.0010,0.0011,0.0019,0.0016,0.0009,0.0014,0.0009,0.0016,0.0009,0.0019,0.0013,0.0012,0.0197,0.0011,0.0016,0.0019,0.0009,0.0014
9,0.0019,0.0011,0.0014,0.0012,0.0012,0.0011,0.0012,0.0010,0.0011,0.0021,0.0012,0.0009,0.0010,0.0017,0.0014,0.0008,0.0012,0.0008,0.0014,0.0008,0.0017,0.0012,0.0010,0.0224,0.0009,0.0015,0.0017,0.0008,0.0013
10,0.0019,0.0009,0.0012,0.0010,0.0011,0.0009,0.0011,0.0010,0.0010,0.0020,0.0011,0.0008,0.0008,0.0016,0.0013,0.0007,0.0010,0.0007,0.0013,0.0007,0.0016,0.0010,0.0009,0.0249,0.0008,0.0014,0.0016,0.0007,0.0012
11,0.0018,0.0008,0.0011,0.0009,0.0009,0.0008,0.0009,0.0010,0.0009,0.0019,0.0009,0.0007,0.0007,0.0015,0.0012,0.0006,0.0009,0.0006,0.0012,0.0006,0.0014,0.0009,0.0008,0.0273,0.0007,0.0013,0.0014,0.0006,0.0011
12,0.0018,0.0008,0.0011,0.0008,0.0009,0.0007,0.0008,0.0011,0.0008,0.0019,0.0008,0.0006,0.0007,0.0014,0.0011,0.0005,0.0008,0.0005,0.0011,0.0006,0.0013,0.0008,0.0007,0.0295,0.0007,0.0012,0.0013,0.0005,0.0011
13,0.0018,0.0007,0.0010,0.0007,0.0008,0.0007,0.0008,0.0011,0.0008,0.0019,0.0007,0.0006,0.0006,0.0013,0.0010,0.0005,0.0007,0.0005,0.0010,0.0005,0.0012,0.0008,0.0007,0.0314,0.0006,0.0011,0.0012,0.0005,0.0010
14,0.0017,0.0006,0.0009,0.0006,0.0007,0.0006,0.0007,0.0012,0.0007,0.0018,0.0007,0.0005,0.0005,0.0012,0.0009,0.0004,0.0006,0.0004,0.0009,0.0005,0.0011,0.0007,0.0006,0.0332,0.0005,0.0010,0.0011,0.0004,0.0010
15,0.0017,0.0005,0.0008,0.0006,0.0006,0.0005,0.0006,0.0013,0.0006,0.0018,0.0006,0.0005,0.0005,0.0011,0.0008,0.0004,0.0005,0.0004,0.0008,0.0004,0.0010,0.0006,0.0005,0.0349,0.0005,0.0009,0.0010,0.0004,0.0010
