step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_9,community_10,community_12,community_13,community_14,community_15,community_16,community_17,community_19,community_23,community_31,community_34,community_35,community_39,community_41,community_45,community_48,community_49,community_51,community_52,community_53,community_60,community_61,community_66,community_76,community_81,community_82
27,0.0041,0.0025,0.0005,0.0024,0.0041,0.0110,0.0002,0.0140,0.0015,0.0095,0.0020,0.0166,0.0088,0.0004,0.0001,0.0106,0.0022,0.0017,0.0015,0.0126,0.0172,0.0113,0.0069,0.0006,0.0024,0.0030,0.0001,0.0048,0.0020,0.0001,0.0028,0.0046,0.0019,0.0129,0.0035
28,0.0042,0.0026,0.0005,0.0024,0.0043,0.0110,0.0002,0.0146,0.0015,0.0098,0.0021,0.0168,0.0091,0.0004,0.0001,0.0108,0.0022,0.0018,0.0016,0.0129,0.0177,0.0116,0.0071,0.0006,0.0024,0.0031,0.0001,0.0049,0.0020,0.0000,0.0029,0.0048,0.0019,0.0132,0.0036
29,0.0043,0.0026,0.0004,0.0025,0.0044,0.0111,0.0002,0.0152,0.0015,0.0100,0.0022,0.0169,0.0093,0.0003,0.0001,0.0111,0.0022,0.0018,0.0016,0.0132,0.0183,0.0119,0.0073,0.0007,0.0025,0.0031,0.0001,0.0050,0.0021,0.0000,0.0030,0.0049,0.0020,0.0134,0.0037
30,0.0043,0.0027,0.0004,0.0025,0.0045,0.0111,0.0001,0.0158,0.0016,0.0103,0.0023,0.0170,0.0096,0.0003,0.0001,0.0113,0.0023,0.0019,0.0017,0.0135,0.0188,0.0122,0.0075,0.0007,0.0026,0.0032,0.0001,0.0051,0.0021,0.0000,0.0030,0.0050,0.0020,0.0136,0.0038
31,0.0044,0.0028,0.0004,0.0026,0.0046,0.0111,0.0001,0.0164,0.0016,0.0105,0.0024,0.0171,0.0098,0.0003,0.0001,0.0115,0.0023,0.0020,0.0017,0.0138,0.0193,0.0124,0.0078,0.0007,0.0026,0.0033,0.0001,0.0052,0.0022,0.0000,0.0031,0.0051,0.0021,0.0138,0.0039
32,0.0044,0.0029,0.0004,0.0026,0.0047,0.0111,0.0001,0.0170,0.0016,0.0107,0.0025,0.0172,0.0100,0.0003,0.0001,0.0117,0.0023,0.0020,0.0018,0.0141,0.0198,0.0127,0.0080,0.0007,0.0027,0.0033,0.0001,0.0053,0.0023,0.0000,0.0032,0.0053,0.0022,0.0139,0.0040
33,0.0045,0.0029,0.0003,0.0027,0.0048,0.0111,0.0001,0.0176,0.0017,0.0109,0.0026,0.0172,0.0102,0.0002,0.0001,0.0120,0.0023,0.0021,0.0018,0.0143,0.0202,0.0130,0.0082,0.0007,0.0027,0.0034,0.0001,0.0054,0.0023,0.0000,0.0032,0.0054,0.0022,0.0141,0.0040
34,0.0046,0.0030,0.0003,0.0027,0.0049,0.0111,0.0001,0.0182,0.0017,0.0111,0.0028,0.0173,0.0105,0.0002,0.0001,0.0121,0.0024,0.0022,0.0018,0.0146,0.0207,0.0132,0.0084,0.0007,0.0028,0.0035,0.0001,0.0055,0.0024,0.0000,0.0033,0.0055,0.0023,0.0142,0.0041
35,0.0046,0.0031,0.0003,0.0028,0.0050,0.0111,0.0001,0.0187,0.0017,0.0113,0.0029,0.0173,0.0107,0.0002,0.0001,0.0123,0.0024,0.0022,0.0019,0.0148,0.0211,0.0135,0.0085,0.0008,0.0028,0.0035,0.0001,0.0055,0.0024,0.0000,0.0034,0.0056,0.0023,0.0143,0.0042
36,0.0047,0.0031,0.0003,0.0028,0.0051,0.0110,0.0001,0.0193,0.0018,0.0115,0.0030,0.0173,0.0109,0.0002,0.0002,0.0125,0.0024,0.0023,0.0019,0.0150,0.0215,0.0137,0.0087,0.0008,0.0029,0.0036,0.0001,0.0056,0.0025,0.0000,0.0034,0.0058,0.0024,0.0144,0.0043
