step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0036,0.0511,0.0035,0.0033,239,-0.0497,261,0.0524,0.0000,0.0052,0.0026,0.0025
1,0.0062,0.0497,0.0033,0.0031,228,-0.0477,272,0.0514,0.0000,0.0068,0.0058,0.0010
2,0.0099,0.0519,0.0037,0.0033,221,-0.0475,279,0.0554,0.0000,0.0097,0.0100,-0.0003
3,0.0140,0.0561,0.0044,0.0038,218,-0.0482,282,0.0621,0.0000,0.0131,0.0145,-0.0014
4,0.0183,0.0624,0.0056,0.0045,210,-0.0525,290,0.0695,0.0000,0.0166,0.0193,-0.0026
5,0.0229,0.0700,0.0071,0.0054,207,-0.0569,293,0.0793,0.0865,0.0198,0.0247,-0.0050
6,0.0270,0.0785,0.0090,0.0065,203,-0.0634,297,0.0888,0.2144,0.0228,0.0295,-0.0067
7,0.0313,0.0874,0.0111,0.0077,201,-0.0697,299,0.0992,0.3545,0.0257,0.0347,-0.0089
8,0.0355,0.0959,0.0134,0.0090,199,-0.0758,301,0.1092,0.4946,0.0285,0.0398,-0.0112
9,0.0397,0.1043,0.0159,0.0104,195,-0.0828,305,0.1180,0.6744,0.0309,0.0450,-0.0141
10,0.0439,0.1126,0.0185,0.0118,193,-0.0890,307,0.1274,1.2323,0.0332,0.0503,-0.0172
11,0.0480,0.1206,0.0212,0.0133,191,-0.0950,309,0.1365,1.5618,0.0355,0.0556,-0.0201
12,0.0522,0.1286,0.0240,0.0147,190,-0.1005,310,0.1458,1.8268,0.0378,0.0609,-0.0231
13,0.0564,0.1366,0.0268,0.0161,183,-0.1096,317,0.1522,2.8223,0.0398,0.0664,-0.0265
14,0.0604,0.1443,0.0297,0.0175,183,-0.1145,317,0.1614,3.3780,0.0418,0.0716,-0.0298
15,0.0644,0.1517,0.0326,0.0189,183,-0.1193,317,0.1704,3.8085,0.0438,0.0767,-0.0329
16,0.0681,0.1589,0.0355,0.0202,178,-0.1275,322,0.1762,4.5039,0.0458,0.0816,-0.0358
17,0.0718,0.1659,0.0384,0.0215,177,-0.1329,323,0.1839,5.0582,0.0478,0.0862,-0.0384
18,0.0751,0.1728,0.0414,0.0227,172,-0.1421,328,0.1889,6.1552,0.0498,0.0903,-0.0405
19,0.0784,0.1796,0.0443,0.0239,171,-0.1479,329,0.1960,7.4160,0.0518,0.0944,-0.0427
20,0.0816,0.1862,0.0472,0.0250,170,-0.1537,330,0.2029,8.4800,0.0537,0.0985,-0.0448
21,0.0848,0.1925,0.0501,0.0261,170,-0.1584,330,0.2101,8.6304,0.0556,0.1024,-0.0468
22,0.0878,0.1986,0.0529,0.0272,170,-0.1629,330,0.2170,9.6289,0.0574,0.1062,-0.0487
23,0.0907,0.2045,0.0557,0.0282,169,-0.1683,331,0.2230,10.2219,0.0591,0.1098,-0.0507
24,0.0935,0.2101,0.0585,0.0292,170,-0.1715,330,0.2300,10.7682,0.0608,0.1132,-0.0525
25,0.0961,0.2156,0.0612,0.0302,170,-0.1757,330,0.2361,12.2372,0.0624,0.1165,-0.0541
26,0.0987,0.2208,0.0638,0.0311,170,-0.1796,330,0.2420,13.0195,0.0640,0.1196,-0.0556
27,0.1011,0.2258,0.0664,0.0319,169,-0.1845,331,0.2469,14.2428,0.0655,0.1225,-0.0570
28,0.1035,0.2306,0.0689,0.0328,169,-0.1880,331,0.2524,14.6123,0.0672,0.1254,-0.0581
29,0.1059,0.2352,0.0713,0.0335,169,-0.1913,331,0.2576,15.0985,0.0689,0.1281,-0.0592
30,0.1081,0.2396,0.0737,0.0343,170,-0.1934,330,0.2634,16.0132,0.0705,0.1307,-0.0602
31,0.1103,0.2438,0.0760,0.0350,170,-0.1965,330,0.2683,16.5019,0.0721,0.1332,-0.0611
32,0.1123,0.2479,0.0782,0.0357,170,-0.1994,330,0.2729,16.9943,0.0737,0.1356,-0.0619
33,0.1143,0.2518,0.0803,0.0363,170,-0.2021,330,0.2773,17.1491,0.0752,0.1379,-0.0627
