step,community_0,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_20,community_21,community_24,community_25,community_28,community_33,community_39,community_42,community_43,community_44,community_53,community_74,community_89
0,0.0040,0.0035,0.0014,0.0027,0.0035,0.0026,0.0030,0.0045,0.0042,0.0039,0.0030,0.0029,0.0032,0.0039,0.0047,0.0026,0.0013,0.0021,0.0031,0.0043,0.0034,0.0021,0.0033,0.0041,0.0041,0.0023,0.0034,0.0042,0.0035
1,0.0033,0.0032,0.0014,0.0024,0.0029,0.0023,0.0025,0.0040,0.0038,0.0037,0.0026,0.0026,0.0028,0.0035,0.0039,0.0023,0.0011,0.0018,0.0026,0.0038,0.0029,0.0017,0.0027,0.0042,0.0036,0.0021,0.0029,0.0035,0.0030
2,0.0027,0.0030,0.0014,0.0022,0.0025,0.0020,0.0022,0.0035,0.0034,0.0035,0.0023,0.0023,0.0025,0.0031,0.0033,0.0021,0.0010,0.0017,0.0022,0.0033,0.0025,0.0015,0.0024,0.0044,0.0032,0.0021,0.0026,0.0031,0.0026
3,0.0024,0.0028,0.0015,0.0019,0.0022,0.0018,0.0019,0.0032,0.0030,0.0035,0.0020,0.0020,0.0022,0.0027,0.0030,0.0019,0.0008,0.0018,0.0019,0.0030,0.0021,0.0014,0.0021,0.0047,0.0029,0.0021,0.0022,0.0029,0.0022
4,0.0022,0.0026,0.0016,0.0017,0.0020,0.0016,0.0017,0.0028,0.0027,0.0035,0.0017,0.0018,0.0020,0.0024,0.0028,0.0017,0.0007,0.0020,0.0017,0.0027,0.0018,0.0015,0.0020,0.0051,0.0025,0.0021,0.0019,0.0029,0.0019
5,0.0021,0.0025,0.0017,0.0016,0.0019,0.0015,0.0015,0.0025,0.0025,0.0036,0.0015,0.0016,0.0018,0.0022,0.0028,0.0015,0.0006,0.0023,0.0016,0.0025,0.0016,0.0017,0.0020,0.0056,0.0023,0.0023,0.0017,0.0030,0.0016
6,0.0022,0.0024,0.0018,0.0014,0.0018,0.0013,0.0014,0.0023,0.0022,0.0036,0.0013,0.0014,0.0016,0.0019,0.0030,0.0014,0.0006,0.0027,0.0015,0.0023,0.0014,0.0019,0.0021,0.0062,0.0020,0.0024,0.0015,0.0032,0.0014
7,0.0023,0.0024,0.0020,0.0013,0.0018,0.0012,0.0013,0.0021,0.0020,0.0038,0.0011,0.0013,0.0014,0.0017,0.0032,0.0012,0.0005,0.0032,0.0015,0.0021,0.0012,0.0022,0.0023,0.0068,0.0018,0.0026,0.0013,0.0035,0.0012
8,0.0024,0.0024,0.0021,0.0012,0.0019,0.0010,0.0013,0.0019,0.0018,0.0039,0.0010,0.0011,0.0012,0.0015,0.0035,0.0011,0.0004,0.0037,0.0016,0.0020,0.0010,0.0025,0.0025,0.0074,0.0017,0.0028,0.0012,0.0038,0.0011
9,0.0027,0.0023,0.0023,0.0011,0.0020,0.0009,0.0012,0.0017,0.0017,0.0041,0.0009,0.0010,0.0011,0.0014,0.0039,0.0010,0.0004,0.0043,0.0017,0.0020,0.0009,0.0029,0.0028,0.0080,0.0015,0.0031,0.0010,0.0042,0.0009
10,0.0030,0.0023,0.0025,0.0010,0.0021,0.0008,0.0012,0.0015,0.0015,0.0042,0.0008,0.0009,0.0010,0.0012,0.0043,0.0009,0.0003,0.0049,0.0018,0.0019,0.0008,0.0033,0.0031,0.0087,0.0014,0.0033,0.0009,0.0046,0.0008
11,0.0033,0.0024,0.0026,0.0009,0.0022,0.0007,0.0012,0.0014,0.0014,0.0044,0.0007,0.0008,0.0009,0.0011,0.0048,0.0009,0.0003,0.0055,0.0020,0.0019,0.0007,0.0037,0.0034,0.0093,0.0013,0.0035,0.0008,0.0050,0.0007
12,0.0037,0.0024,0.0028,0.0008,0.0024,0.0007,0.0013,0.0013,0.0013,0.0046,0.0006,0.0007,0.0008,0.0010,0.0052,0.0008,0.0003,0.0061,0.0023,0.0019,0.0006,0.0041,0.0038,0.0100,0.0012,0.0037,0.0007,0.0055,0.0006
13,0.0040,0.0024,0.0030,0.0008,0.0026,0.0006,0.0013,0.0011,0.0011,0.0047,0.0005,0.0007,0.0007,0.0009,0.0058,0.0007,0.0002,0.0068,0.0025,0.0019,0.0005,0.0044,0.0042,0.0106,0.0011,0.0040,0.0006,0.0059,0.0005
