step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
54,0.1403,0.1436,0.0229,0.0068,102,-0.0082,378,0.1349,0.0000,0.1603,0.0309,0.1294
55,0.1418,0.1451,0.0233,0.0069,99,-0.0083,381,0.1357,0.0000,0.1620,0.0322,0.1299
56,0.1433,0.1465,0.0237,0.0070,98,-0.0082,382,0.1373,0.0000,0.1638,0.0335,0.1303
57,0.1448,0.1479,0.0242,0.0071,97,-0.0080,383,0.1388,0.0000,0.1655,0.0349,0.1306
58,0.1463,0.1493,0.0246,0.0071,95,-0.0080,385,0.1400,0.0000,0.1672,0.0363,0.1309
59,0.1478,0.1508,0.0250,0.0072,94,-0.0079,386,0.1416,0.0000,0.1688,0.0377,0.1312
60,0.1493,0.1522,0.0254,0.0073,94,-0.0077,386,0.1434,0.0000,0.1705,0.0391,0.1313
61,0.1508,0.1536,0.0259,0.0074,92,-0.0077,388,0.1446,0.0000,0.1721,0.0406,0.1315
62,0.1523,0.1550,0.0263,0.0074,92,-0.0075,388,0.1465,0.0000,0.1737,0.0421,0.1316
63,0.1537,0.1565,0.0267,0.0075,91,-0.0075,389,0.1480,0.0000,0.1753,0.0436,0.1316
64,0.1552,0.1579,0.0272,0.0076,91,-0.0073,389,0.1498,0.0000,0.1768,0.0451,0.1317
65,0.1567,0.1593,0.0276,0.0077,92,-0.0070,388,0.1520,0.0000,0.1783,0.0467,0.1316
66,0.1582,0.1607,0.0280,0.0077,92,-0.0069,388,0.1539,0.0000,0.1798,0.0482,0.1316
67,0.1596,0.1621,0.0285,0.0078,90,-0.0068,390,0.1549,0.0000,0.1813,0.0498,0.1315
68,0.1611,0.1635,0.0289,0.0079,90,-0.0067,390,0.1567,0.0000,0.1828,0.0514,0.1314
69,0.1625,0.1648,0.0294,0.0079,89,-0.0066,391,0.1581,0.0000,0.1842,0.0529,0.1313
70,0.1639,0.1662,0.0298,0.0080,89,-0.0064,391,0.1599,0.0000,0.1856,0.0545,0.1311
71,0.1653,0.1676,0.0303,0.0081,89,-0.0062,391,0.1617,0.0000,0.1870,0.0561,0.1309
72,0.1667,0.1689,0.0307,0.0081,89,-0.0061,391,0.1634,0.0000,0.1884,0.0576,0.1308
73,0.1681,0.1702,0.0311,0.0082,87,-0.0061,393,0.1643,0.0000,0.1898,0.0592,0.1306
74,0.1695,0.1715,0.0316,0.0082,86,-0.0060,394,0.1656,0.0000,0.1911,0.0607,0.1304
75,0.1708,0.1728,0.0320,0.0083,86,-0.0058,394,0.1673,0.0000,0.1924,0.0623,0.1302
76,0.1722,0.1741,0.0325,0.0084,84,-0.0058,396,0.1681,0.0000,0.1937,0.0638,0.1299
77,0.1735,0.1754,0.0329,0.0084,83,-0.0057,397,0.1693,0.0000,0.1950,0.0653,0.1297
78,0.1748,0.1767,0.0333,0.0085,83,-0.0056,397,0.1710,0.0000,0.1963,0.0668,0.1295
79,0.1761,0.1779,0.0337,0.0085,82,-0.0055,398,0.1721,0.0000,0.1975,0.0682,0.1293
80,0.1774,0.1791,0.0342,0.0086,79,-0.0055,401,0.1724,0.0000,0.1988,0.0697,0.1291
81,0.1786,0.1803,0.0346,0.0086,78,-0.0055,402,0.1735,0.0000,0.2000,0.0711,0.1289
82,0.1799,0.1815,0.0350,0.0087,77,-0.0054,403,0.1746,0.0000,0.2012,0.0725,0.1286
83,0.1811,0.1827,0.0354,0.0087,76,-0.0053,404,0.1756,0.0000,0.2024,0.0739,0.1285
84,0.1823,0.1839,0.0358,0.0087,74,-0.0053,406,0.1762,0.0000,0.2035,0.0753,0.1283
85,0.1835,0.1850,0.0361,0.0088,73,-0.0053,407,0.1772,0.0000,0.2047,0.0766,0.1281
86,0.1846,0.1861,0.0365,0.0088,71,-0.0053,409,0.1777,0.0000,0.2058,0.0779,0.1279
87,0.1858,0.1873,0.0369,0.0089,71,-0.0052,409,0.1791,0.0000,0.2070,0.0792,0.1277
88,0.1869,0.1883,0.0372,0.0089,70,-0.0051,410,0.1800,0.0000,0.2081,0.0805,0.1276
89,0.1880,0.1894,0.0376,0.0089,68,-0.0051,412,0.1805,0.0000,0.2092,0.0817,0.1275
90,0.1891,0.1905,0.0379,0.0090,67,-0.0051,413,0.1814,0.0000,0.2102,0.0829,0.1273
91,0.1902,0.1915,0.0382,0.0090,65,-0.0051,415,0.1818,0.0000,0.2113,0.0841,0.1272
92,0.1913,0.1926,0.0386,0.0090,63,-0.0052,417,0.1821,0.0000,0.2124,0.0853,0.1271
93,0.1923,0.1936,0.0389,0.0091,61,-0.0052,419,0.1825,0.0000,0.2134,0.0864,0.1270
94,0.1933,0.1946,0.0392,0.0091,61,-0.0051,419,0.1837,0.0000,0.2144,0.0875,0.1269
95,0.1943,0.1955,0.0394,0.0091,61,-0.0050,419,0.1849,0.0000,0.2155,0.0886,0.1268
96,0.1953,0.1965,0.0397,0.0091,61,-0.0049,419,0.1861,0.0000,0.2165,0.0897,0.1268
97,0.1963,0.1975,0.0400,0.0092,60,-0.0048,420,0.1868,0.0000,0.2175,0.0907,0.1267
98,0.1973,0.1984,0.0403,0.0092,60,-0.0047,420,0.1879,0.0000,0.2184,0.0918,0.1267
99,0.1982,0.1993,0.0405,0.0092,60,-0.0046,420,0.1890,0.0000,0.2194,0.0928,0.1267
100,0.1991,0.2002,0.0407,0.0092,60,-0.0045,420,0.1901,0.0000,0.2204,0.0937,0.1266
101,0.2001,0.2011,0.0410,0.0093,59,-0.0044,421,0.1907,0.0000,0.2213,0.0947,0.1266
102,0.2010,0.2020,0.0412,0.0093,59,-0.0043,421,0.1918,0.0000,0.2223,0.0957,0.1266
103,0.2019,0.2028,0.0414,0.0093,57,-0.0044,423,0.1919,0.0000,0.2232,0.0966,0.1266
104,0.2027,0.2037,0.0416,0.0093,56,-0.0043,424,0.1925,0.0000,0.2241,0.0975,0.1266
105,0.2036,0.2045,0.0418,0.0094,55,-0.0043,425,0.1930,0.0000,0.2250,0.0984,0.1267
106,0.2045,0.2054,0.0420,0.0094,53,-0.0043,427,0.1931,0.0000,0.2259,0.0992,0.1267
107,0.2053,0.2062,0.0422,0.0094,52,-0.0043,428,0.1936,0.0000,0.2268,0.1001,0.1267
108,0.2061,0.2070,0.0424,0.0094,52,-0.0042,428,0.1946,0.0000,0.2277,0.1009,0.1268
109,0.2069,0.2078,0.0425,0.0094,51,-0.0042,429,0.1951,0.0000,0.2286,0.1018,0.1268
110,0.2078,0.2086,0.0427,0.0095,51,-0.0041,429,0.1960,0.0000,0.2295,0.1026,0.1269
111,0.2086,0.2094,0.0428,0.0095,51,-0.0040,429,0.1969,0.0000,0.2303,0.1034,0.1269
112,0.2093,0.2101,0.0430,0.0095,51,-0.0039,429,0.1978,0.0000,0.2312,0.1042,0.1270
113,0.2101,0.2109,0.0431,0.0095,51,-0.0038,429,0.1987,0.0000,0.2320,0.1049,0.1271
114,0.2109,0.2117,0.0432,0.0095,51,-0.0037,429,0.1996,0.0000,0.2328,0.1057,0.1271
115,0.2117,0.2124,0.0434,0.0095,49,-0.0038,431,0.1996,0.0000,0.2337,0.1065,0.1272
116,0.2124,0.2131,0.0435,0.0096,48,-0.0038,432,0.2000,0.0000,0.2345,0.1072,0.1273
117,0.2132,0.2139,0.0436,0.0096,48,-0.0037,432,0.2008,0.0000,0.2353,0.1079,0.1274
118,0.2139,0.2146,0.0437,0.0096,48,-0.0036,432,0.2017,0.0000,0.2361,0.1086,0.1275
119,0.2146,0.2153,0.0438,0.0096,46,-0.0037,434,0.2016,0.0000,0.2369,0.1094,0.1275
120,0.2153,0.2160,0.0439,0.0096,45,-0.0037,435,0.2019,0.0000,0.2377,0.1101,0.1276
121,0.2161,0.2167,0.0440,0.0096,45,-0.0036,435,0.2027,0.0000,0.2385,0.1107,0.1277
122,0.2168,0.2174,0.0441,0.0097,45,-0.0035,435,0.2035,0.0000,0.2392,0.1114,0.1278
123,0.2175,0.2181,0.0442,0.0097,45,-0.0035,435,0.2043,0.0000,0.2400,0.1121,0.1279
124,0.2182,0.2188,0.0442,0.0097,45,-0.0034,435,0.2051,0.0000,0.2408,0.1128,0.1280
125,0.2188,0.2194,0.0443,0.0097,45,-0.0033,435,0.2059,0.0000,0.2415,0.1134,0.1281
126,0.2195,0.2201,0.0444,0.0097,45,-0.0032,435,0.2067,0.0000,0.2423,0.1141,0.1282
127,0.2202,0.2208,0.0445,0.0097,45,-0.0032,435,0.2075,0.0000,0.2430,0.1147,0.1283
128,0.2209,0.2214,0.0445,0.0098,45,-0.0031,435,0.2082,0.0000,0.2438,0.1154,0.1284
129,0.2215,0.2221,0.0446,0.0098,45,-0.0030,435,0.2090,0.0000,0.2445,0.1160,0.1285
130,0.2222,0.2227,0.0446,0.0098,45,-0.0029,435,0.2097,0.0000,0.2452,0.1167,0.1286
131,0.2229,0.2234,0.0447,0.0098,45,-0.0029,435,0.2105,0.0000,0.2460,0.1173,0.1287
132,0.2235,0.2240,0.0447,0.0098,44,-0.0029,436,0.2107,0.0000,0.2467,0.1179,0.1288
133,0.2242,0.2246,0.0448,0.0098,43,-0.0028,437,0.2110,0.0000,0.2474,0.1185,0.1289
134,0.2248,0.2253,0.0448,0.0099,43,-0.0028,437,0.2117,0.0000,0.2481,0.1192,0.1289
135,0.2254,0.2259,0.0449,0.0099,42,-0.0028,438,0.2119,0.0000,0.2488,0.1198,0.1290
136,0.2261,0.2265,0.0449,0.0099,41,-0.0028,439,0.2122,0.0000,0.2495,0.1204,0.1291
137,0.2267,0.2271,0.0449,0.0099,41,-0.0027,439,0.2129,0.0000,0.2502,0.1210,0.1292
138,0.2273,0.2277,0.0450,0.0099,40,-0.0027,440,0.2131,0.0000,0.2509,0.1216,0.1293
139,0.2279,0.2284,0.0450,0.0099,40,-0.0026,440,0.2138,0.0000,0.2516,0.1222,0.1294
140,0.2286,0.2290,0.0450,0.0100,40,-0.0025,440,0.2145,0.0000,0.2522,0.1228,0.1294
141,0.2292,0.2296,0.0451,0.0100,40,-0.0025,440,0.2152,0.0000,0.2529,0.1234,0.1295
142,0.2298,0.2302,0.0451,0.0100,38,-0.0025,442,0.2149,0.0000,0.2536,0.1240,0.1296
143,0.2304,0.2308,0.0451,0.0100,37,-0.0025,443,0.2151,0.0000,0.2542,0.1246,0.1297
144,0.2310,0.2313,0.0451,0.0100,35,-0.0026,445,0.2148,0.0000,0.2549,0.1252,0.1297
145,0.2316,0.2319,0.0452,0.0100,35,-0.0025,445,0.2155,0.0000,0.2555,0.1257,0.1298
146,0.2322,0.2325,0.0452,0.0101,34,-0.0025,446,0.2156,0.0000,0.2562,0.1263,0.1299
147,0.2328,0.2331,0.0452,0.0101,34,-0.0024,446,0.2163,0.0000,0.2568,0.1269,0.1299
148,0.2334,0.2337,0.0452,0.0101,34,-0.0023,446,0.2170,0.0000,0.2575,0.1275,0.1300
149,0.2339,0.2343,0.0452,0.0101,34,-0.0023,446,0.2176,0.0000,0.2581,0.1281,0.1300
150,0.2345,0.2348,0.0452,0.0101,33,-0.0022,447,0.2178,0.0000,0.2587,0.1286,0.1301
151,0.2351,0.2354,0.0453,0.0101,31,-0.0023,449,0.2174,0.0000,0.2594,0.1292,0.1302
152,0.2357,0.2360,0.0453,0.0102,29,-0.0024,451,0.2171,0.0000,0.2600,0.1298,0.1302
153,0.2363,0.2365,0.0453,0.0102,28,-0.0024,452,0.2173,0.0000,0.2606,0.1304,0.1302
154,0.2368,0.2371,0.0453,0.0102,28,-0.0023,452,0.2179,0.0000,0.2612,0.1309,0.1303
155,0.2374,0.2377,0.0453,0.0102,28,-0.0023,452,0.2185,0.0000,0.2618,0.1315,0.1303
156,0.2380,0.2382,0.0453,0.0102,27,-0.0023,453,0.2186,0.0000,0.2624,0.1321,0.1304
