step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0418,0.0911,0.0037,0.0035,239,-0.0515,241,0.0548,0.0000,0.0012,0.0026,-0.0014
1,0.0437,0.0884,0.0033,0.0031,235,-0.0475,245,0.0532,0.0000,0.0052,0.0026,0.0026
2,0.0457,0.0861,0.0031,0.0028,230,-0.0439,250,0.0518,0.0000,0.0093,0.0026,0.0066
3,0.0477,0.0844,0.0029,0.0026,221,-0.0415,259,0.0502,0.0000,0.0134,0.0027,0.0107
4,0.0498,0.0833,0.0029,0.0025,211,-0.0397,269,0.0493,0.0000,0.0177,0.0028,0.0149
5,0.0519,0.0828,0.0029,0.0024,202,-0.0383,278,0.0492,0.0000,0.0220,0.0029,0.0191
6,0.0541,0.0827,0.0030,0.0024,198,-0.0362,282,0.0504,0.0000,0.0264,0.0031,0.0233
7,0.0563,0.0829,0.0032,0.0024,196,-0.0340,284,0.0521,0.0000,0.0309,0.0032,0.0276
8,0.0585,0.0832,0.0035,0.0024,191,-0.0323,289,0.0534,0.0000,0.0354,0.0034,0.0319
9,0.0608,0.0838,0.0038,0.0025,186,-0.0310,294,0.0549,0.0000,0.0399,0.0037,0.0363
10,0.0631,0.0846,0.0042,0.0025,181,-0.0297,299,0.0566,0.0000,0.0445,0.0039,0.0406
11,0.0654,0.0855,0.0046,0.0026,179,-0.0280,301,0.0588,0.0000,0.0491,0.0042,0.0449
12,0.0677,0.0865,0.0050,0.0028,177,-0.0264,303,0.0612,0.0000,0.0537,0.0045,0.0492
13,0.0701,0.0876,0.0055,0.0029,174,-0.0251,306,0.0634,0.0000,0.0583,0.0048,0.0535
14,0.0725,0.0887,0.0060,0.0030,169,-0.0241,311,0.0653,0.0000,0.0630,0.0052,0.0578
15,0.0748,0.0900,0.0066,0.0031,161,-0.0236,319,0.0665,0.0000,0.0676,0.0055,0.0620
16,0.0772,0.0914,0.0071,0.0032,159,-0.0223,321,0.0690,0.0000,0.0722,0.0059,0.0663
17,0.0796,0.0928,0.0077,0.0034,156,-0.0212,324,0.0713,0.0000,0.0767,0.0063,0.0704
18,0.0819,0.0943,0.0084,0.0035,153,-0.0202,327,0.0736,0.0000,0.0813,0.0067,0.0745
19,0.0843,0.0959,0.0090,0.0036,147,-0.0197,333,0.0752,0.0000,0.0858,0.0072,0.0786
20,0.0866,0.0975,0.0097,0.0037,139,-0.0195,341,0.0764,0.0000,0.0902,0.0076,0.0826
21,0.0890,0.0992,0.0103,0.0038,135,-0.0190,345,0.0784,0.0000,0.0946,0.0081,0.0865
22,0.0913,0.1010,0.0110,0.0039,130,-0.0186,350,0.0802,0.0000,0.0990,0.0086,0.0904
23,0.0936,0.1027,0.0117,0.0041,129,-0.0177,351,0.0828,0.0000,0.1033,0.0091,0.0942
24,0.0959,0.1045,0.0124,0.0042,124,-0.0173,356,0.0845,0.0000,0.1076,0.0097,0.0979
25,0.0981,0.1063,0.0130,0.0043,114,-0.0179,366,0.0850,0.0000,0.1118,0.0102,0.1015
26,0.1004,0.1082,0.0137,0.0044,113,-0.0173,367,0.0876,0.0000,0.1159,0.0108,0.1051
27,0.1026,0.1101,0.0144,0.0045,109,-0.0172,371,0.0894,0.0000,0.1200,0.0114,0.1086
28,0.1048,0.1120,0.0151,0.0046,108,-0.0166,372,0.0919,0.0000,0.1240,0.0120,0.1120
29,0.1070,0.1139,0.0158,0.0047,106,-0.0163,374,0.0942,0.0000,0.1279,0.0126,0.1154
30,0.1092,0.1158,0.0165,0.0047,104,-0.0159,376,0.0964,0.0000,0.1318,0.0132,0.1186
31,0.1113,0.1177,0.0171,0.0048,102,-0.0156,378,0.0985,0.0000,0.1357,0.0139,0.1218
32,0.1134,0.1195,0.0178,0.0049,100,-0.0153,380,0.1006,0.0000,0.1395,0.0145,0.1249
33,0.1155,0.1214,0.0184,0.0050,97,-0.0152,383,0.1024,0.0000,0.1432,0.0152,0.1280
34,0.1176,0.1233,0.0190,0.0051,95,-0.0150,385,0.1045,0.0000,0.1468,0.0159,0.1309
35,0.1196,0.1251,0.0197,0.0052,93,-0.0148,387,0.1064,0.0000,0.1504,0.0166,0.1338
36,0.1217,0.1270,0.0203,0.0053,90,-0.0148,390,0.1081,0.0000,0.1540,0.0173,0.1366
37,0.1237,0.1288,0.0209,0.0053,89,-0.0144,391,0.1103,0.0000,0.1575,0.0180,0.1394
38,0.1257,0.1307,0.0214,0.0054,83,-0.0150,397,0.1111,0.0000,0.1609,0.0188,0.1421
39,0.1277,0.1325,0.0220,0.0055,80,-0.0152,400,0.1126,0.0000,0.1643,0.0196,0.1447
40,0.1296,0.1344,0.0225,0.0056,78,-0.0151,402,0.1144,0.0000,0.1676,0.0203,0.1473
41,0.1316,0.1362,0.0231,0.0056,76,-0.0152,404,0.1162,0.0000,0.1709,0.0211,0.1498
42,0.1335,0.1380,0.0236,0.0057,75,-0.0150,405,0.1182,0.0000,0.1741,0.0219,0.1522
43,0.1354,0.1398,0.0241,0.0058,73,-0.0151,407,0.1199,0.0000,0.1773,0.0228,0.1546
44,0.1373,0.1416,0.0246,0.0059,71,-0.0152,409,0.1216,0.0000,0.1805,0.0236,0.1569
45,0.1392,0.1434,0.0251,0.0059,72,-0.0146,408,0.1242,0.0000,0.1836,0.0245,0.1591
46,0.1411,0.1452,0.0255,0.0060,71,-0.0145,409,0.1261,0.0000,0.1867,0.0253,0.1613
47,0.1430,0.1470,0.0260,0.0061,71,-0.0141,409,0.1284,0.0000,0.1897,0.0262,0.1635
48,0.1449,0.1488,0.0264,0.0061,70,-0.0139,410,0.1302,0.0000,0.1927,0.0271,0.1656
49,0.1467,0.1505,0.0269,0.0062,69,-0.0138,411,0.1321,0.0000,0.1957,0.0280,0.1676
50,0.1486,0.1522,0.0273,0.0063,67,-0.0138,413,0.1337,0.0000,0.1986,0.0290,0.1696
51,0.1504,0.1540,0.0277,0.0064,67,-0.0134,413,0.1358,0.0000,0.2015,0.0299,0.1716
52,0.1522,0.1557,0.0281,0.0064,66,-0.0132,414,0.1376,0.0000,0.2044,0.0309,0.1735
53,0.1540,0.1574,0.0284,0.0065,66,-0.0128,414,0.1398,0.0000,0.2072,0.0318,0.1754
54,0.1559,0.1591,0.0288,0.0066,65,-0.0126,415,0.1416,0.0000,0.2100,0.0328,0.1772
55,0.1577,0.1608,0.0292,0.0066,64,-0.0123,416,0.1433,0.0000,0.2128,0.0338,0.1790
56,0.1595,0.1625,0.0295,0.0067,63,-0.0121,417,0.1451,0.0000,0.2156,0.0349,0.1807
57,0.1613,0.1642,0.0299,0.0068,63,-0.0117,417,0.1472,0.0000,0.2183,0.0359,0.1824
