agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,1,-0.0995,-0.0398,-0.0600,-0.0998
1,-1,0,0.1884,0.0754,0.1154,0.1907
2,-1,1,0.3371,0.1349,0.2160,0.3509
3,1,0,0.3148,0.1259,0.1999,0.3258
4,-1,0,0.5490,0.2196,0.3973,0.6169
5,1,1,1.0000,0.4000,0.4320,0.8320
6,-1,0,0.0219,0.0087,0.0131,0.0219
7,1,0,0.4611,0.1844,0.3144,0.4989
8,-1,0,-0.2072,-0.0829,-0.1274,-0.2103
9,-1,0,0.4301,0.1720,0.2880,0.4600
10,1,0,-0.1457,-0.0583,-0.0884,-0.1467
11,1,1,1.0000,0.4000,0.5760,0.9760
12,-1,1,-0.2457,-0.0983,-0.1526,-0.2509
13,1,0,-0.3787,-0.1515,-0.2471,-0.3986
14,1,1,-0.4301,-0.1720,-0.2880,-0.4600
15,-1,1,0.4301,0.1720,0.2880,0.4600
16,1,0,0.0211,0.0084,0.0127,0.0211
17,1,1,-0.3371,-0.1349,-0.2160,-0.3509
18,1,0,0.1138,0.0455,0.0688,0.1143
19,-1,0,-0.5692,-0.2277,-0.4187,-0.6463
20,1,0,0.5729,0.2292,0.4227,0.6518
21,1,0,0.4262,0.1705,0.2848,0.4552
22,-1,0,-0.1500,-0.0600,-0.0912,-0.1512
23,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
24,1,1,-0.1191,-0.0476,-0.0720,-0.1196
25,-1,0,0.5020,0.2008,0.3512,0.5520
26,1,1,0.5113,0.2045,0.3600,0.5645
27,-1,1,0.3371,0.1349,0.2160,0.3509
28,1,0,0.1181,0.0472,0.0714,0.1187
29,1,0,-0.4230,-0.1692,-0.2822,-0.4514
30,-1,0,0.6388,0.2555,0.5007,0.7562
31,-1,0,-0.5772,-0.2309,-0.4273,-0.6582
32,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
33,1,0,-0.1093,-0.0437,-0.0660,-0.1097
34,1,0,0.5549,0.2219,0.4035,0.6254
35,1,0,-0.0000,-0.0000,0.0000,-0.0000
36,1,0,0.3197,0.1279,0.2035,0.3313
37,1,0,-0.2696,-0.1078,-0.1686,-0.2764
38,-1,0,-0.2513,-0.1005,-0.1563,-0.2568
39,1,1,0.4301,0.1720,0.2880,0.4600
40,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
41,1,1,-0.5113,-0.2045,-0.3600,-0.5645
42,-1,0,0.3460,0.1384,0.2225,0.3609
43,1,1,0.2328,0.0931,0.1440,0.2371
44,-1,0,0.5390,0.2156,0.3871,0.6027
45,-1,1,0.2328,0.0931,0.1440,0.2371
46,1,0,-0.2706,-0.1082,-0.1692,-0.2774
47,1,1,0.7430,0.2972,0.6600,0.9572
48,-1,0,-0.1915,-0.0766,-0.1174,-0.1940
49,1,0,-0.3000,-0.1200,-0.1895,-0.3095
50,-1,0,0.3638,0.1455,0.2357,0.3812
51,-1,1,0.0000,0.0000,0.0000,0.0000
52,1,1,-0.4301,-0.1720,-0.2880,-0.4600
53,1,0,-0.4629,-0.1852,-0.3159,-0.5010
54,-1,1,0.3371,0.1349,0.2160,0.3509
55,1,0,-0.2958,-0.1183,-0.1866,-0.3049
56,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
57,1,0,-0.1966,-0.0786,-0.1205,-0.1992
58,1,1,-0.4722,-0.1889,-0.3240,-0.5129
59,1,0,0.6585,0.2634,0.5267,0.7901
60,-1,0,0.2620,0.1048,0.1635,0.2683
61,1,1,0.3371,0.1349,0.2160,0.3509
62,1,1,0.0000,0.0000,0.0000,0.0000
63,1,1,0.6744,0.2698,0.5490,0.8188
64,-1,0,-0.2683,-0.1073,-0.1676,-0.2749
65,1,1,-0.6765,-0.2706,-0.5520,-0.8226
66,1,0,-0.2467,-0.0987,-0.1532,-0.2519
67,1,0,0.3386,0.1354,0.2170,0.3525
68,1,1,0.2328,0.0931,0.1440,0.2371
69,-1,0,0.8377,0.3351,0.8783,1.2134
70,1,0,-0.0624,-0.0250,-0.0375,-0.0625
71,-1,0,-0.4606,-0.1843,-0.3139,-0.4981
72,1,0,-0.4099,-0.1639,-0.2715,-0.4355
73,1,0,-0.5133,-0.2053,-0.3619,-0.5673
74,-1,0,-0.2170,-0.0868,-0.1337,-0.2205
75,-1,0,0.1577,0.0631,0.0960,0.1591
76,1,0,-0.3239,-0.1296,-0.2065,-0.3360
77,1,0,0.3294,0.1317,0.2104,0.3421
78,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
79,-1,1,0.3371,0.1349,0.2160,0.3509
80,-1,1,0.2328,0.0931,0.1440,0.2371
81,1,0,0.3716,0.1487,0.2419,0.3905
82,-1,0,0.6262,0.2505,0.4847,0.7352
83,-1,0,0.1158,0.0463,0.0700,0.1164
84,1,0,-0.1244,-0.0498,-0.0753,-0.1251
85,1,1,-0.3371,-0.1349,-0.2160,-0.3509
86,1,0,0.6250,0.2500,0.4832,0.7332
87,-1,0,0.1958,0.0783,0.1201,0.1984
88,1,0,0.1005,0.0402,0.0605,0.1007
89,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
90,1,1,-0.3371,-0.1349,-0.2160,-0.3509
91,1,0,0.4108,0.1643,0.2722,0.4365
92,1,0,0.0190,0.0076,0.0114,0.0190
93,1,1,1.0000,0.4000,0.5040,0.9040
94,-1,0,0.5114,0.2046,0.3601,0.5647
95,1,0,-0.3482,-0.1393,-0.2241,-0.3634
96,-1,0,-0.5238,-0.2095,-0.3720,-0.5815
97,-1,0,0.4027,0.1611,0.2658,0.4269
98,1,1,0.3371,0.1349,0.2160,0.3509
99,1,0,0.4262,0.1705,0.2848,0.4552
100,1,0,-0.0715,-0.0286,-0.0428,-0.0714
101,1,1,1.0000,0.4000,0.2160,0.6160
102,1,0,0.2328,0.0931,0.1440,0.2371
103,-1,1,0.2628,0.1051,0.1640,0.2691
104,1,1,1.0000,0.4000,0.2880,0.6880
105,-1,0,-0.3481,-0.1392,-0.2241,-0.3633
106,1,0,0.2462,0.0985,0.1530,0.2515
107,1,1,0.2328,0.0931,0.1440,0.2371
108,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
109,-1,0,-0.0369,-0.0148,-0.0222,-0.0370
110,-1,1,0.2328,0.0931,0.1440,0.2371
111,1,1,0.2328,0.0931,0.1440,0.2371
112,-1,0,0.2235,0.0894,0.1380,0.2274
113,1,1,-0.3371,-0.1349,-0.2160,-0.3509
114,1,0,0.3258,0.1303,0.2078,0.3381
115,1,0,0.0757,0.0303,0.0455,0.0758
116,-1,0,0.7237,0.2895,0.6258,0.9153
117,-1,0,0.5829,0.2331,0.4337,0.6668
