step,with High-Degree Zealots_mean_opinion,with High-Degree Zealots_mean_abs_opinion,with High-Degree Zealots_non_zealot_variance,with High-Degree Zealots_cluster_variance,with High-Degree Zealots_negative_count,with High-Degree Zealots_negative_mean,with High-Degree Zealots_positive_count,with High-Degree Zealots_positive_mean,with High-Degree Zealots_polarization_index,with High-Degree Zealots_identity_1_mean_opinion,with High-Degree Zealots_identity_neg1_mean_opinion,with High-Degree Zealots_identity_opinion_difference
0,0.0396,0.0904,0.0036,0.0034,240.6,-0.0529,239.4,0.0523,0.0000,-0.0002,-0.0003,0.0001
1,0.0435,0.0900,0.0036,0.0032,230.0,-0.0505,250.0,0.0535,0.0000,0.0079,0.0003,0.0077
2,0.0475,0.0931,0.0042,0.0034,218.8,-0.0521,261.2,0.0579,0.0046,0.0162,0.0008,0.0155
3,0.0516,0.0992,0.0053,0.0040,209.7,-0.0567,270.3,0.0653,0.0369,0.0247,0.0012,0.0235
4,0.0557,0.1070,0.0069,0.0048,204.5,-0.0626,275.5,0.0750,0.0828,0.0333,0.0018,0.0314
5,0.0598,0.1158,0.0088,0.0058,199.5,-0.0699,280.5,0.0851,0.2071,0.0416,0.0025,0.0392
6,0.0638,0.1252,0.0110,0.0070,194.7,-0.0784,285.3,0.0953,0.5120,0.0498,0.0031,0.0467
7,0.0678,0.1346,0.0135,0.0082,191.4,-0.0868,288.6,0.1059,0.9215,0.0579,0.0038,0.0541
8,0.0718,0.1438,0.0162,0.0096,189.8,-0.0942,290.2,0.1166,1.4197,0.0658,0.0047,0.0611
9,0.0758,0.1527,0.0190,0.0109,188.4,-0.1013,291.6,0.1270,2.0603,0.0735,0.0056,0.0679
10,0.0796,0.1613,0.0220,0.0124,186.3,-0.1088,293.7,0.1366,2.7237,0.0809,0.0066,0.0743
11,0.0834,0.1695,0.0251,0.0138,184.5,-0.1159,295.5,0.1460,3.3733,0.0881,0.0076,0.0805
12,0.0871,0.1775,0.0282,0.0153,184.7,-0.1215,295.3,0.1559,4.0777,0.0951,0.0086,0.0865
13,0.0906,0.1853,0.0313,0.0167,183.3,-0.1281,296.7,0.1647,4.8161,0.1019,0.0096,0.0923
14,0.0940,0.1927,0.0345,0.0181,182.5,-0.1342,297.5,0.1734,5.5320,0.1084,0.0104,0.0979
15,0.0972,0.1999,0.0376,0.0195,181.0,-0.1405,299.0,0.1812,6.2396,0.1146,0.0113,0.1034
16,0.1004,0.2068,0.0408,0.0208,179.7,-0.1465,300.3,0.1889,6.9444,0.1207,0.0121,0.1086
17,0.1035,0.2134,0.0439,0.0221,178.6,-0.1523,301.4,0.1963,7.7327,0.1266,0.0130,0.1136
18,0.1064,0.2199,0.0470,0.0233,177.2,-0.1584,302.8,0.2032,8.3653,0.1322,0.0137,0.1185
19,0.1092,0.2261,0.0500,0.0244,176.7,-0.1636,303.3,0.2103,9.2426,0.1376,0.0144,0.1231
20,0.1119,0.2321,0.0529,0.0255,176.1,-0.1687,303.9,0.2172,10.0200,0.1428,0.0152,0.1276
21,0.1146,0.2380,0.0559,0.0266,174.9,-0.1744,305.1,0.2232,10.9135,0.1478,0.0160,0.1318
22,0.1172,0.2436,0.0587,0.0276,174.1,-0.1795,305.9,0.2293,11.6304,0.1526,0.0168,0.1359
23,0.1197,0.2490,0.0615,0.0285,173.0,-0.1848,307.0,0.2348,12.4738,0.1573,0.0175,0.1397
24,0.1221,0.2541,0.0642,0.0294,173.1,-0.1885,306.9,0.2410,13.4781,0.1617,0.0183,0.1434
25,0.1244,0.2591,0.0668,0.0303,172.5,-0.1931,307.5,0.2464,14.3977,0.1659,0.0190,0.1469
26,0.1265,0.2639,0.0694,0.0311,172.0,-0.1974,308.0,0.2517,15.1142,0.1700,0.0196,0.1504
27,0.1286,0.2686,0.0719,0.0318,170.9,-0.2024,309.1,0.2561,15.9671,0.1738,0.0202,0.1536
28,0.1306,0.2730,0.0744,0.0326,170.3,-0.2066,309.7,0.2609,16.6958,0.1776,0.0208,0.1567
29,0.1326,0.2774,0.0768,0.0332,169.5,-0.2109,310.5,0.2653,17.1043,0.1811,0.0216,0.1595
30,0.1345,0.2815,0.0791,0.0339,169.3,-0.2144,310.7,0.2699,17.9121,0.1845,0.0223,0.1622
31,0.1363,0.2855,0.0814,0.0345,168.7,-0.2185,311.3,0.2740,18.7037,0.1877,0.0229,0.1648
32,0.1380,0.2894,0.0835,0.0351,168.3,-0.2220,311.7,0.2781,19.4034,0.1907,0.0236,0.1671
33,0.1397,0.2931,0.0857,0.0356,167.9,-0.2254,312.1,0.2820,20.3311,0.1936,0.0243,0.1693
34,0.1413,0.2966,0.0877,0.0362,167.4,-0.2290,312.6,0.2857,20.8638,0.1964,0.0250,0.1714
35,0.1429,0.3001,0.0897,0.0366,166.4,-0.2331,313.6,0.2887,21.3591,0.1991,0.0257,0.1734
36,0.1445,0.3034,0.0916,0.0371,166.3,-0.2359,313.7,0.2925,21.6671,0.2017,0.0264,0.1753
37,0.1460,0.3066,0.0935,0.0376,166.3,-0.2383,313.7,0.2962,22.0271,0.2043,0.0271,0.1772
38,0.1474,0.3096,0.0953,0.0380,165.6,-0.2418,314.4,0.2991,22.2898,0.2068,0.0277,0.1792
39,0.1488,0.3126,0.0970,0.0384,165.4,-0.2443,314.6,0.3024,22.6455,0.2092,0.0283,0.1809
40,0.1501,0.3155,0.0987,0.0387,165.4,-0.2466,314.6,0.3057,23.0377,0.2115,0.0289,0.1826
41,0.1514,0.3182,0.1003,0.0391,165.0,-0.2493,315.0,0.3084,23.2101,0.2137,0.0294,0.1842
42,0.1526,0.3208,0.1019,0.0394,164.5,-0.2521,315.5,0.3110,23.3169,0.2158,0.0300,0.1858
43,0.1538,0.3234,0.1034,0.0397,164.3,-0.2543,315.7,0.3137,23.4504,0.2178,0.0305,0.1873
44,0.1550,0.3258,0.1049,0.0400,164.1,-0.2563,315.9,0.3162,23.6642,0.2198,0.0310,0.1888
45,0.1560,0.3281,0.1063,0.0403,164.1,-0.2582,315.9,0.3189,23.8361,0.2216,0.0315,0.1902
46,0.1571,0.3303,0.1076,0.0406,163.4,-0.2611,316.6,0.3208,24.0700,0.2234,0.0319,0.1915
47,0.1581,0.3325,0.1090,0.0408,163.5,-0.2625,316.5,0.3233,24.2377,0.2252,0.0324,0.1928
