step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
0,0.0398,0.0904,0.0036,0.0034,240.3,-0.0526,239.7,0.0524,0.0000,0.0002,-0.0003,0.0006
1,0.0409,0.0876,0.0032,0.0030,237.3,-0.0492,242.7,0.0500,0.0000,0.0026,-0.0001,0.0027
2,0.0421,0.0854,0.0030,0.0027,235.3,-0.0460,244.7,0.0485,0.0000,0.0049,0.0001,0.0048
3,0.0432,0.0836,0.0029,0.0024,231.9,-0.0436,248.1,0.0471,0.0000,0.0071,0.0003,0.0068
4,0.0443,0.0822,0.0028,0.0022,230.9,-0.0410,249.1,0.0466,0.0000,0.0093,0.0006,0.0088
5,0.0454,0.0810,0.0029,0.0021,228.9,-0.0389,251.1,0.0460,0.0000,0.0115,0.0008,0.0107
6,0.0464,0.0799,0.0030,0.0020,226.5,-0.0370,253.5,0.0456,0.0000,0.0136,0.0011,0.0126
7,0.0475,0.0791,0.0031,0.0019,225.1,-0.0351,254.9,0.0456,0.0000,0.0157,0.0014,0.0143
8,0.0485,0.0784,0.0033,0.0018,224.8,-0.0332,255.2,0.0458,0.0000,0.0177,0.0017,0.0160
9,0.0496,0.0778,0.0036,0.0018,224.0,-0.0315,256.0,0.0460,0.0000,0.0197,0.0020,0.0177
10,0.0506,0.0772,0.0038,0.0017,222.2,-0.0300,257.8,0.0462,0.0000,0.0216,0.0023,0.0193
11,0.0516,0.0768,0.0041,0.0017,220.6,-0.0286,259.4,0.0464,0.0000,0.0235,0.0027,0.0208
12,0.0526,0.0765,0.0044,0.0017,218.7,-0.0274,261.3,0.0466,0.0000,0.0253,0.0031,0.0222
13,0.0535,0.0763,0.0048,0.0017,217.4,-0.0261,262.6,0.0471,0.0000,0.0270,0.0035,0.0236
14,0.0545,0.0761,0.0051,0.0017,215.8,-0.0250,264.2,0.0475,0.0000,0.0288,0.0039,0.0249
15,0.0555,0.0760,0.0055,0.0017,213.0,-0.0241,267.0,0.0477,0.0000,0.0304,0.0043,0.0261
16,0.0564,0.0760,0.0058,0.0017,211.1,-0.0232,268.9,0.0482,0.0000,0.0320,0.0047,0.0273
17,0.0573,0.0760,0.0062,0.0017,209.6,-0.0223,270.4,0.0487,0.0000,0.0336,0.0052,0.0284
18,0.0582,0.0761,0.0065,0.0017,207.6,-0.0215,272.4,0.0493,0.0000,0.0351,0.0057,0.0294
19,0.0592,0.0763,0.0069,0.0017,206.2,-0.0207,273.8,0.0500,0.0000,0.0366,0.0062,0.0304
20,0.0601,0.0765,0.0073,0.0017,204.4,-0.0200,275.6,0.0505,0.0000,0.0381,0.0067,0.0313
21,0.0610,0.0767,0.0076,0.0017,201.8,-0.0195,278.2,0.0511,0.0000,0.0395,0.0073,0.0322
22,0.0619,0.0770,0.0080,0.0018,200.5,-0.0188,279.5,0.0519,0.0000,0.0408,0.0078,0.0330
23,0.0628,0.0773,0.0083,0.0018,197.2,-0.0184,282.8,0.0523,0.0000,0.0422,0.0084,0.0337
24,0.0637,0.0777,0.0087,0.0018,195.7,-0.0179,284.3,0.0531,0.0000,0.0435,0.0091,0.0344
