step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
25,0.0646,0.0781,0.0090,0.0018,193.0,-0.0175,287.0,0.0537,0.0000,0.0448,0.0097,0.0351
26,0.0655,0.0786,0.0093,0.0018,191.0,-0.0171,289.0,0.0544,0.0000,0.0460,0.0104,0.0357
27,0.0664,0.0791,0.0097,0.0019,189.3,-0.0167,290.7,0.0552,0.0000,0.0473,0.0111,0.0362
28,0.0673,0.0796,0.0100,0.0019,187.8,-0.0163,292.2,0.0561,0.0000,0.0485,0.0118,0.0367
29,0.0682,0.0802,0.0103,0.0019,185.5,-0.0160,294.5,0.0569,0.0000,0.0497,0.0125,0.0372
30,0.0691,0.0808,0.0106,0.0019,183.2,-0.0158,296.8,0.0577,0.0000,0.0508,0.0133,0.0376
31,0.0701,0.0814,0.0109,0.0020,180.8,-0.0156,299.2,0.0585,0.0000,0.0520,0.0141,0.0379
32,0.0710,0.0820,0.0113,0.0020,178.5,-0.0153,301.5,0.0594,0.0000,0.0531,0.0149,0.0383
33,0.0719,0.0827,0.0116,0.0020,176.5,-0.0151,303.5,0.0603,0.0000,0.0543,0.0157,0.0386
34,0.0729,0.0834,0.0119,0.0020,174.6,-0.0149,305.4,0.0612,0.0000,0.0554,0.0166,0.0388
35,0.0738,0.0841,0.0122,0.0021,172.8,-0.0147,307.2,0.0622,0.0000,0.0565,0.0175,0.0390
36,0.0748,0.0849,0.0125,0.0021,171.1,-0.0146,308.9,0.0631,0.0000,0.0576,0.0184,0.0392
37,0.0757,0.0856,0.0128,0.0021,169.0,-0.0144,311.0,0.0641,0.0000,0.0587,0.0193,0.0394
38,0.0767,0.0864,0.0131,0.0022,166.1,-0.0144,313.9,0.0648,0.0000,0.0598,0.0203,0.0395
39,0.0777,0.0872,0.0134,0.0022,164.1,-0.0142,315.9,0.0658,0.0000,0.0608,0.0212,0.0396
40,0.0787,0.0881,0.0137,0.0022,161.8,-0.0142,318.2,0.0667,0.0046,0.0619,0.0222,0.0397
41,0.0797,0.0889,0.0140,0.0023,160.4,-0.0140,319.6,0.0678,0.0046,0.0630,0.0232,0.0397
42,0.0807,0.0898,0.0143,0.0023,158.0,-0.0140,322.0,0.0686,0.0047,0.0640,0.0243,0.0397
43,0.0817,0.0907,0.0146,0.0023,156.2,-0.0140,323.8,0.0696,0.0049,0.0651,0.0253,0.0397
44,0.0827,0.0916,0.0149,0.0024,154.2,-0.0139,325.8,0.0706,0.0051,0.0661,0.0264,0.0397
45,0.0838,0.0925,0.0152,0.0024,152.6,-0.0139,327.4,0.0717,0.0053,0.0671,0.0275,0.0396
46,0.0848,0.0935,0.0155,0.0024,150.3,-0.0139,329.7,0.0727,0.0055,0.0682,0.0286,0.0396
47,0.0859,0.0944,0.0158,0.0025,148.6,-0.0139,331.4,0.0737,0.0057,0.0692,0.0297,0.0395
48,0.0869,0.0954,0.0162,0.0025,146.7,-0.0139,333.3,0.0747,0.0059,0.0702,0.0309,0.0393
49,0.0880,0.0964,0.0165,0.0025,145.0,-0.0139,335.0,0.0758,0.0061,0.0712,0.0320,0.0392
50,0.0890,0.0973,0.0168,0.0026,143.0,-0.0140,337.0,0.0768,0.0065,0.0722,0.0332,0.0390
51,0.0901,0.0983,0.0171,0.0026,141.1,-0.0140,338.9,0.0779,0.0066,0.0732,0.0344,0.0388
52,0.0912,0.0994,0.0174,0.0027,140.3,-0.0140,339.7,0.0792,0.0068,0.0742,0.0356,0.0386
53,0.0922,0.1004,0.0178,0.0027,138.2,-0.0141,341.8,0.0801,0.0071,0.0752,0.0368,0.0384
54,0.0933,0.1014,0.0181,0.0027,136.4,-0.0141,343.6,0.0812,0.0072,0.0762,0.0381,0.0381
55,0.0944,0.1025,0.0184,0.0028,134.3,-0.0143,345.7,0.0821,0.0072,0.0772,0.0393,0.0379
56,0.0955,0.1035,0.0188,0.0028,131.8,-0.0144,348.2,0.0829,0.0072,0.0782,0.0406,0.0376
57,0.0966,0.1046,0.0191,0.0029,130.4,-0.0145,349.6,0.0841,0.0072,0.0791,0.0418,0.0373
58,0.0976,0.1056,0.0194,0.0029,129.0,-0.0146,351.0,0.0853,0.0074,0.0801,0.0431,0.0370
59,0.0987,0.1067,0.0197,0.0029,126.9,-0.0147,353.1,0.0863,0.0074,0.0810,0.0444,0.0366
60,0.0998,0.1078,0.0201,0.0030,125.4,-0.0149,354.6,0.0874,0.0170,0.0820,0.0457,0.0363
61,0.1009,0.1089,0.0204,0.0030,124.3,-0.0150,355.7,0.0886,0.0171,0.0829,0.0470,0.0359
62,0.1020,0.1100,0.0207,0.0031,122.4,-0.0152,357.6,0.0897,0.0174,0.0839,0.0483,0.0355
63,0.1031,0.1111,0.0211,0.0031,121.0,-0.0153,359.0,0.0908,0.0176,0.0848,0.0497,0.0351
64,0.1043,0.1122,0.0214,0.0032,118.8,-0.0156,361.2,0.0918,0.0178,0.0857,0.0510,0.0347
65,0.1054,0.1133,0.0217,0.0032,118.1,-0.0156,361.9,0.0931,0.0180,0.0866,0.0524,0.0343
66,0.1065,0.1145,0.0221,0.0033,117.4,-0.0157,362.6,0.0944,0.0180,0.0875,0.0537,0.0338
67,0.1076,0.1156,0.0224,0.0033,116.8,-0.0159,363.2,0.0958,0.0247,0.0884,0.0551,0.0334
68,0.1087,0.1167,0.0228,0.0034,115.8,-0.0160,364.2,0.0970,0.0355,0.0893,0.0565,0.0329
69,0.1098,0.1179,0.0231,0.0034,114.6,-0.0162,365.4,0.0982,0.0361,0.0902,0.0578,0.0324
70,0.1110,0.1190,0.0234,0.0035,113.5,-0.0164,366.5,0.0995,0.0362,0.0911,0.0592,0.0319
71,0.1121,0.1202,0.0238,0.0035,112.7,-0.0165,367.3,0.1008,0.0522,0.0920,0.0606,0.0314
72,0.1132,0.1213,0.0241,0.0036,111.4,-0.0167,368.6,0.1019,0.0530,0.0929,0.0620,0.0309
73,0.1143,0.1225,0.0244,0.0036,110.5,-0.0169,369.5,0.1032,0.0536,0.0938,0.0634,0.0304
74,0.1155,0.1236,0.0248,0.0037,108.9,-0.0172,371.1,0.1042,0.0621,0.0947,0.0649,0.0298
75,0.1166,0.1248,0.0251,0.0037,108.5,-0.0173,371.5,0.1056,0.0633,0.0956,0.0663,0.0293
76,0.1177,0.1260,0.0255,0.0038,107.0,-0.0176,373.0,0.1066,0.0640,0.0964,0.0677,0.0288
77,0.1188,0.1271,0.0258,0.0038,105.9,-0.0178,374.1,0.1078,0.0726,0.0973,0.0691,0.0282
78,0.1200,0.1283,0.0261,0.0039,104.4,-0.0181,375.6,0.1089,0.0811,0.0982,0.0705,0.0277
79,0.1211,0.1295,0.0265,0.0039,103.8,-0.0183,376.2,0.1103,0.0820,0.0991,0.0720,0.0271
80,0.1222,0.1307,0.0268,0.0040,102.6,-0.0185,377.4,0.1115,0.0828,0.0999,0.0734,0.0265
81,0.1234,0.1319,0.0272,0.0040,100.9,-0.0190,379.1,0.1125,0.0937,0.1008,0.0748,0.0260
82,0.1245,0.1331,0.0275,0.0041,99.9,-0.0193,380.1,0.1137,0.0945,0.1016,0.0762,0.0254
83,0.1256,0.1342,0.0278,0.0042,100.1,-0.0194,379.9,0.1153,0.1087,0.1025,0.0777,0.0248
84,0.1268,0.1354,0.0282,0.0042,99.2,-0.0197,380.8,0.1165,0.1181,0.1034,0.0791,0.0243
85,0.1279,0.1366,0.0285,0.0043,98.8,-0.0200,381.2,0.1179,0.1201,0.1042,0.0805,0.0237
86,0.1290,0.1378,0.0288,0.0043,98.6,-0.0201,381.4,0.1193,0.1267,0.1051,0.0820,0.0231
87,0.1301,0.1390,0.0292,0.0044,97.7,-0.0203,382.3,0.1205,0.1291,0.1059,0.0834,0.0226
88,0.1313,0.1402,0.0295,0.0045,96.9,-0.0207,383.1,0.1217,0.1451,0.1068,0.0848,0.0220
89,0.1324,0.1414,0.0299,0.0045,95.8,-0.0212,384.2,0.1228,0.1547,0.1077,0.0862,0.0214
90,0.1335,0.1426,0.0302,0.0046,95.4,-0.0214,384.6,0.1242,0.1696,0.1085,0.0876,0.0209
91,0.1346,0.1438,0.0305,0.0046,94.4,-0.0217,385.6,0.1253,0.1812,0.1094,0.0891,0.0203
92,0.1357,0.1450,0.0309,0.0047,93.5,-0.0219,386.5,0.1265,0.1825,0.1102,0.0905,0.0198
93,0.1369,0.1462,0.0312,0.0048,92.6,-0.0223,387.4,0.1277,0.2016,0.1111,0.0919,0.0192
94,0.1380,0.1474,0.0315,0.0048,91.2,-0.0230,388.8,0.1287,0.2035,0.1119,0.0933,0.0187
95,0.1391,0.1486,0.0318,0.0049,90.7,-0.0232,389.3,0.1299,0.2163,0.1128,0.0947,0.0181
96,0.1402,0.1498,0.0322,0.0049,89.4,-0.0237,390.6,0.1310,0.2267,0.1136,0.0961,0.0176
97,0.1413,0.1510,0.0325,0.0050,88.5,-0.0242,391.5,0.1321,0.2285,0.1145,0.0974,0.0170
98,0.1424,0.1522,0.0328,0.0051,87.7,-0.0247,392.3,0.1333,0.2401,0.1153,0.0988,0.0165
99,0.1435,0.1534,0.0332,0.0051,87.1,-0.0253,392.9,0.1345,0.2566,0.1162,0.1002,0.0160
100,0.1446,0.1546,0.0335,0.0052,86.8,-0.0255,393.2,0.1358,0.2769,0.1170,0.1016,0.0154
101,0.1457,0.1558,0.0338,0.0053,86.3,-0.0258,393.7,0.1371,0.2886,0.1179,0.1029,0.0149
102,0.1468,0.1570,0.0341,0.0053,85.6,-0.0263,394.4,0.1382,0.2936,0.1187,0.1043,0.0144
103,0.1479,0.1581,0.0344,0.0054,85.6,-0.0267,394.4,0.1396,0.3093,0.1196,0.1056,0.0139
104,0.1489,0.1593,0.0348,0.0054,84.6,-0.0275,395.4,0.1406,0.3319,0.1204,0.1070,0.0134
105,0.1500,0.1605,0.0351,0.0055,83.7,-0.0283,396.3,0.1417,0.3392,0.1212,0.1083,0.0129
106,0.1511,0.1617,0.0354,0.0056,82.9,-0.0287,397.1,0.1429,0.3427,0.1221,0.1097,0.0124
107,0.1522,0.1629,0.0357,0.0056,82.3,-0.0290,397.7,0.1440,0.3562,0.1229,0.1110,0.0119
108,0.1532,0.1641,0.0360,0.0057,81.9,-0.0294,398.1,0.1452,0.3758,0.1238,0.1123,0.0115
109,0.1543,0.1652,0.0363,0.0058,81.6,-0.0296,398.4,0.1465,0.4240,0.1246,0.1136,0.0110
110,0.1554,0.1664,0.0367,0.0058,81.2,-0.0302,398.8,0.1477,0.4484,0.1254,0.1149,0.0105
111,0.1564,0.1676,0.0370,0.0059,80.1,-0.0310,399.9,0.1487,0.4800,0.1263,0.1162,0.0101
112,0.1575,0.1688,0.0373,0.0060,79.6,-0.0315,400.4,0.1499,0.4961,0.1271,0.1175,0.0096
113,0.1585,0.1699,0.0376,0.0060,79.1,-0.0321,400.9,0.1510,0.5083,0.1279,0.1188,0.0091
114,0.1596,0.1711,0.0379,0.0061,78.7,-0.0324,401.3,0.1522,0.5162,0.1288,0.1201,0.0087
115,0.1606,0.1722,0.0382,0.0061,77.7,-0.0329,402.3,0.1532,0.5392,0.1296,0.1214,0.0082
116,0.1616,0.1734,0.0385,0.0062,77.2,-0.0334,402.8,0.1543,0.5406,0.1304,0.1226,0.0078
117,0.1627,0.1745,0.0388,0.0063,76.4,-0.0340,403.6,0.1554,0.5441,0.1313,0.1239,0.0074
118,0.1637,0.1757,0.0391,0.0063,75.5,-0.0346,404.5,0.1563,0.5824,0.1321,0.1251,0.0069
119,0.1647,0.1768,0.0394,0.0064,74.9,-0.0350,405.1,0.1574,0.6272,0.1329,0.1264,0.0065
120,0.1657,0.1780,0.0397,0.0065,74.4,-0.0354,405.6,0.1585,0.6319,0.1337,0.1276,0.0061
121,0.1667,0.1791,0.0399,0.0065,74.0,-0.0359,406.0,0.1597,0.6420,0.1345,0.1288,0.0057
122,0.1677,0.1802,0.0402,0.0066,73.4,-0.0363,406.6,0.1607,0.6559,0.1353,0.1301,0.0053
123,0.1687,0.1814,0.0405,0.0067,73.2,-0.0364,406.8,0.1620,0.6710,0.1361,0.1313,0.0049
124,0.1697,0.1825,0.0408,0.0067,72.6,-0.0372,407.4,0.1630,0.6775,0.1369,0.1325,0.0044
125,0.1707,0.1836,0.0411,0.0068,72.4,-0.0375,407.6,0.1642,0.6945,0.1377,0.1337,0.0040
126,0.1717,0.1847,0.0414,0.0068,71.7,-0.0382,408.3,0.1652,0.7093,0.1385,0.1349,0.0036
127,0.1727,0.1858,0.0416,0.0069,71.6,-0.0386,408.4,0.1664,0.7186,0.1393,0.1361,0.0032
128,0.1737,0.1869,0.0419,0.0070,71.1,-0.0390,408.9,0.1675,0.7237,0.1401,0.1373,0.0029
129,0.1746,0.1881,0.0422,0.0070,70.4,-0.0394,409.6,0.1684,0.7258,0.1409,0.1385,0.0025
130,0.1756,0.1891,0.0425,0.0071,70.2,-0.0402,409.8,0.1696,0.7268,0.1417,0.1396,0.0021
131,0.1766,0.1902,0.0427,0.0072,69.3,-0.0409,410.7,0.1705,0.7383,0.1425,0.1408,0.0017
132,0.1775,0.1913,0.0430,0.0072,68.6,-0.0415,411.4,0.1715,0.7397,0.1433,0.1419,0.0013
133,0.1785,0.1924,0.0433,0.0073,68.4,-0.0419,411.6,0.1726,0.7453,0.1440,0.1431,0.0009
134,0.1794,0.1935,0.0435,0.0073,68.2,-0.0424,411.8,0.1738,0.7591,0.1448,0.1442,0.0006
135,0.1803,0.1946,0.0438,0.0074,67.6,-0.0430,412.4,0.1748,0.7737,0.1456,0.1454,0.0002
136,0.1813,0.1956,0.0440,0.0075,67.2,-0.0435,412.8,0.1758,0.7909,0.1463,0.1465,-0.0002
137,0.1822,0.1967,0.0443,0.0075,66.9,-0.0440,413.1,0.1769,0.8338,0.1471,0.1476,-0.0006
138,0.1831,0.1977,0.0445,0.0076,66.7,-0.0444,413.3,0.1780,0.8445,0.1478,0.1488,-0.0009
139,0.1841,0.1988,0.0448,0.0077,66.0,-0.0452,414.0,0.1789,0.8600,0.1486,0.1499,-0.0013
140,0.1850,0.1998,0.0451,0.0077,65.5,-0.0458,414.5,0.1799,0.8679,0.1493,0.1510,-0.0016
141,0.1859,0.2009,0.0453,0.0078,65.1,-0.0463,414.9,0.1809,0.8744,0.1501,0.1521,-0.0020
142,0.1868,0.2019,0.0455,0.0078,65.0,-0.0466,415.0,0.1820,0.8825,0.1508,0.1532,-0.0024
143,0.1877,0.2029,0.0458,0.0079,64.4,-0.0474,415.6,0.1829,0.8871,0.1516,0.1543,-0.0027
144,0.1886,0.2039,0.0460,0.0080,64.0,-0.0479,416.0,0.1839,0.9142,0.1523,0.1553,-0.0031
145,0.1895,0.2050,0.0463,0.0080,63.5,-0.0483,416.5,0.1848,0.9649,0.1530,0.1564,-0.0034
146,0.1904,0.2060,0.0465,0.0081,62.6,-0.0489,417.4,0.1855,1.0036,0.1537,0.1575,-0.0037
147,0.1912,0.2070,0.0467,0.0081,62.4,-0.0499,417.6,0.1865,1.0053,0.1545,0.1585,-0.0041
148,0.1921,0.2080,0.0470,0.0082,62.0,-0.0504,418.0,0.1875,1.0210,0.1552,0.1596,-0.0044
149,0.1930,0.2090,0.0472,0.0083,61.5,-0.0515,418.5,0.1884,1.0262,0.1559,0.1606,-0.0048
150,0.1938,0.2099,0.0474,0.0083,61.1,-0.0520,418.9,0.1892,1.0334,0.1566,0.1617,-0.0051
151,0.1947,0.2109,0.0477,0.0084,60.7,-0.0531,419.3,0.1901,1.0381,0.1573,0.1627,-0.0054
152,0.1955,0.2119,0.0479,0.0084,60.0,-0.0540,420.0,0.1909,1.0397,0.1580,0.1637,-0.0058
153,0.1964,0.2129,0.0481,0.0085,59.8,-0.0545,420.2,0.1918,1.0733,0.1587,0.1648,-0.0061
154,0.1972,0.2138,0.0483,0.0086,59.3,-0.0552,420.7,0.1927,1.0803,0.1594,0.1658,-0.0064
155,0.1980,0.2148,0.0486,0.0086,59.2,-0.0555,420.8,0.1936,1.0880,0.1601,0.1668,-0.0067
156,0.1989,0.2157,0.0488,0.0087,58.8,-0.0568,421.2,0.1945,1.1126,0.1607,0.1678,-0.0070
157,0.1997,0.2167,0.0490,0.0087,58.0,-0.0581,422.0,0.1952,1.1367,0.1614,0.1687,-0.0073
158,0.2005,0.2176,0.0492,0.0088,57.6,-0.0587,422.4,0.1960,1.1438,0.1621,0.1697,-0.0076
159,0.2013,0.2185,0.0494,0.0088,57.0,-0.0593,423.0,0.1968,1.1783,0.1627,0.1707,-0.0079
160,0.2021,0.2194,0.0496,0.0089,56.6,-0.0598,423.4,0.1977,1.1921,0.1634,0.1716,-0.0082
161,0.2029,0.2203,0.0498,0.0089,56.2,-0.0602,423.8,0.1985,1.1968,0.1641,0.1726,-0.0085
162,0.2037,0.2212,0.0500,0.0090,55.9,-0.0607,424.1,0.1993,1.2062,0.1647,0.1735,-0.0088
163,0.2045,0.2221,0.0502,0.0091,55.5,-0.0614,424.5,0.2001,1.2351,0.1654,0.1745,-0.0091
164,0.2053,0.2230,0.0504,0.0091,55.3,-0.0619,424.7,0.2009,1.2434,0.1660,0.1754,-0.0094
165,0.2060,0.2239,0.0506,0.0092,55.2,-0.0623,424.8,0.2018,1.2488,0.1667,0.1763,-0.0097
166,0.2068,0.2248,0.0508,0.0092,55.0,-0.0626,425.0,0.2027,1.2488,0.1673,0.1772,-0.0099
167,0.2075,0.2257,0.0510,0.0093,54.6,-0.0634,425.4,0.2034,1.2627,0.1679,0.1781,-0.0102
168,0.2083,0.2265,0.0512,0.0093,54.1,-0.0639,425.9,0.2042,1.2913,0.1686,0.1790,-0.0105
169,0.2090,0.2274,0.0514,0.0094,53.9,-0.0644,426.1,0.2050,1.2974,0.1692,0.1799,-0.0107
170,0.2098,0.2282,0.0516,0.0094,53.8,-0.0648,426.2,0.2059,1.3026,0.1698,0.1808,-0.0110
171,0.2105,0.2291,0.0518,0.0095,53.4,-0.0654,426.6,0.2066,1.3042,0.1704,0.1817,-0.0112
172,0.2112,0.2299,0.0520,0.0095,53.2,-0.0658,426.8,0.2074,1.3101,0.1711,0.1825,-0.0115
173,0.2120,0.2307,0.0521,0.0096,52.8,-0.0672,427.2,0.2081,1.3260,0.1717,0.1834,-0.0117
174,0.2127,0.2315,0.0523,0.0096,52.8,-0.0676,427.2,0.2090,1.3455,0.1723,0.1842,-0.0119
175,0.2134,0.2324,0.0525,0.0097,52.4,-0.0682,427.6,0.2097,1.3460,0.1729,0.1850,-0.0122
176,0.2141,0.2332,0.0527,0.0097,52.4,-0.0695,427.6,0.2105,1.3753,0.1735,0.1859,-0.0124
177,0.2148,0.2340,0.0528,0.0098,52.1,-0.0699,427.9,0.2112,1.3779,0.1741,0.1867,-0.0126
178,0.2155,0.2347,0.0530,0.0098,51.8,-0.0704,428.2,0.2119,1.3866,0.1747,0.1875,-0.0128
179,0.2161,0.2355,0.0531,0.0098,51.7,-0.0707,428.3,0.2127,1.3872,0.1752,0.1883,-0.0130
180,0.2168,0.2363,0.0533,0.0099,51.1,-0.0712,428.9,0.2132,1.4226,0.1758,0.1891,-0.0132
181,0.2175,0.2371,0.0535,0.0099,50.6,-0.0718,429.4,0.2138,1.4321,0.1764,0.1898,-0.0134
182,0.2181,0.2378,0.0536,0.0100,50.6,-0.0720,429.4,0.2146,1.4337,0.1770,0.1906,-0.0136
183,0.2188,0.2386,0.0538,0.0100,50.4,-0.0726,429.6,0.2153,1.4355,0.1776,0.1914,-0.0138
184,0.2194,0.2393,0.0539,0.0101,50.4,-0.0729,429.6,0.2161,1.4373,0.1781,0.1921,-0.0140
185,0.2201,0.2401,0.0541,0.0101,50.2,-0.0743,429.8,0.2167,1.4621,0.1787,0.1929,-0.0142
186,0.2207,0.2408,0.0542,0.0102,50.0,-0.0760,430.0,0.2174,1.4744,0.1792,0.1936,-0.0144
187,0.2213,0.2415,0.0544,0.0102,49.7,-0.0779,430.3,0.2180,1.4767,0.1798,0.1943,-0.0145
188,0.2220,0.2422,0.0545,0.0102,49.7,-0.0782,430.3,0.2188,1.4819,0.1804,0.1951,-0.0147
189,0.2226,0.2430,0.0547,0.0103,49.8,-0.0785,430.2,0.2196,1.4868,0.1809,0.1958,-0.0149
190,0.2232,0.2437,0.0548,0.0103,49.8,-0.0788,430.2,0.2203,1.4930,0.1815,0.1965,-0.0150
191,0.2238,0.2444,0.0549,0.0104,49.5,-0.0794,430.5,0.2209,1.5011,0.1820,0.1972,-0.0152
192,0.2244,0.2451,0.0551,0.0104,49.4,-0.0797,430.6,0.2216,1.5091,0.1825,0.1979,-0.0153
193,0.2250,0.2457,0.0552,0.0104,49.2,-0.0802,430.8,0.2223,1.5164,0.1831,0.1985,-0.0155
194,0.2256,0.2464,0.0553,0.0105,49.0,-0.0805,431.0,0.2229,1.5190,0.1836,0.1992,-0.0156
195,0.2262,0.2471,0.0554,0.0105,48.9,-0.0808,431.1,0.2235,1.5232,0.1841,0.1999,-0.0157
196,0.2267,0.2478,0.0556,0.0105,48.6,-0.0812,431.4,0.2241,1.5248,0.1847,0.2005,-0.0158
197,0.2273,0.2484,0.0557,0.0106,48.5,-0.0815,431.5,0.2247,1.5306,0.1852,0.2012,-0.0160
198,0.2279,0.2491,0.0558,0.0106,48.4,-0.0819,431.6,0.2254,1.5311,0.1857,0.2018,-0.0161
199,0.2284,0.2497,0.0559,0.0107,48.2,-0.0839,431.8,0.2259,1.5377,0.1862,0.2024,-0.0162
200,0.2290,0.2503,0.0560,0.0107,47.8,-0.0843,432.2,0.2264,1.5444,0.1867,0.2030,-0.0163
201,0.2295,0.2510,0.0561,0.0107,47.7,-0.0845,432.3,0.2270,1.5737,0.1872,0.2037,-0.0164
202,0.2301,0.2516,0.0563,0.0108,47.4,-0.0849,432.6,0.2275,1.5746,0.1878,0.2043,-0.0165
203,0.2306,0.2522,0.0564,0.0108,47.3,-0.0852,432.7,0.2281,1.5763,0.1883,0.2049,-0.0166
204,0.2312,0.2528,0.0565,0.0108,47.0,-0.0856,433.0,0.2286,1.5804,0.1888,0.2054,-0.0167
205,0.2317,0.2534,0.0566,0.0109,47.1,-0.0858,432.9,0.2293,1.5985,0.1893,0.2060,-0.0168
206,0.2322,0.2540,0.0567,0.0109,47.1,-0.0860,432.9,0.2299,1.6044,0.1897,0.2066,-0.0169
207,0.2327,0.2546,0.0568,0.0109,47.0,-0.0863,433.0,0.2305,1.6061,0.1902,0.2072,-0.0169
208,0.2332,0.2552,0.0569,0.0110,46.7,-0.0866,433.3,0.2310,1.6062,0.1907,0.2077,-0.0170
209,0.2337,0.2558,0.0570,0.0110,46.5,-0.0869,433.5,0.2315,1.6066,0.1912,0.2083,-0.0171
210,0.2342,0.2564,0.0571,0.0110,46.3,-0.0872,433.7,0.2320,1.6158,0.1917,0.2088,-0.0171
211,0.2347,0.2570,0.0572,0.0111,46.2,-0.0876,433.8,0.2326,1.6360,0.1922,0.2094,-0.0172
212,0.2352,0.2575,0.0573,0.0111,46.2,-0.0878,433.8,0.2332,1.6407,0.1926,0.2099,-0.0173
213,0.2357,0.2581,0.0573,0.0111,46.0,-0.0881,434.0,0.2337,1.6430,0.1931,0.2104,-0.0173
214,0.2362,0.2586,0.0574,0.0111,46.1,-0.0883,433.9,0.2343,1.6472,0.1936,0.2110,-0.0174
215,0.2367,0.2592,0.0575,0.0112,46.0,-0.0887,434.0,0.2348,1.6607,0.1941,0.2115,-0.0174
216,0.2371,0.2597,0.0576,0.0112,45.9,-0.0890,434.1,0.2354,1.6752,0.1945,0.2120,-0.0174
217,0.2376,0.2603,0.0577,0.0112,45.9,-0.0892,434.1,0.2359,1.6921,0.1950,0.2125,-0.0175
218,0.2381,0.2608,0.0578,0.0113,45.8,-0.0895,434.2,0.2364,1.6949,0.1954,0.2130,-0.0175
219,0.2385,0.2613,0.0578,0.0113,45.8,-0.0898,434.2,0.2370,1.7126,0.1959,0.2134,-0.0175
