step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0369,0.0907,0.0036,0.0034,252,-0.0533,228,0.0522,0.0000,-0.0029,-0.0034,0.0005
1,0.0357,0.0884,0.0034,0.0031,254,-0.0519,226,0.0488,0.0000,-0.0034,-0.0055,0.0020
2,0.0346,0.0894,0.0038,0.0032,258,-0.0531,222,0.0496,0.0000,-0.0049,-0.0063,0.0014
3,0.0329,0.0947,0.0047,0.0037,261,-0.0592,219,0.0543,0.0471,-0.0068,-0.0080,0.0012
4,0.0307,0.1021,0.0061,0.0044,261,-0.0683,219,0.0603,0.1177,-0.0094,-0.0099,0.0005
5,0.0289,0.1100,0.0078,0.0054,262,-0.0773,218,0.0676,0.3161,-0.0113,-0.0117,0.0004
6,0.0270,0.1183,0.0098,0.0065,262,-0.0872,218,0.0748,0.5473,-0.0133,-0.0139,0.0006
7,0.0249,0.1271,0.0121,0.0077,260,-0.0983,220,0.0818,0.7727,-0.0151,-0.0163,0.0012
8,0.0230,0.1355,0.0147,0.0091,261,-0.1077,219,0.0896,1.2051,-0.0168,-0.0185,0.0016
9,0.0212,0.1434,0.0174,0.0104,265,-0.1153,215,0.0983,1.8773,-0.0185,-0.0207,0.0022
10,0.0196,0.1511,0.0202,0.0118,268,-0.1227,212,0.1070,2.8136,-0.0200,-0.0224,0.0024
11,0.0180,0.1586,0.0231,0.0132,270,-0.1302,210,0.1151,3.5936,-0.0214,-0.0242,0.0028
12,0.0166,0.1659,0.0261,0.0145,274,-0.1362,206,0.1245,4.4838,-0.0225,-0.0260,0.0035
13,0.0152,0.1731,0.0292,0.0159,276,-0.1430,204,0.1327,5.4397,-0.0237,-0.0278,0.0041
14,0.0137,0.1802,0.0323,0.0172,280,-0.1487,200,0.1423,5.7763,-0.0251,-0.0296,0.0045
15,0.0121,0.1871,0.0354,0.0184,280,-0.1562,200,0.1490,6.5059,-0.0264,-0.0314,0.0050
16,0.0106,0.1937,0.0384,0.0197,279,-0.1640,201,0.1547,7.1427,-0.0277,-0.0332,0.0055
17,0.0091,0.2001,0.0415,0.0208,277,-0.1724,203,0.1591,8.1217,-0.0288,-0.0353,0.0065
18,0.0076,0.2063,0.0445,0.0219,278,-0.1787,202,0.1657,8.6829,-0.0298,-0.0374,0.0076
19,0.0060,0.2123,0.0475,0.0230,278,-0.1855,202,0.1712,9.4925,-0.0307,-0.0396,0.0089
20,0.0044,0.2180,0.0505,0.0240,279,-0.1914,201,0.1772,10.4275,-0.0317,-0.0418,0.0101
