agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,0.1050,0.0419,0.0655,0.1075
1,-1,0,0.0232,0.0093,0.0142,0.0235
2,-1,0,0.0934,0.0373,0.0569,0.0942
3,1,0,0.3073,0.1229,0.1948,0.3177
4,-1,0,0.2720,0.1084,0.1804,0.2888
5,1,0,0.7865,0.3146,0.7475,1.0621
6,-1,0,0.0074,0.0030,0.0045,0.0075
7,1,0,0.4091,0.1636,0.2710,0.4346
8,-1,0,0.2156,0.0862,0.1329,0.2192
9,-1,0,0.0219,0.0088,0.0134,0.0221
10,1,1,1.0000,0.4000,0.5760,0.9760
11,1,1,1.0000,0.4000,0.5760,0.9760
12,-1,0,0.7833,0.3133,0.7408,1.0540
13,1,0,0.4089,0.1635,0.2707,0.4343
14,1,0,0.4360,0.1744,0.2929,0.4673
15,-1,0,0.1659,0.0660,0.1104,0.1764
16,1,0,0.0399,0.0159,0.0240,0.0399
17,1,0,0.3361,0.1344,0.2154,0.3498
18,1,0,0.0158,0.0063,0.0095,0.0159
19,-1,0,0.2594,0.1036,0.1654,0.2691
20,1,0,0.4886,0.1954,0.3392,0.5347
21,1,0,0.3309,0.1324,0.2115,0.3439
22,-1,0,0.0500,0.0200,0.0304,0.0503
23,-1,0,0.0888,0.0355,0.0542,0.0897
24,1,0,0.1580,0.0631,0.0980,0.1612
25,-1,0,0.1084,0.0432,0.0697,0.1129
26,1,0,0.5526,0.2210,0.4011,0.6222
27,-1,0,0.1443,0.0575,0.0927,0.1502
28,1,0,0.0072,0.0029,0.0044,0.0073
29,1,0,0.4374,0.1749,0.2955,0.4705
30,-1,0,0.3270,0.1304,0.2199,0.3503
31,-1,0,0.5318,0.2122,0.3960,0.6083
32,-1,0,0.4363,0.1742,0.3039,0.4780
33,1,0,0.4268,0.1707,0.2857,0.4564
34,1,0,0.4887,0.1955,0.3389,0.5344
35,1,0,0.3229,0.1291,0.2057,0.3349
36,1,0,0.3464,0.1385,0.2229,0.3614
37,1,0,0.0967,0.0387,0.0584,0.0971
38,-1,0,0.1083,0.0432,0.0667,0.1099
39,1,0,0.3428,0.1371,0.2202,0.3573
40,-1,0,0.2883,0.1149,0.1923,0.3072
41,1,0,0.5970,0.2388,0.4497,0.6885
42,-1,0,0.1353,0.0541,0.0828,0.1369
43,1,0,0.2465,0.0986,0.1531,0.2516
44,-1,0,0.2419,0.0964,0.1588,0.2552
45,-1,0,0.1618,0.0646,0.1010,0.1656
46,1,0,0.3635,0.1454,0.2356,0.3810
47,1,1,1.0000,0.4000,0.7800,1.1800
48,-1,0,0.0979,0.0391,0.0596,0.0988
49,1,0,0.0848,0.0338,0.0540,0.0878
50,-1,0,0.3252,0.1301,0.2074,0.3375
51,-1,0,0.0036,0.0015,0.0023,0.0038
52,1,0,0.2185,0.0873,0.1365,0.2238
53,1,0,0.4111,0.1644,0.2725,0.4369
54,-1,0,0.1919,0.0766,0.1205,0.1972
55,1,0,0.1643,0.0657,0.1001,0.1658
56,-1,0,0.2759,0.1100,0.1806,0.2907
57,1,0,0.3729,0.1491,0.2439,0.3930
58,1,0,0.3879,0.1551,0.2552,0.4103
59,1,0,0.3046,0.1218,0.1928,0.3147
60,-1,0,0.0177,0.0070,0.0116,0.0186
61,1,0,0.1431,0.0572,0.0874,0.1447
62,1,0,0.0661,0.0264,0.0402,0.0666
63,1,1,1.0000,0.4000,0.5760,0.9760
64,-1,0,0.0231,0.0092,0.0146,0.0238
65,1,1,1.0000,0.4000,0.5520,0.9520
66,1,0,0.0266,0.0106,0.0161,0.0267
67,1,0,0.0192,0.0077,0.0116,0.0193
68,1,0,0.3319,0.1327,0.2122,0.3449
69,-1,0,0.3663,0.1463,0.2433,0.3896
70,1,0,0.0754,0.0302,0.0460,0.0761
71,-1,0,0.4029,0.1608,0.2759,0.4367
72,1,0,0.3492,0.1397,0.2260,0.3657
73,1,0,0.3885,0.1554,0.2546,0.4100
74,-1,0,0.0436,0.0174,0.0265,0.0439
75,-1,0,0.0258,0.0102,0.0177,0.0280
76,1,0,0.0022,0.0009,0.0013,0.0022
77,1,0,0.2243,0.0897,0.1385,0.2282
78,-1,0,0.2585,0.1034,0.1612,0.2646
79,-1,0,0.0706,0.0282,0.0432,0.0714
80,-1,0,0.0392,0.0156,0.0258,0.0413
81,1,0,0.3888,0.1555,0.2550,0.4105
82,-1,0,0.3294,0.1317,0.2115,0.3432
83,-1,0,0.2033,0.0813,0.1259,0.2071
84,1,0,0.0025,0.0010,0.0016,0.0026
85,1,0,0.4761,0.1904,0.3275,0.5179
86,1,1,1.0000,0.4000,0.4800,0.8800
87,-1,0,0.0589,0.0234,0.0392,0.0626
88,1,0,0.4464,0.1784,0.3058,0.4842
89,-1,0,0.0949,0.0380,0.0575,0.0955
90,1,0,0.0151,0.0060,0.0092,0.0152
91,1,0,0.3529,0.1411,0.2285,0.3696
92,1,0,0.3272,0.1309,0.2096,0.3405
93,1,1,1.0000,0.4000,0.5040,0.9040
94,-1,0,0.3016,0.1203,0.1987,0.3191
95,1,0,0.3226,0.1290,0.2055,0.3346
96,-1,0,0.2066,0.0823,0.1353,0.2176
97,-1,0,0.3848,0.1539,0.2518,0.4057
98,1,0,0.3443,0.1377,0.2217,0.3594
99,1,0,0.3415,0.1366,0.2192,0.3558
100,1,0,0.3716,0.1486,0.2418,0.3904
101,1,0,0.5814,0.2326,0.4320,0.6646
102,1,0,0.1740,0.0696,0.1070,0.1766
103,-1,0,0.4771,0.1908,0.3285,0.5193
104,1,0,0.6409,0.2564,0.5034,0.7597
105,-1,0,0.1525,0.0609,0.0949,0.1558
106,1,0,0.3444,0.1378,0.2213,0.3591
107,1,0,0.1713,0.0685,0.1045,0.1730
108,-1,0,0.3964,0.1585,0.2610,0.4196
109,-1,0,0.5719,0.2287,0.4217,0.6504
110,-1,0,0.0536,0.0214,0.0325,0.0539
111,1,0,0.1526,0.0611,0.0929,0.1539
112,-1,0,0.1746,0.0698,0.1066,0.1764
113,1,0,0.2496,0.0998,0.1551,0.2550
114,1,0,0.3028,0.1211,0.1915,0.3126
115,1,0,0.1027,0.0410,0.0636,0.1046
116,-1,0,0.0909,0.0363,0.0557,0.0921
117,-1,0,0.1682,0.0669,0.1120,0.1789
118,1,0,0.0353,0.0140,0.0227,0.0368
119,-1,0,0.3251,0.1296,0.2188,0.3484
120,1,0,0.4301,0.1720,0.2880,0.4600
121,-1,0,0.2297,0.0915,0.1523,0.2437
122,1,0,0.2608,0.1043,0.1633,0.2676
123,1,0,0.2746,0.1098,0.1727,0.2826
124,-1,0,0.6362,0.2544,0.4982,0.7526
125,-1,0,0.0351,0.0140,0.0213,0.0353
126,1,0,0.4454,0.1782,0.3008,0.4790
127,-1,0,0.0223,0.0089,0.0145,0.0234
128,-1,0,0.1253,0.0500,0.0772,0.1272
129,-1,0,0.1410,0.0563,0.0863,0.1426
130,1,0,0.6160,0.2464,0.4724,0.7188
131,1,0,0.0864,0.0345,0.0523,0.0868
132,-1,0,0.8456,0.3382,0.9025,1.2407
133,-1,0,0.3945,0.1571,0.2774,0.4345
134,-1,0,0.1560,0.0623,0.0960,0.1583
135,1,0,0.4595,0.1838,0.3129,0.4967
136,-1,0,0.1858,0.0743,0.1148,0.1891
137,-1,0,0.0285,0.0114,0.0173,0.0287
138,1,0,0.1359,0.0543,0.0832,0.1376
139,-1,0,0.3359,0.1342,0.2197,0.3539
140,1,0,0.2330,0.0932,0.1452,0.2384
141,1,0,0.2817,0.1126,0.1790,0.2916
142,1,0,0.6781,0.2712,0.5543,0.8255
143,1,0,0.5548,0.2219,0.4034,0.6253
144,1,0,0.0009,0.0004,0.0005,0.0009
145,1,0,0.6665,0.2666,0.5383,0.8049
146,1,0,0.4424,0.1770,0.2983,0.4752
