step,with High-Degree Zealots_mean_opinion,with High-Degree Zealots_mean_abs_opinion,with High-Degree Zealots_non_zealot_variance,with High-Degree Zealots_cluster_variance,with High-Degree Zealots_negative_count,with High-Degree Zealots_negative_mean,with High-Degree Zealots_positive_count,with High-Degree Zealots_positive_mean,with High-Degree Zealots_polarization_index,with High-Degree Zealots_identity_1_mean_opinion,with High-Degree Zealots_identity_neg1_mean_opinion,with High-Degree Zealots_identity_opinion_difference
214,0.3261,0.3294,0.0480,0.0141,13.5,-0.0238,466.5,0.3080,0.4288,0.3201,0.2771,0.0431
215,0.3264,0.3297,0.0480,0.0141,13.4,-0.0240,466.6,0.3082,0.4292,0.3202,0.2775,0.0427
216,0.3266,0.3300,0.0480,0.0141,13.4,-0.0242,466.6,0.3085,0.4292,0.3203,0.2779,0.0424
217,0.3269,0.3303,0.0480,0.0141,13.4,-0.0245,466.6,0.3088,0.4558,0.3204,0.2784,0.0421
218,0.3271,0.3305,0.0480,0.0141,13.6,-0.0235,466.4,0.3092,0.4558,0.3205,0.2788,0.0417
219,0.3274,0.3308,0.0480,0.0141,13.6,-0.0237,466.4,0.3095,0.4570,0.3206,0.2792,0.0414
220,0.3276,0.3311,0.0480,0.0142,13.8,-0.0229,466.2,0.3099,0.4581,0.3207,0.2796,0.0411
221,0.3279,0.3314,0.0480,0.0142,13.8,-0.0231,466.2,0.3102,0.4581,0.3208,0.2800,0.0408
222,0.3281,0.3316,0.0480,0.0142,13.8,-0.0233,466.2,0.3104,0.4581,0.3209,0.2804,0.0404
223,0.3284,0.3319,0.0480,0.0142,13.9,-0.0230,466.1,0.3108,0.4585,0.3210,0.2808,0.0401
224,0.3286,0.3322,0.0480,0.0142,13.9,-0.0232,466.1,0.3110,0.4585,0.3210,0.2812,0.0398
225,0.3288,0.3324,0.0480,0.0142,13.9,-0.0235,466.1,0.3113,0.4585,0.3211,0.2816,0.0395
226,0.3291,0.3327,0.0480,0.0142,13.9,-0.0237,466.1,0.3116,0.4585,0.3212,0.2820,0.0392
227,0.3293,0.3329,0.0480,0.0142,13.9,-0.0239,466.1,0.3118,0.4585,0.3213,0.2824,0.0389
228,0.3295,0.3332,0.0480,0.0143,13.8,-0.0241,466.2,0.3120,0.4585,0.3214,0.2828,0.0386
229,0.3297,0.3335,0.0480,0.0143,13.8,-0.0243,466.2,0.3123,0.4853,0.3215,0.2831,0.0383
230,0.3300,0.3337,0.0480,0.0143,13.7,-0.0245,466.3,0.3124,0.4853,0.3215,0.2835,0.0380
231,0.3302,0.3339,0.0481,0.0143,13.7,-0.0247,466.3,0.3127,0.5120,0.3216,0.2839,0.0378
232,0.3304,0.3342,0.0481,0.0143,13.7,-0.0245,466.3,0.3129,0.5120,0.3217,0.2842,0.0375
233,0.3306,0.3344,0.0481,0.0143,13.8,-0.0242,466.2,0.3132,0.5120,0.3218,0.2846,0.0372
234,0.3308,0.3347,0.0481,0.0143,13.9,-0.0240,466.1,0.3136,0.5120,0.3218,0.2849,0.0369
235,0.3310,0.3349,0.0481,0.0143,13.9,-0.0242,466.1,0.3138,0.5120,0.3219,0.2853,0.0367
236,0.3312,0.3351,0.0481,0.0144,13.9,-0.0244,466.1,0.3140,0.5120,0.3220,0.2856,0.0364
237,0.3314,0.3354,0.0481,0.0144,13.9,-0.0242,466.1,0.3142,0.5388,0.3221,0.2859,0.0361
238,0.3316,0.3356,0.0481,0.0144,14.0,-0.0240,466.0,0.3145,0.5388,0.3221,0.2863,0.0359
239,0.3318,0.3358,0.0481,0.0144,14.0,-0.0242,466.0,0.3148,0.5899,0.3222,0.2866,0.0356
240,0.3320,0.3360,0.0481,0.0144,14.0,-0.0244,466.0,0.3150,0.5899,0.3223,0.2869,0.0354
241,0.3322,0.3363,0.0481,0.0144,14.0,-0.0246,466.0,0.3152,0.5899,0.3223,0.2872,0.0351
242,0.3324,0.3365,0.0481,0.0144,14.0,-0.0248,466.0,0.3154,0.5899,0.3224,0.2876,0.0349
243,0.3326,0.3367,0.0481,0.0144,14.0,-0.0250,466.0,0.3156,0.5899,0.3225,0.2879,0.0346
244,0.3328,0.3369,0.0481,0.0144,14.0,-0.0252,466.0,0.3159,0.5911,0.3225,0.2882,0.0344
245,0.3329,0.3371,0.0481,0.0145,14.0,-0.0255,466.0,0.3161,0.5911,0.3226,0.2885,0.0341
246,0.3331,0.3373,0.0481,0.0145,14.0,-0.0257,466.0,0.3163,0.5919,0.3227,0.2888,0.0339
247,0.3333,0.3375,0.0481,0.0145,14.0,-0.0259,466.0,0.3165,0.5919,0.3227,0.2891,0.0337
248,0.3335,0.3378,0.0481,0.0145,14.0,-0.0261,466.0,0.3167,0.6432,0.3228,0.2894,0.0334
249,0.3336,0.3380,0.0481,0.0145,14.0,-0.0263,466.0,0.3169,0.6432,0.3229,0.2897,0.0332
250,0.3338,0.3382,0.0481,0.0145,14.0,-0.0265,466.0,0.3171,0.6432,0.3229,0.2900,0.0330
251,0.3340,0.3384,0.0481,0.0145,14.1,-0.0263,465.9,0.3173,0.6432,0.3230,0.2902,0.0328
252,0.3341,0.3386,0.0482,0.0145,14.2,-0.0261,465.8,0.3176,0.6432,0.3231,0.2905,0.0325
253,0.3343,0.3387,0.0482,0.0145,14.2,-0.0263,465.8,0.3178,0.6701,0.3231,0.2908,0.0323
254,0.3345,0.3389,0.0482,0.0145,14.2,-0.0265,465.8,0.3180,0.6701,0.3232,0.2911,0.0321
255,0.3346,0.3391,0.0482,0.0146,14.3,-0.0263,465.7,0.3182,0.6701,0.3232,0.2913,0.0319
256,0.3348,0.3393,0.0482,0.0146,14.3,-0.0264,465.7,0.3184,0.6701,0.3233,0.2916,0.0317
257,0.3350,0.3395,0.0482,0.0146,14.3,-0.0266,465.7,0.3186,0.6701,0.3233,0.2919,0.0315
258,0.3351,0.3397,0.0482,0.0146,14.3,-0.0268,465.7,0.3188,0.6701,0.3234,0.2921,0.0313
259,0.3353,0.3399,0.0482,0.0146,14.3,-0.0270,465.7,0.3190,0.6701,0.3235,0.2924,0.0311
260,0.3354,0.3401,0.0482,0.0146,14.3,-0.0272,465.7,0.3191,0.6969,0.3235,0.2926,0.0309
261,0.3356,0.3402,0.0482,0.0146,14.3,-0.0274,465.7,0.3193,0.6969,0.3236,0.2929,0.0307
262,0.3357,0.3404,0.0482,0.0146,14.3,-0.0276,465.7,0.3195,0.6969,0.3236,0.2931,0.0305
263,0.3358,0.3406,0.0482,0.0146,14.4,-0.0274,465.6,0.3197,0.6969,0.3237,0.2934,0.0303
264,0.3360,0.3408,0.0482,0.0146,14.4,-0.0276,465.6,0.3199,0.6969,0.3237,0.2936,0.0301
265,0.3361,0.3409,0.0482,0.0146,14.4,-0.0278,465.6,0.3201,0.6969,0.3238,0.2939,0.0299
266,0.3363,0.3411,0.0483,0.0147,14.4,-0.0280,465.6,0.3202,0.6969,0.3238,0.2941,0.0297
267,0.3364,0.3413,0.0483,0.0147,14.4,-0.0282,465.6,0.3204,0.6969,0.3239,0.2943,0.0296
268,0.3365,0.3414,0.0483,0.0147,14.4,-0.0284,465.6,0.3206,0.7055,0.3239,0.2946,0.0294
269,0.3367,0.3416,0.0483,0.0147,14.4,-0.0285,465.6,0.3207,0.7568,0.3240,0.2948,0.0292
270,0.3368,0.3418,0.0483,0.0147,14.4,-0.0287,465.6,0.3209,0.7568,0.3240,0.2950,0.0290
271,0.3369,0.3419,0.0483,0.0147,14.1,-0.0289,465.9,0.3208,0.7568,0.3241,0.2952,0.0289
272,0.3371,0.3421,0.0483,0.0147,14.1,-0.0287,465.9,0.3210,0.7836,0.3241,0.2954,0.0287
273,0.3372,0.3422,0.0483,0.0147,14.1,-0.0289,465.9,0.3211,0.7836,0.3242,0.2957,0.0285
274,0.3373,0.3424,0.0483,0.0147,14.1,-0.0290,465.9,0.3213,0.7836,0.3242,0.2959,0.0284
275,0.3375,0.3425,0.0483,0.0147,14.1,-0.0292,465.9,0.3214,0.7848,0.3243,0.2961,0.0282
276,0.3376,0.3427,0.0483,0.0147,14.1,-0.0294,465.9,0.3216,0.7848,0.3243,0.2963,0.0280
277,0.3377,0.3428,0.0483,0.0148,14.1,-0.0296,465.9,0.3217,0.7848,0.3244,0.2965,0.0279
278,0.3378,0.3430,0.0484,0.0148,14.1,-0.0298,465.9,0.3219,0.7848,0.3244,0.2967,0.0277
279,0.3379,0.3431,0.0484,0.0148,14.1,-0.0299,465.9,0.3220,0.7848,0.3245,0.2969,0.0276
280,0.3381,0.3433,0.0484,0.0148,14.1,-0.0301,465.9,0.3221,0.8118,0.3245,0.2971,0.0274
281,0.3382,0.3434,0.0484,0.0148,14.1,-0.0303,465.9,0.3223,0.8118,0.3245,0.2973,0.0273
282,0.3383,0.3436,0.0484,0.0148,14.1,-0.0305,465.9,0.3224,0.8118,0.3246,0.2975,0.0271
283,0.3384,0.3437,0.0484,0.0148,14.1,-0.0307,465.9,0.3225,0.8118,0.3246,0.2977,0.0270
284,0.3385,0.3438,0.0484,0.0148,14.1,-0.0308,465.9,0.3227,0.8118,0.3247,0.2979,0.0268
285,0.3386,0.3440,0.0484,0.0148,14.1,-0.0310,465.9,0.3228,0.8118,0.3247,0.2980,0.0267
286,0.3387,0.3441,0.0484,0.0148,14.1,-0.0312,465.9,0.3229,0.8132,0.3248,0.2982,0.0265
287,0.3388,0.3442,0.0484,0.0148,14.1,-0.0313,465.9,0.3231,0.8132,0.3248,0.2984,0.0264
288,0.3389,0.3444,0.0484,0.0148,14.1,-0.0315,465.9,0.3232,0.8132,0.3248,0.2986,0.0262
289,0.3390,0.3445,0.0484,0.0148,14.1,-0.0317,465.9,0.3233,0.8132,0.3249,0.2988,0.0261
290,0.3391,0.3446,0.0485,0.0148,14.2,-0.0314,465.8,0.3235,0.8145,0.3249,0.2989,0.0260
291,0.3392,0.3448,0.0485,0.0149,14.2,-0.0315,465.8,0.3236,0.8145,0.3249,0.2991,0.0258
292,0.3393,0.3449,0.0485,0.0149,14.2,-0.0317,465.8,0.3238,0.8145,0.3250,0.2993,0.0257
293,0.3394,0.3450,0.0485,0.0149,14.2,-0.0319,465.8,0.3239,0.8145,0.3250,0.2994,0.0256
294,0.3395,0.3451,0.0485,0.0149,14.2,-0.0320,465.8,0.3240,0.8158,0.3251,0.2996,0.0255
295,0.3396,0.3453,0.0485,0.0149,14.2,-0.0322,465.8,0.3241,0.8158,0.3251,0.2998,0.0253
296,0.3397,0.3454,0.0485,0.0149,14.2,-0.0324,465.8,0.3242,0.8158,0.3251,0.2999,0.0252
297,0.3398,0.3455,0.0485,0.0149,14.2,-0.0325,465.8,0.3243,0.8158,0.3252,0.3001,0.0251
298,0.3399,0.3456,0.0485,0.0149,14.2,-0.0327,465.8,0.3244,0.8158,0.3252,0.3002,0.0250
299,0.3400,0.3457,0.0485,0.0149,14.2,-0.0328,465.8,0.3246,0.8158,0.3252,0.3004,0.0248
