agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,-0.5938,-0.2375,-0.4460,-0.6836
1,1,0,-0.2820,-0.1128,-0.1770,-0.2898
2,1,0,-0.7573,-0.3029,-0.6869,-0.9899
3,1,1,1.0000,0.4000,0.5040,0.9040
4,1,0,-0.1412,-0.0565,-0.0857,-0.1422
5,1,0,-0.2958,-0.1183,-0.1866,-0.3049
6,-1,0,-0.1722,-0.0689,-0.1051,-0.1740
7,1,0,0.4111,0.1645,0.2725,0.4370
8,1,1,0.0000,0.0000,0.0000,0.0000
9,-1,0,-0.5792,-0.2317,-0.4296,-0.6612
10,-1,0,0.4301,0.1720,0.2880,0.4600
11,1,1,-0.4301,-0.1720,-0.2880,-0.4600
12,-1,0,-0.0963,-0.0385,-0.0581,-0.0967
13,1,0,-0.2642,-0.1057,-0.1650,-0.2706
14,-1,0,-0.9547,-0.3819,-1.5009,-1.8828
15,1,1,-0.3371,-0.1349,-0.2160,-0.3509
16,-1,0,0.4301,0.1720,0.2880,0.4600
17,1,1,-0.2328,-0.0931,-0.1440,-0.2371
18,1,1,-0.2328,-0.0931,-0.1440,-0.2371
19,1,0,-0.4104,-0.1642,-0.2719,-0.4361
20,1,1,-0.4301,-0.1720,-0.2880,-0.4600
21,-1,0,-0.3672,-0.1469,-0.2383,-0.3852
22,1,1,0.3371,0.1349,0.2160,0.3509
23,-1,0,-0.7861,-0.3144,-0.7467,-1.0611
24,-1,0,0.7805,0.3122,0.7347,1.0468
25,1,0,0.1736,0.0695,0.1060,0.1754
26,1,0,0.5443,0.2177,0.3925,0.6102
27,1,0,-0.2674,-0.1070,-0.1671,-0.2740
28,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
29,1,0,-0.6030,-0.2412,-0.4567,-0.6979
30,1,0,-0.1402,-0.0561,-0.0851,-0.1412
31,1,0,-0.0187,-0.0075,-0.0112,-0.0187
32,1,1,1.0000,0.4000,0.1440,0.5440
33,-1,0,-0.4568,-0.1827,-0.3106,-0.4933
34,1,1,0.4301,0.1720,0.2880,0.4600
35,-1,0,0.5035,0.2014,0.3527,0.5541
36,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
37,1,1,0.4986,0.1994,0.3480,0.5474
38,1,0,0.2675,0.1070,0.1672,0.2742
39,1,1,-0.2328,-0.0931,-0.1440,-0.2371
40,-1,0,0.0514,0.0206,0.0309,0.0514
41,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
42,1,1,-0.2144,-0.0857,-0.1320,-0.2177
43,1,1,0.4301,0.1720,0.2880,0.4600
44,1,1,0.0000,0.0000,0.0000,0.0000
45,-1,0,-0.8198,-0.3279,-0.8284,-1.1563
46,1,0,0.4952,0.1981,0.3449,0.5430
47,-1,0,0.2533,0.1013,0.1576,0.2589
48,-1,0,0.3952,0.1581,0.2600,0.4181
49,1,1,-0.2328,-0.0931,-0.1440,-0.2371
50,1,1,0.2509,0.1004,0.1560,0.2564
51,-1,1,-0.5704,-0.2282,-0.4200,-0.6482
52,1,0,0.2899,0.1160,0.1825,0.2985
53,-1,0,0.5285,0.2114,0.3766,0.5880
54,-1,0,0.7095,0.2838,0.6023,0.8861
55,-1,1,-0.0000,-0.0000,0.0000,-0.0000
56,-1,0,-0.4467,-0.1787,-0.3019,-0.4805
57,-1,0,-0.3685,-0.1474,-0.2393,-0.3867
58,-1,0,-0.5244,-0.2098,-0.3726,-0.5824
59,-1,0,0.7041,0.2816,0.5937,0.8753
60,1,1,0.2328,0.0931,0.1440,0.2371
61,-1,0,0.1368,0.0547,0.0829,0.1376
62,1,0,0.7382,0.2953,0.6512,0.9465
63,1,0,0.1252,0.0501,0.0758,0.1259
64,-1,0,-0.5288,-0.2115,-0.3770,-0.5885
65,-1,1,-0.2144,-0.0857,-0.1320,-0.2177
66,-1,0,0.4671,0.1869,0.3195,0.5064
67,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
68,-1,0,0.2149,0.0860,0.1324,0.2183
69,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
70,1,0,-0.5128,-0.2051,-0.3614,-0.5665
71,1,1,0.3371,0.1349,0.2160,0.3509
72,1,0,0.5814,0.2326,0.4320,0.6646
73,1,0,0.1396,0.0558,0.0847,0.1405
74,-1,0,0.0984,0.0394,0.0594,0.0987
75,1,0,-0.3573,-0.1429,-0.2308,-0.3737
76,-1,1,0.2328,0.0931,0.1440,0.2371
77,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
78,-1,1,-0.1191,-0.0476,-0.0720,-0.1196
79,-1,0,0.3709,0.1484,0.2413,0.3897
80,1,1,-0.3371,-0.1349,-0.2160,-0.3509
81,-1,1,0.2328,0.0931,0.1440,0.2371
82,1,1,-0.3371,-0.1349,-0.2160,-0.3509
83,1,0,-0.4301,-0.1720,-0.2880,-0.4600
84,1,1,-0.2328,-0.0931,-0.1440,-0.2371
85,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
86,1,0,0.3913,0.1565,0.2568,0.4133
87,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
88,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
89,-1,0,-0.5998,-0.2399,-0.4529,-0.6928
90,-1,0,0.6974,0.2789,0.5832,0.8622
91,1,0,0.1852,0.0741,0.1133,0.1874
92,1,0,0.5470,0.2188,0.3953,0.6141
93,-1,0,-0.3863,-0.1545,-0.2529,-0.4074
94,1,1,0.2328,0.0931,0.1440,0.2371
95,1,1,0.1191,0.0476,0.0720,0.1196
96,-1,0,-0.1553,-0.0621,-0.0945,-0.1566
97,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
98,-1,0,-0.3866,-0.1546,-0.2531,-0.4078
99,1,0,0.1265,0.0506,0.0766,0.1272
100,-1,0,0.0593,0.0237,0.0357,0.0594
101,1,0,0.2958,0.1183,0.1866,0.3049
102,-1,0,0.4199,0.1680,0.2797,0.4477
103,1,0,0.2465,0.0986,0.1531,0.2517
104,-1,0,-0.6256,-0.2502,-0.4839,-0.7341
105,1,0,-0.2215,-0.0886,-0.1366,-0.2253
106,-1,0,0.5412,0.2165,0.3894,0.6059
107,-1,0,0.5413,0.2165,0.3896,0.6062
108,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
109,1,1,-0.1191,-0.0476,-0.0720,-0.1196
110,-1,0,-0.3445,-0.1378,-0.2214,-0.3592
111,1,1,0.3371,0.1349,0.2160,0.3509
112,-1,0,-0.2883,-0.1153,-0.1814,-0.2967
113,1,0,-0.3869,-0.1548,-0.2534,-0.4082
114,1,1,0.2328,0.0931,0.1440,0.2371
115,1,1,0.2328,0.0931,0.1440,0.2371
