step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
0,0.0049,0.0034,0.0039,0.0039,0.0045,0.0029,0.0044,0.0039,0.0036,0.0038,0.0032,0.0028,0.0025,0.0026,0.0028,0.0038,0.0041,0.0034,0.0025,0.0028,0.0041,0.0039,0.0039,0.0019,0.0032,0.0034,0.0032
1,0.0043,0.0034,0.0026,0.0030,0.0042,0.0028,0.0039,0.0034,0.0029,0.0033,0.0028,0.0024,0.0022,0.0024,0.0023,0.0033,0.0035,0.0030,0.0023,0.0026,0.0041,0.0036,0.0036,0.0017,0.0029,0.0029,0.0029
2,0.0040,0.0035,0.0019,0.0025,0.0041,0.0030,0.0035,0.0030,0.0025,0.0028,0.0025,0.0021,0.0020,0.0022,0.0020,0.0028,0.0029,0.0027,0.0021,0.0025,0.0042,0.0034,0.0035,0.0016,0.0026,0.0025,0.0026
3,0.0039,0.0036,0.0017,0.0021,0.0041,0.0035,0.0031,0.0026,0.0022,0.0025,0.0023,0.0018,0.0019,0.0022,0.0018,0.0024,0.0025,0.0025,0.0020,0.0025,0.0044,0.0032,0.0036,0.0017,0.0024,0.0021,0.0024
4,0.0039,0.0037,0.0020,0.0020,0.0041,0.0041,0.0028,0.0023,0.0020,0.0022,0.0020,0.0015,0.0017,0.0022,0.0017,0.0022,0.0021,0.0022,0.0018,0.0026,0.0046,0.0031,0.0038,0.0018,0.0022,0.0019,0.0022
5,0.0040,0.0039,0.0025,0.0020,0.0042,0.0048,0.0026,0.0021,0.0019,0.0019,0.0018,0.0013,0.0016,0.0023,0.0017,0.0019,0.0018,0.0020,0.0017,0.0028,0.0048,0.0030,0.0041,0.0020,0.0020,0.0017,0.0021
6,0.0042,0.0041,0.0033,0.0021,0.0044,0.0056,0.0024,0.0018,0.0019,0.0016,0.0016,0.0012,0.0016,0.0025,0.0018,0.0017,0.0015,0.0018,0.0016,0.0029,0.0050,0.0029,0.0045,0.0023,0.0018,0.0015,0.0020
7,0.0044,0.0043,0.0043,0.0024,0.0047,0.0064,0.0022,0.0016,0.0020,0.0014,0.0014,0.0010,0.0015,0.0027,0.0019,0.0016,0.0013,0.0017,0.0015,0.0031,0.0052,0.0028,0.0050,0.0026,0.0017,0.0014,0.0019
8,0.0047,0.0045,0.0055,0.0027,0.0049,0.0073,0.0020,0.0014,0.0022,0.0013,0.0013,0.0009,0.0015,0.0030,0.0020,0.0015,0.0012,0.0015,0.0014,0.0033,0.0055,0.0028,0.0055,0.0030,0.0016,0.0013,0.0018
9,0.0051,0.0048,0.0067,0.0031,0.0052,0.0082,0.0019,0.0013,0.0024,0.0011,0.0012,0.0008,0.0015,0.0032,0.0022,0.0015,0.0010,0.0014,0.0013,0.0036,0.0057,0.0028,0.0060,0.0034,0.0015,0.0013,0.0017
10,0.0054,0.0050,0.0080,0.0035,0.0055,0.0090,0.0018,0.0011,0.0026,0.0010,0.0010,0.0007,0.0015,0.0035,0.0024,0.0014,0.0009,0.0012,0.0012,0.0038,0.0060,0.0028,0.0066,0.0038,0.0014,0.0012,0.0017
11,0.0058,0.0053,0.0093,0.0040,0.0059,0.0099,0.0017,0.0010,0.0029,0.0009,0.0009,0.0006,0.0015,0.0038,0.0026,0.0014,0.0009,0.0011,0.0011,0.0040,0.0062,0.0029,0.0071,0.0042,0.0014,0.0012,0.0017
12,0.0062,0.0055,0.0107,0.0045,0.0062,0.0107,0.0017,0.0009,0.0032,0.0008,0.0008,0.0006,0.0015,0.0041,0.0028,0.0014,0.0008,0.0010,0.0010,0.0043,0.0065,0.0029,0.0077,0.0046,0.0013,0.0013,0.0017
13,0.0066,0.0058,0.0120,0.0050,0.0066,0.0115,0.0016,0.0008,0.0035,0.0007,0.0008,0.0005,0.0015,0.0044,0.0030,0.0015,0.0008,0.0009,0.0010,0.0045,0.0067,0.0030,0.0083,0.0051,0.0013,0.0013,0.0017
14,0.0069,0.0060,0.0133,0.0055,0.0069,0.0123,0.0016,0.0007,0.0039,0.0006,0.0007,0.0005,0.0015,0.0047,0.0032,0.0015,0.0008,0.0009,0.0009,0.0047,0.0070,0.0030,0.0088,0.0055,0.0012,0.0014,0.0017
15,0.0073,0.0062,0.0146,0.0060,0.0073,0.0130,0.0015,0.0007,0.0042,0.0006,0.0006,0.0004,0.0016,0.0051,0.0034,0.0016,0.0007,0.0008,0.0009,0.0049,0.0072,0.0031,0.0094,0.0060,0.0012,0.0014,0.0017
16,0.0077,0.0065,0.0158,0.0066,0.0077,0.0137,0.0015,0.0006,0.0046,0.0005,0.0006,0.0004,0.0016,0.0054,0.0036,0.0017,0.0007,0.0007,0.0008,0.0051,0.0074,0.0031,0.0099,0.0064,0.0012,0.0015,0.0017
17,0.0080,0.0067,0.0169,0.0071,0.0080,0.0144,0.0015,0.0005,0.0050,0.0005,0.0005,0.0004,0.0017,0.0057,0.0038,0.0018,0.0007,0.0007,0.0008,0.0053,0.0076,0.0032,0.0104,0.0069,0.0012,0.0016,0.0017
18,0.0083,0.0069,0.0181,0.0076,0.0084,0.0150,0.0015,0.0005,0.0053,0.0004,0.0005,0.0004,0.0017,0.0060,0.0040,0.0019,0.0008,0.0006,0.0008,0.0055,0.0078,0.0033,0.0109,0.0073,0.0012,0.0017,0.0017
19,0.0087,0.0071,0.0191,0.0081,0.0088,0.0156,0.0014,0.0004,0.0057,0.0004,0.0004,0.0003,0.0018,0.0063,0.0041,0.0020,0.0008,0.0006,0.0007,0.0056,0.0080,0.0034,0.0114,0.0077,0.0012,0.0019,0.0018
20,0.0090,0.0073,0.0201,0.0086,0.0091,0.0161,0.0014,0.0004,0.0061,0.0004,0.0004,0.0003,0.0018,0.0066,0.0043,0.0021,0.0008,0.0005,0.0007,0.0058,0.0082,0.0034,0.0119,0.0081,0.0012,0.0020,0.0018
21,0.0093,0.0075,0.0210,0.0091,0.0095,0.0166,0.0014,0.0004,0.0065,0.0003,0.0003,0.0003,0.0019,0.0069,0.0044,0.0022,0.0008,0.0005,0.0007,0.0059,0.0084,0.0035,0.0123,0.0085,0.0012,0.0022,0.0018
22,0.0096,0.0077,0.0219,0.0096,0.0098,0.0171,0.0014,0.0003,0.0068,0.0003,0.0003,0.0003,0.0019,0.0071,0.0045,0.0024,0.0008,0.0004,0.0006,0.0061,0.0085,0.0036,0.0127,0.0089,0.0012,0.0023,0.0018
23,0.0098,0.0079,0.0227,0.0101,0.0101,0.0175,0.0015,0.0003,0.0072,0.0003,0.0003,0.0003,0.0020,0.0074,0.0046,0.0025,0.0009,0.0004,0.0006,0.0062,0.0087,0.0037,0.0131,0.0093,0.0012,0.0025,0.0019
24,0.0101,0.0080,0.0235,0.0105,0.0104,0.0179,0.0015,0.0003,0.0076,0.0003,0.0002,0.0003,0.0021,0.0077,0.0047,0.0027,0.0009,0.0004,0.0006,0.0063,0.0088,0.0038,0.0135,0.0096,0.0012,0.0027,0.0019
25,0.0103,0.0082,0.0242,0.0110,0.0108,0.0183,0.0015,0.0003,0.0079,0.0003,0.0002,0.0003,0.0021,0.0079,0.0048,0.0028,0.0009,0.0003,0.0006,0.0064,0.0090,0.0039,0.0138,0.0100,0.0012,0.0028,0.0019
26,0.0105,0.0084,0.0249,0.0114,0.0111,0.0187,0.0015,0.0002,0.0082,0.0003,0.0002,0.0003,0.0022,0.0081,0.0049,0.0030,0.0010,0.0003,0.0005,0.0065,0.0091,0.0039,0.0141,0.0103,0.0012,0.0030,0.0020
27,0.0107,0.0085,0.0255,0.0118,0.0114,0.0190,0.0015,0.0002,0.0086,0.0003,0.0002,0.0003,0.0022,0.0084,0.0050,0.0032,0.0010,0.0003,0.0005,0.0066,0.0092,0.0040,0.0145,0.0106,0.0012,0.0032,0.0020
28,0.0109,0.0087,0.0260,0.0122,0.0116,0.0193,0.0015,0.0002,0.0089,0.0003,0.0002,0.0003,0.0023,0.0086,0.0050,0.0034,0.0010,0.0003,0.0005,0.0067,0.0093,0.0041,0.0147,0.0109,0.0012,0.0034,0.0020
29,0.0111,0.0088,0.0266,0.0126,0.0119,0.0195,0.0015,0.0002,0.0092,0.0003,0.0002,0.0003,0.0024,0.0088,0.0051,0.0036,0.0010,0.0002,0.0005,0.0068,0.0094,0.0042,0.0150,0.0112,0.0012,0.0037,0.0021
