agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,-0.5989,-0.2396,-0.4519,-0.6914
1,1,0,-0.2870,-0.1148,-0.1805,-0.2953
2,1,0,-0.2958,-0.1183,-0.1866,-0.3049
3,1,0,-0.3374,-0.1350,-0.2162,-0.3512
4,-1,0,0.5590,0.2236,0.4078,0.6314
5,1,1,-0.4301,-0.1720,-0.2880,-0.4600
6,-1,0,-0.6346,-0.2538,-0.4952,-0.7491
7,-1,0,-0.4844,-0.1938,-0.3348,-0.5286
8,-1,0,-0.0269,-0.0106,-0.0198,-0.0304
9,-1,0,0.2539,0.1016,0.1580,0.2596
10,-1,0,0.0902,0.0361,0.0543,0.0904
11,-1,1,-0.5814,-0.2326,-0.4320,-0.6646
12,-1,1,0.3773,0.1509,0.2460,0.3969
13,-1,0,-0.7362,-0.2945,-0.6477,-0.9422
14,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
15,-1,0,0.3540,0.1416,0.2284,0.3700
16,-1,1,0.1191,0.0476,0.0720,0.1196
17,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
18,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
19,-1,0,0.1893,0.0757,0.1160,0.1917
20,1,1,0.3371,0.1349,0.2160,0.3509
21,-1,0,-0.3044,-0.1217,-0.1926,-0.3144
22,-1,0,0.6999,0.2800,0.5872,0.8672
23,-1,1,-0.5814,-0.2326,-0.4320,-0.6646
24,1,0,0.1171,0.0468,0.0708,0.1177
25,1,0,0.0280,0.0112,0.0169,0.0281
26,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
27,-1,0,0.6476,0.2591,0.5122,0.7712
28,-1,0,-0.0737,-0.0295,-0.0441,-0.0735
29,1,1,0.5814,0.2326,0.4320,0.6646
30,-1,0,0.4099,0.1640,0.2717,0.4356
31,-1,0,0.6773,0.2709,0.5534,0.8243
32,-1,0,0.2328,0.0931,0.1440,0.2371
33,-1,1,0.3371,0.1349,0.2160,0.3509
34,-1,1,0.2328,0.0931,0.1440,0.2371
35,1,1,0.2328,0.0931,0.1440,0.2371
36,1,0,-0.4691,-0.1876,-0.3213,-0.5089
37,-1,0,0.8232,0.3293,0.8375,1.1668
38,-1,0,0.6733,0.2693,0.5474,0.8168
39,-1,0,0.4799,0.1919,0.3309,0.5228
40,1,0,0.3674,0.1469,0.2405,0.3874
41,-1,0,0.0140,0.0056,0.0090,0.0146
42,1,0,0.4912,0.1965,0.3420,0.5384
43,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
44,1,0,0.4719,0.1887,0.3258,0.5145
45,-1,0,-0.0375,-0.0150,-0.0225,-0.0375
46,-1,0,-0.3524,-0.1410,-0.2272,-0.3682
47,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
48,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
49,-1,0,0.4834,0.1934,0.3344,0.5278
50,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
51,-1,0,0.3643,0.1457,0.2361,0.3819
52,1,0,0.2175,0.0870,0.1352,0.2222
53,-1,0,0.5244,0.2098,0.3727,0.5825
54,-1,0,0.5293,0.2117,0.3777,0.5894
55,-1,0,-0.5255,-0.2102,-0.3737,-0.5840
56,-1,0,0.2945,0.1178,0.1858,0.3036
57,1,1,0.2328,0.0931,0.1440,0.2371
58,1,0,0.4280,0.1712,0.2862,0.4574
59,-1,0,-0.8133,-0.3253,-0.8113,-1.1366
60,-1,0,0.4490,0.1796,0.3039,0.4835
61,1,0,-0.1249,-0.0499,-0.0756,-0.1256
62,-1,0,0.2746,0.1098,0.1721,0.2820
63,1,0,-0.3858,-0.1543,-0.2526,-0.4069
64,-1,0,-0.3188,-0.1275,-0.2028,-0.3303
65,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
66,-1,0,0.3509,0.1404,0.2262,0.3665
67,1,1,-0.3371,-0.1349,-0.2160,-0.3509
68,-1,0,0.1906,0.0763,0.1168,0.1931
69,-1,0,-0.1329,-0.0529,-0.0867,-0.1397
70,1,0,-0.0127,-0.0051,-0.0076,-0.0127
71,-1,0,-0.2731,-0.1092,-0.1708,-0.2800
72,-1,0,-0.7745,-0.3098,-0.7217,-1.0315
73,-1,1,0.3371,0.1349,0.2160,0.3509
74,-1,0,0.3128,0.1251,0.1989,0.3240
75,-1,0,0.2738,0.1095,0.1715,0.2810
76,-1,0,-0.8379,-0.3351,-0.8786,-1.2137
77,-1,0,0.1941,0.0777,0.1190,0.1967
78,-1,0,-0.3372,-0.1349,-0.2161,-0.3510
79,1,0,0.3771,0.1508,0.2476,0.3984
80,-1,0,-0.2761,-0.1104,-0.1730,-0.2835
81,-1,1,0.3371,0.1349,0.2160,0.3509
82,-1,1,0.2328,0.0931,0.1440,0.2371
83,-1,1,-0.2628,-0.1051,-0.1640,-0.2691
84,-1,1,0.3371,0.1349,0.2160,0.3509
85,-1,0,-0.4986,-0.1994,-0.3480,-0.5474
86,-1,0,0.5568,0.2227,0.4055,0.6282
87,-1,0,0.5864,0.2345,0.4376,0.6722
88,-1,0,-0.4837,-0.1935,-0.3343,-0.5278
89,-1,0,-0.0338,-0.0134,-0.0236,-0.0370
90,-1,0,0.5085,0.2034,0.3574,0.5608
