step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
53,0.0852,0.0906,0.0339,0.0022,101,-0.0132,399,0.1102,0.0000,0.0202,0.1708,-0.1506
54,0.0872,0.0924,0.0349,0.0022,96,-0.0135,404,0.1112,0.0000,0.0211,0.1742,-0.1531
55,0.0892,0.0942,0.0358,0.0023,94,-0.0134,406,0.1129,0.0000,0.0220,0.1775,-0.1555
56,0.0911,0.0959,0.0367,0.0023,89,-0.0137,411,0.1138,0.0000,0.0230,0.1806,-0.1577
57,0.0930,0.0977,0.0376,0.0024,88,-0.0134,412,0.1157,0.0000,0.0239,0.1837,-0.1598
58,0.0948,0.0994,0.0384,0.0024,86,-0.0133,414,0.1173,0.0000,0.0249,0.1867,-0.1617
59,0.0966,0.1011,0.0392,0.0025,82,-0.0135,418,0.1182,0.0000,0.0260,0.1896,-0.1636
60,0.0985,0.1027,0.0399,0.0025,81,-0.0132,419,0.1200,0.0000,0.0270,0.1924,-0.1654
61,0.1002,0.1044,0.0406,0.0026,78,-0.0132,422,0.1212,0.0000,0.0281,0.1951,-0.1670
62,0.1020,0.1060,0.0412,0.0027,74,-0.0135,426,0.1221,0.0000,0.0292,0.1977,-0.1685
63,0.1038,0.1076,0.0419,0.0027,70,-0.0138,430,0.1229,0.0000,0.0303,0.2003,-0.1700
64,0.1055,0.1093,0.0424,0.0028,69,-0.0136,431,0.1246,0.0000,0.0315,0.2028,-0.1713
65,0.1073,0.1109,0.0430,0.0028,67,-0.0136,433,0.1260,0.0000,0.0327,0.2053,-0.1726
66,0.1090,0.1125,0.0435,0.0029,65,-0.0135,435,0.1273,0.0000,0.0339,0.2077,-0.1737
67,0.1107,0.1141,0.0440,0.0030,65,-0.0131,435,0.1292,0.0000,0.0352,0.2100,-0.1748
68,0.1124,0.1157,0.0445,0.0030,63,-0.0131,437,0.1305,0.0000,0.0365,0.2123,-0.1758
69,0.1141,0.1173,0.0449,0.0031,62,-0.0128,438,0.1321,0.0000,0.0378,0.2145,-0.1768
70,0.1159,0.1189,0.0453,0.0032,60,-0.0128,440,0.1334,0.0000,0.0391,0.2167,-0.1776
71,0.1176,0.1205,0.0457,0.0033,59,-0.0126,441,0.1350,0.0000,0.0405,0.2189,-0.1784
72,0.1193,0.1221,0.0460,0.0033,58,-0.0123,442,0.1365,0.0000,0.0419,0.2210,-0.1791
73,0.1210,0.1238,0.0463,0.0034,56,-0.0123,444,0.1378,0.0000,0.0433,0.2231,-0.1798
74,0.1227,0.1254,0.0466,0.0035,53,-0.0125,447,0.1388,0.0000,0.0448,0.2252,-0.1803
75,0.1245,0.1270,0.0469,0.0036,49,-0.0130,451,0.1394,0.0000,0.0463,0.2272,-0.1809
76,0.1262,0.1286,0.0472,0.0036,49,-0.0125,451,0.1413,0.0000,0.0479,0.2292,-0.1813
77,0.1280,0.1303,0.0474,0.0037,46,-0.0127,454,0.1422,0.0000,0.0494,0.2312,-0.1817
78,0.1297,0.1320,0.0477,0.0038,45,-0.0125,455,0.1438,0.0000,0.0511,0.2331,-0.1821
79,0.1315,0.1336,0.0479,0.0039,43,-0.0125,457,0.1450,0.0000,0.0527,0.2351,-0.1824
80,0.1333,0.1353,0.0481,0.0040,41,-0.0125,459,0.1463,0.0000,0.0544,0.2370,-0.1826
81,0.1351,0.1370,0.0483,0.0041,41,-0.0119,459,0.1482,0.0000,0.0561,0.2389,-0.1829
82,0.1369,0.1388,0.0485,0.0042,39,-0.0120,461,0.1495,0.0000,0.0578,0.2409,-0.1830
83,0.1387,0.1405,0.0487,0.0043,38,-0.0116,462,0.1511,0.0000,0.0596,0.2427,-0.1831
84,0.1406,0.1423,0.0488,0.0043,37,-0.0113,463,0.1527,0.0000,0.0615,0.2446,-0.1832
85,0.1425,0.1440,0.0490,0.0045,37,-0.0107,463,0.1547,0.0000,0.0633,0.2465,-0.1832
86,0.1443,0.1458,0.0491,0.0046,37,-0.0101,463,0.1567,0.0000,0.0652,0.2484,-0.1832
87,0.1462,0.1476,0.0493,0.0047,37,-0.0094,463,0.1587,0.0000,0.0671,0.2503,-0.1831
88,0.1482,0.1495,0.0494,0.0048,34,-0.0096,466,0.1597,0.0000,0.0691,0.2521,-0.1830
89,0.1501,0.1513,0.0496,0.0049,31,-0.0099,469,0.1607,0.0000,0.0711,0.2540,-0.1829
90,0.1521,0.1532,0.0497,0.0050,30,-0.0097,470,0.1624,0.0000,0.0731,0.2559,-0.1827
91,0.1541,0.1552,0.0498,0.0051,29,-0.0095,471,0.1641,0.0000,0.0752,0.2577,-0.1825
92,0.1561,0.1571,0.0500,0.0052,27,-0.0097,473,0.1655,0.0000,0.0773,0.2596,-0.1823
93,0.1581,0.1591,0.0501,0.0054,25,-0.0099,475,0.1669,0.0000,0.0794,0.2615,-0.1820
94,0.1601,0.1611,0.0502,0.0055,24,-0.0098,476,0.1687,0.0000,0.0816,0.2633,-0.1817
95,0.1622,0.1631,0.0503,0.0056,23,-0.0096,477,0.1705,0.0000,0.0838,0.2652,-0.1814
96,0.1642,0.1651,0.0505,0.0057,22,-0.0095,478,0.1722,0.0000,0.0861,0.2671,-0.1810
97,0.1663,0.1671,0.0506,0.0059,21,-0.0093,479,0.1740,0.0000,0.0883,0.2689,-0.1806
98,0.1685,0.1692,0.0507,0.0060,21,-0.0087,479,0.1762,0.0000,0.0906,0.2708,-0.1802
99,0.1706,0.1713,0.0509,0.0062,20,-0.0084,480,0.1780,0.0000,0.0929,0.2727,-0.1797
100,0.1727,0.1733,0.0510,0.0063,19,-0.0081,481,0.1799,0.0000,0.0953,0.2745,-0.1793
101,0.1749,0.1755,0.0512,0.0065,19,-0.0074,481,0.1821,0.0000,0.0977,0.2764,-0.1788
102,0.1771,0.1776,0.0513,0.0066,19,-0.0067,481,0.1843,0.0000,0.1001,0.2783,-0.1782
103,0.1793,0.1797,0.0515,0.0068,16,-0.0072,484,0.1854,0.0000,0.1025,0.2802,-0.1777
104,0.1815,0.1819,0.0516,0.0069,16,-0.0066,484,0.1877,0.0000,0.1050,0.2821,-0.1771
105,0.1837,0.1841,0.0518,0.0071,15,-0.0063,485,0.1896,0.0000,0.1074,0.2839,-0.1765
106,0.1859,0.1863,0.0519,0.0072,14,-0.0061,486,0.1915,0.0000,0.1099,0.2858,-0.1759
107,0.1882,0.1885,0.0521,0.0074,12,-0.0063,488,0.1929,0.0000,0.1124,0.2877,-0.1753
108,0.1904,0.1907,0.0523,0.0075,10,-0.0067,490,0.1944,0.0000,0.1150,0.2896,-0.1746
109,0.1927,0.1929,0.0524,0.0077,9,-0.0068,491,0.1963,0.0000,0.1175,0.2915,-0.1739
110,0.1949,0.1952,0.0526,0.0079,8,-0.0070,492,0.1982,0.0000,0.1201,0.2934,-0.1733
111,0.1972,0.1974,0.0528,0.0080,8,-0.0063,492,0.2005,0.0000,0.1227,0.2952,-0.1726
112,0.1995,0.1997,0.0530,0.0082,7,-0.0065,493,0.2024,0.0000,0.1253,0.2971,-0.1719
113,0.2018,0.2019,0.0532,0.0084,7,-0.0058,493,0.2047,0.0000,0.1278,0.2990,-0.1711
114,0.2041,0.2042,0.0534,0.0085,7,-0.0051,493,0.2070,0.0000,0.1305,0.3009,-0.1704
115,0.2064,0.2065,0.0535,0.0087,6,-0.0055,494,0.2089,0.0000,0.1331,0.3027,-0.1697
116,0.2086,0.2088,0.0537,0.0088,6,-0.0050,494,0.2112,0.0000,0.1357,0.3046,-0.1689
117,0.2109,0.2110,0.0539,0.0090,6,-0.0045,494,0.2135,0.0000,0.1383,0.3064,-0.1681
118,0.2132,0.2133,0.0541,0.0092,5,-0.0049,495,0.2154,0.0000,0.1409,0.3083,-0.1674
119,0.2155,0.2156,0.0543,0.0093,5,-0.0044,495,0.2177,0.0000,0.1435,0.3101,-0.1666
120,0.2178,0.2179,0.0545,0.0095,5,-0.0039,495,0.2200,0.0000,0.1462,0.3120,-0.1658
121,0.2201,0.2201,0.0547,0.0097,5,-0.0034,495,0.2223,0.0000,0.1488,0.3138,-0.1650
122,0.2223,0.2224,0.0549,0.0098,4,-0.0038,496,0.2242,0.0000,0.1514,0.3156,-0.1642
123,0.2246,0.2246,0.0551,0.0100,4,-0.0034,496,0.2264,0.0000,0.1540,0.3174,-0.1634
124,0.2268,0.2269,0.0554,0.0102,4,-0.0030,496,0.2287,0.0000,0.1566,0.3192,-0.1626
125,0.2291,0.2291,0.0556,0.0103,4,-0.0026,496,0.2310,0.0000,0.1592,0.3210,-0.1618
126,0.2313,0.2314,0.0558,0.0105,4,-0.0022,496,0.2332,0.0000,0.1618,0.3228,-0.1611
127,0.2336,0.2336,0.0560,0.0106,4,-0.0018,496,0.2354,0.0000,0.1643,0.3246,-0.1603
128,0.2358,0.2358,0.0562,0.0108,4,-0.0014,496,0.2377,0.0000,0.1669,0.3263,-0.1595
129,0.2380,0.2380,0.0564,0.0109,4,-0.0010,496,0.2399,0.0000,0.1694,0.3281,-0.1587
130,0.2401,0.2402,0.0566,0.0111,2,-0.0014,498,0.2411,0.0000,0.1719,0.3298,-0.1579
131,0.2423,0.2423,0.0567,0.0113,2,-0.0012,498,0.2433,0.0000,0.1744,0.3316,-0.1571
132,0.2445,0.2445,0.0569,0.0114,1,-0.0020,499,0.2450,0.0000,0.1769,0.3333,-0.1563
133,0.2466,0.2466,0.0571,0.0115,1,-0.0016,499,0.2471,0.0000,0.1794,0.3350,-0.1556
134,0.2487,0.2487,0.0573,0.0117,1,-0.0013,499,0.2492,0.0000,0.1819,0.3367,-0.1548
135,0.2509,0.2509,0.0575,0.0118,1,-0.0009,499,0.2514,0.0000,0.1843,0.3383,-0.1540
136,0.2529,0.2529,0.0577,0.0120,1,-0.0005,499,0.2535,0.0000,0.1867,0.3400,-0.1533
137,0.2550,0.2550,0.0578,0.0121,1,-0.0002,499,0.2555,0.0000,0.1891,0.3417,-0.1525
138,0.2571,0.2571,0.0580,0.0123,0,0.0000,500,0.2571,0.0000,0.1915,0.3433,-0.1518
139,0.2591,0.2591,0.0582,0.0124,0,0.0000,500,0.2591,0.0000,0.1939,0.3449,-0.1511
140,0.2611,0.2611,0.0583,0.0125,0,0.0000,500,0.2611,0.0000,0.1962,0.3465,-0.1503
141,0.2631,0.2631,0.0585,0.0127,0,0.0000,500,0.2631,0.0000,0.1985,0.3481,-0.1496
142,0.2651,0.2651,0.0586,0.0128,0,0.0000,500,0.2651,0.0000,0.2008,0.3497,-0.1489
143,0.2671,0.2671,0.0588,0.0129,0,0.0000,500,0.2671,0.0000,0.2030,0.3512,-0.1482
144,0.2690,0.2690,0.0589,0.0130,0,0.0000,500,0.2690,0.0000,0.2053,0.3528,-0.1475
145,0.2709,0.2709,0.0591,0.0132,0,0.0000,500,0.2709,0.0000,0.2075,0.3543,-0.1468
146,0.2728,0.2728,0.0592,0.0133,0,0.0000,500,0.2728,0.0000,0.2097,0.3558,-0.1462
147,0.2747,0.2747,0.0593,0.0134,0,0.0000,500,0.2747,0.0000,0.2118,0.3573,-0.1455
148,0.2765,0.2765,0.0594,0.0135,0,0.0000,500,0.2765,0.0000,0.2139,0.3588,-0.1449
149,0.2784,0.2784,0.0596,0.0136,0,0.0000,500,0.2784,0.0000,0.2161,0.3603,-0.1442
150,0.2802,0.2802,0.0597,0.0137,0,0.0000,500,0.2802,0.0000,0.2181,0.3618,-0.1436
151,0.2820,0.2820,0.0598,0.0138,0,0.0000,500,0.2820,0.0000,0.2202,0.3632,-0.1430
152,0.2837,0.2837,0.0599,0.0140,0,0.0000,500,0.2837,0.0000,0.2222,0.3646,-0.1424
153,0.2855,0.2855,0.0600,0.0141,0,0.0000,500,0.2855,0.0000,0.2242,0.3660,-0.1418
154,0.2872,0.2872,0.0601,0.0142,0,0.0000,500,0.2872,0.0000,0.2262,0.3674,-0.1412
155,0.2889,0.2889,0.0601,0.0143,0,0.0000,500,0.2889,0.0000,0.2281,0.3688,-0.1407
156,0.2906,0.2906,0.0602,0.0144,0,0.0000,500,0.2906,0.0000,0.2301,0.3702,-0.1401
157,0.2923,0.2923,0.0603,0.0145,0,0.0000,500,0.2923,0.0000,0.2320,0.3715,-0.1395
158,0.2939,0.2939,0.0604,0.0146,0,0.0000,500,0.2939,0.0000,0.2338,0.3729,-0.1390
159,0.2955,0.2955,0.0604,0.0147,0,0.0000,500,0.2955,0.0000,0.2357,0.3742,-0.1385
160,0.2971,0.2971,0.0605,0.0148,0,0.0000,500,0.2971,0.0000,0.2375,0.3755,-0.1380
161,0.2987,0.2987,0.0606,0.0149,0,0.0000,500,0.2987,0.0000,0.2393,0.3768,-0.1375
162,0.3002,0.3002,0.0606,0.0149,0,0.0000,500,0.3002,0.0000,0.2411,0.3780,-0.1370
163,0.3018,0.3018,0.0606,0.0150,0,0.0000,500,0.3018,0.0000,0.2428,0.3793,-0.1365
164,0.3033,0.3033,0.0607,0.0151,0,0.0000,500,0.3033,0.0000,0.2445,0.3805,-0.1360
165,0.3048,0.3048,0.0607,0.0152,0,0.0000,500,0.3048,0.0000,0.2462,0.3818,-0.1356
166,0.3063,0.3063,0.0608,0.0153,0,0.0000,500,0.3063,0.0000,0.2479,0.3830,-0.1351
167,0.3077,0.3077,0.0608,0.0154,0,0.0000,500,0.3077,0.0000,0.2495,0.3842,-0.1347
168,0.3091,0.3091,0.0608,0.0155,0,0.0000,500,0.3091,0.0000,0.2512,0.3854,-0.1342
169,0.3106,0.3106,0.0608,0.0155,0,0.0000,500,0.3106,0.0000,0.2527,0.3866,-0.1338
170,0.3119,0.3119,0.0609,0.0156,0,0.0000,500,0.3119,0.0000,0.2543,0.3877,-0.1334
171,0.3133,0.3133,0.0609,0.0157,0,0.0000,500,0.3133,0.0000,0.2559,0.3889,-0.1330
172,0.3147,0.3147,0.0609,0.0158,0,0.0000,500,0.3147,0.0000,0.2574,0.3900,-0.1326
173,0.3160,0.3160,0.0609,0.0159,0,0.0000,500,0.3160,0.0000,0.2589,0.3911,-0.1322
174,0.3173,0.3173,0.0609,0.0159,0,0.0000,500,0.3173,0.0000,0.2604,0.3922,-0.1318
175,0.3186,0.3186,0.0609,0.0160,0,0.0000,500,0.3186,0.0000,0.2618,0.3933,-0.1315
176,0.3199,0.3199,0.0609,0.0161,0,0.0000,500,0.3199,0.0000,0.2633,0.3944,-0.1311
177,0.3212,0.3212,0.0609,0.0161,0,0.0000,500,0.3212,0.0000,0.2647,0.3954,-0.1308
178,0.3224,0.3224,0.0609,0.0162,0,0.0000,500,0.3224,0.0000,0.2661,0.3965,-0.1304
179,0.3236,0.3236,0.0609,0.0163,0,0.0000,500,0.3236,0.0000,0.2674,0.3975,-0.1301
180,0.3248,0.3248,0.0609,0.0164,0,0.0000,500,0.3248,0.0000,0.2688,0.3986,-0.1298
181,0.3260,0.3260,0.0608,0.0164,0,0.0000,500,0.3260,0.0000,0.2701,0.3996,-0.1295
182,0.3272,0.3272,0.0608,0.0165,0,0.0000,500,0.3272,0.0000,0.2714,0.4006,-0.1292
183,0.3283,0.3283,0.0608,0.0165,0,0.0000,500,0.3283,0.0000,0.2727,0.4016,-0.1289
184,0.3295,0.3295,0.0608,0.0166,0,0.0000,500,0.3295,0.0000,0.2739,0.4025,-0.1286
185,0.3306,0.3306,0.0607,0.0167,0,0.0000,500,0.3306,0.0000,0.2752,0.4035,-0.1283
186,0.3317,0.3317,0.0607,0.0167,0,0.0000,500,0.3317,0.0000,0.2764,0.4044,-0.1281
187,0.3328,0.3328,0.0607,0.0168,0,0.0000,500,0.3328,0.0000,0.2776,0.4054,-0.1278
188,0.3339,0.3339,0.0607,0.0169,0,0.0000,500,0.3339,0.0000,0.2788,0.4063,-0.1275
189,0.3349,0.3349,0.0606,0.0169,0,0.0000,500,0.3349,0.0000,0.2799,0.4072,-0.1273
190,0.3360,0.3360,0.0606,0.0170,0,0.0000,500,0.3360,0.0000,0.2811,0.4081,-0.1270
