step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
0,0.0024,0.0033,0.0029,0.0030,0.0039,0.0026,0.0032,0.0032,0.0039,0.0032,0.0028,0.0029,0.0032,0.0037,0.0027,0.0035,0.0033,0.0030,0.0038
1,0.0021,0.0029,0.0026,0.0026,0.0034,0.0023,0.0028,0.0027,0.0035,0.0028,0.0024,0.0026,0.0028,0.0033,0.0024,0.0031,0.0029,0.0027,0.0032
2,0.0019,0.0025,0.0024,0.0023,0.0030,0.0021,0.0024,0.0023,0.0031,0.0024,0.0021,0.0023,0.0025,0.0030,0.0021,0.0028,0.0025,0.0024,0.0027
3,0.0017,0.0022,0.0022,0.0020,0.0026,0.0019,0.0022,0.0020,0.0028,0.0021,0.0018,0.0020,0.0022,0.0026,0.0018,0.0025,0.0022,0.0021,0.0023
4,0.0015,0.0020,0.0020,0.0018,0.0023,0.0017,0.0019,0.0017,0.0025,0.0019,0.0016,0.0018,0.0020,0.0024,0.0016,0.0022,0.0020,0.0019,0.0019
5,0.0014,0.0017,0.0018,0.0016,0.0020,0.0015,0.0017,0.0015,0.0022,0.0017,0.0014,0.0016,0.0018,0.0021,0.0014,0.0020,0.0018,0.0017,0.0017
6,0.0013,0.0015,0.0017,0.0014,0.0018,0.0014,0.0015,0.0013,0.0020,0.0015,0.0013,0.0014,0.0016,0.0019,0.0013,0.0018,0.0016,0.0016,0.0014
7,0.0012,0.0014,0.0016,0.0012,0.0016,0.0013,0.0013,0.0012,0.0018,0.0013,0.0011,0.0013,0.0015,0.0018,0.0011,0.0016,0.0014,0.0014,0.0012
8,0.0011,0.0012,0.0014,0.0011,0.0014,0.0011,0.0012,0.0010,0.0016,0.0012,0.0010,0.0011,0.0013,0.0016,0.0010,0.0014,0.0012,0.0013,0.0010
9,0.0010,0.0011,0.0013,0.0010,0.0013,0.0010,0.0011,0.0009,0.0015,0.0011,0.0009,0.0010,0.0012,0.0015,0.0009,0.0013,0.0011,0.0012,0.0009
10,0.0009,0.0010,0.0012,0.0009,0.0011,0.0009,0.0010,0.0008,0.0013,0.0009,0.0008,0.0009,0.0011,0.0015,0.0008,0.0012,0.0010,0.0011,0.0008
11,0.0009,0.0009,0.0011,0.0008,0.0010,0.0009,0.0009,0.0007,0.0012,0.0009,0.0007,0.0008,0.0010,0.0014,0.0008,0.0011,0.0009,0.0010,0.0007
12,0.0008,0.0008,0.0011,0.0007,0.0009,0.0008,0.0008,0.0007,0.0011,0.0008,0.0007,0.0008,0.0009,0.0014,0.0007,0.0010,0.0008,0.0009,0.0006
13,0.0008,0.0007,0.0010,0.0006,0.0008,0.0007,0.0007,0.0006,0.0010,0.0007,0.0006,0.0007,0.0008,0.0014,0.0007,0.0009,0.0007,0.0008,0.0005
14,0.0008,0.0007,0.0009,0.0006,0.0008,0.0007,0.0006,0.0006,0.0009,0.0006,0.0006,0.0006,0.0008,0.0015,0.0006,0.0008,0.0006,0.0008,0.0005
15,0.0007,0.0006,0.0009,0.0005,0.0007,0.0006,0.0006,0.0005,0.0008,0.0006,0.0005,0.0006,0.0007,0.0016,0.0006,0.0008,0.0006,0.0007,0.0004
16,0.0007,0.0005,0.0008,0.0005,0.0006,0.0006,0.0005,0.0005,0.0007,0.0005,0.0005,0.0005,0.0007,0.0017,0.0005,0.0007,0.0005,0.0007,0.0004
17,0.0007,0.0005,0.0008,0.0005,0.0006,0.0005,0.0005,0.0005,0.0007,0.0005,0.0005,0.0005,0.0006,0.0020,0.0005,0.0006,0.0005,0.0006,0.0003
18,0.0007,0.0005,0.0007,0.0004,0.0006,0.0005,0.0005,0.0004,0.0006,0.0004,0.0004,0.0005,0.0006,0.0022,0.0005,0.0006,0.0004,0.0006,0.0003
19,0.0007,0.0004,0.0007,0.0004,0.0005,0.0004,0.0004,0.0004,0.0006,0.0004,0.0004,0.0004,0.0006,0.0026,0.0005,0.0005,0.0004,0.0005,0.0002
20,0.0007,0.0004,0.0006,0.0004,0.0005,0.0004,0.0004,0.0004,0.0005,0.0004,0.0004,0.0004,0.0005,0.0031,0.0004,0.0005,0.0004,0.0005,0.0002
21,0.0007,0.0004,0.0006,0.0004,0.0005,0.0004,0.0004,0.0004,0.0005,0.0003,0.0004,0.0004,0.0005,0.0036,0.0004,0.0005,0.0003,0.0005,0.0002
22,0.0007,0.0003,0.0006,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0003,0.0004,0.0004,0.0005,0.0042,0.0004,0.0004,0.0003,0.0005,0.0002
