agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,-0.0559,-0.0224,-0.0338,-0.0562
1,-1,0,-0.8037,-0.3215,-0.7890,-1.1105
2,-1,0,0.3362,0.1344,0.2191,0.3534
3,-1,0,-0.3934,-0.1573,-0.2591,-0.4164
4,-1,0,0.0024,0.0010,0.0009,0.0019
5,-1,0,-0.1045,-0.0418,-0.0637,-0.1054
6,-1,0,0.1955,0.0782,0.1196,0.1978
7,-1,0,0.0442,0.0176,0.0278,0.0455
8,-1,0,-0.0078,-0.0030,-0.0083,-0.0113
9,-1,0,0.0414,0.0165,0.0252,0.0417
10,-1,0,-0.5894,-0.2349,-0.4708,-0.7058
11,-1,0,-0.4857,-0.1934,-0.3619,-0.5553
12,1,0,-0.0556,-0.0221,-0.0364,-0.0585
13,1,0,0.4359,0.1739,0.3059,0.4798
14,1,0,-0.0058,-0.0024,-0.0026,-0.0050
15,-1,0,-0.6565,-0.2625,-0.5289,-0.7914
16,-1,0,-0.3783,-0.1509,-0.2587,-0.4095
17,-1,0,-0.4115,-0.1644,-0.2781,-0.4425
18,1,0,-0.0469,-0.0186,-0.0312,-0.0498
19,1,0,-0.0113,-0.0045,-0.0071,-0.0116
20,-1,0,0.0103,0.0042,0.0054,0.0096
21,1,0,-0.1683,-0.0671,-0.1077,-0.1748
22,-1,0,-0.5863,-0.2345,-0.4380,-0.6725
23,-1,0,-0.0056,-0.0022,-0.0047,-0.0069
24,-1,0,-0.4018,-0.1607,-0.2657,-0.4264
25,1,0,0.1725,0.0687,0.1118,0.1805
26,1,0,-0.0688,-0.0274,-0.0457,-0.0730
27,-1,0,-0.5993,-0.2389,-0.4835,-0.7223
28,-1,0,-0.0469,-0.0188,-0.0287,-0.0475
29,-1,0,-0.6076,-0.2430,-0.4621,-0.7052
30,1,0,-0.0708,-0.0283,-0.0426,-0.0709
31,1,0,0.0887,0.0355,0.0536,0.0891
32,-1,0,-0.0419,-0.0167,-0.0258,-0.0425
33,-1,0,-0.7775,-0.3110,-0.7286,-1.0396
34,1,0,-0.2384,-0.0952,-0.1528,-0.2480
35,-1,0,-0.5105,-0.2042,-0.3598,-0.5640
36,-1,0,-0.3060,-0.1216,-0.2148,-0.3364
37,1,0,-0.1039,-0.0412,-0.0711,-0.1123
38,-1,0,-0.5140,-0.2049,-0.3849,-0.5898
39,1,0,-0.0115,-0.0046,-0.0073,-0.0119
40,1,0,-0.0719,-0.0288,-0.0414,-0.0703
41,-1,0,-0.3797,-0.1512,-0.2679,-0.4190
42,-1,0,0.0937,0.0368,0.0731,0.1099
43,-1,0,0.2392,0.0945,0.1790,0.2735
44,1,0,0.4912,0.1965,0.3412,0.5377
45,1,0,0.3100,0.1240,0.1973,0.3212
46,-1,0,-0.5519,-0.2208,-0.4004,-0.6212
47,-1,0,-0.6116,-0.2446,-0.4669,-0.7115
48,-1,0,-0.5962,-0.2385,-0.4488,-0.6873
49,-1,0,-0.5840,-0.2336,-0.4353,-0.6689
50,1,0,-0.0184,-0.0074,-0.0096,-0.0170
51,-1,0,-0.4101,-0.1633,-0.2922,-0.4555
52,-1,0,-0.0221,-0.0088,-0.0136,-0.0224
53,-1,0,-0.3072,-0.1223,-0.2104,-0.3327
54,-1,0,-0.0945,-0.0378,-0.0579,-0.0957
55,-1,0,-0.0612,-0.0240,-0.0485,-0.0725
56,1,0,-0.1840,-0.0736,-0.1134,-0.1869
57,-1,0,-0.0580,-0.0231,-0.0378,-0.0609
58,-1,0,-0.4495,-0.1795,-0.3113,-0.4909
59,-1,0,-0.3808,-0.1523,-0.2488,-0.4011
60,-1,0,0.1808,0.0716,0.1285,0.2000
61,-1,0,0.1634,0.0652,0.1028,0.1680
62,1,0,0.0565,0.0226,0.0346,0.0572
63,-1,0,-0.6558,-0.2623,-0.5243,-0.7866
64,-1,0,-0.4845,-0.1935,-0.3438,-0.5373
65,-1,0,0.1328,0.0532,0.0778,0.1310
66,-1,0,-0.0608,-0.0242,-0.0402,-0.0643
67,-1,0,-0.3924,-0.1562,-0.2797,-0.4359
68,-1,0,-0.0216,-0.0085,-0.0156,-0.0242
69,1,0,0.3141,0.1256,0.2003,0.3259
70,1,0,0.2908,0.1163,0.1835,0.2998
71,-1,0,-0.5710,-0.2284,-0.4210,-0.6494
72,1,0,0.2112,0.0847,0.1238,0.2086
73,1,0,-0.0795,-0.0317,-0.0503,-0.0820
74,-1,0,-0.1921,-0.0767,-0.1212,-0.1979
75,-1,0,0.2378,0.0943,0.1693,0.2635
76,-1,0,-0.0181,-0.0072,-0.0112,-0.0184
77,-1,0,-0.3028,-0.1211,-0.1919,-0.3130
78,1,0,0.1461,0.0582,0.0959,0.1541
79,-1,0,-0.3782,-0.1509,-0.2574,-0.4083
80,-1,0,-0.2444,-0.0976,-0.1570,-0.2546
81,-1,0,-0.2710,-0.1083,-0.1720,-0.2803
82,-1,0,-0.9680,-0.3872,-1.6742,-2.0613
83,-1,0,-0.0005,-0.0001,-0.0013,-0.0015
84,-1,0,-0.3539,-0.1410,-0.2448,-0.3857
85,1,0,-0.0369,-0.0146,-0.0245,-0.0392
86,-1,0,-0.1040,-0.0416,-0.0634,-0.1049
87,1,0,-0.2189,-0.0871,-0.1451,-0.2323
88,1,0,0.5455,0.2182,0.3943,0.6125
89,1,0,-0.0182,-0.0072,-0.0115,-0.0188
90,1,0,-0.0299,-0.0119,-0.0187,-0.0306
91,1,0,0.1549,0.0617,0.1018,0.1634
92,1,0,-0.0259,-0.0103,-0.0174,-0.0277
93,1,0,-0.0394,-0.0157,-0.0259,-0.0415
94,-1,0,-0.2966,-0.1186,-0.1878,-0.3064
95,-1,0,-0.1398,-0.0557,-0.0894,-0.1452
96,1,0,-0.2087,-0.0833,-0.1331,-0.2163
97,-1,0,-0.0554,-0.0221,-0.0352,-0.0573
98,-1,0,0.0050,0.0021,0.0016,0.0036
99,1,0,-0.0594,-0.0236,-0.0391,-0.0627
100,-1,0,-0.3686,-0.1475,-0.2393,-0.3868
101,-1,0,-0.4912,-0.1965,-0.3415,-0.5380
102,-1,0,-0.5066,-0.2026,-0.3556,-0.5582
103,-1,0,-0.4046,-0.1617,-0.2708,-0.4325
104,-1,0,-0.0950,-0.0378,-0.0611,-0.0989
105,-1,0,0.1091,0.0436,0.0663,0.1099
106,1,0,0.1480,0.0589,0.0976,0.1565
107,1,0,0.4897,0.1959,0.3397,0.5355
108,1,0,-0.0622,-0.0247,-0.0412,-0.0660
109,-1,0,-0.7887,-0.3155,-0.7538,-1.0693
110,-1,0,-0.2054,-0.0821,-0.1285,-0.2106
111,-1,0,-0.3081,-0.1232,-0.1957,-0.3189
112,-1,0,-0.0839,-0.0335,-0.0517,-0.0852
113,1,0,0.2041,0.0812,0.1361,0.2173
114,1,0,-0.0047,-0.0019,-0.0014,-0.0033
115,1,0,0.1984,0.0789,0.1321,0.2111
116,-1,0,-0.1503,-0.0600,-0.0943,-0.1543
117,-1,0,-0.0778,-0.0311,-0.0480,-0.0791
118,1,0,-0.0229,-0.0092,-0.0131,-0.0223
119,1,0,-0.0580,-0.0232,-0.0352,-0.0584
120,-1,0,-0.3276,-0.1304,-0.2252,-0.3556
121,1,0,-0.0606,-0.0242,-0.0368,-0.0610
122,1,0,-0.0324,-0.0129,-0.0214,-0.0343
123,-1,0,-0.2997,-0.1197,-0.1943,-0.3140
124,-1,0,0.0885,0.0354,0.0547,0.0901
125,-1,0,-0.1436,-0.0573,-0.0914,-0.1487
126,1,0,-0.0063,-0.0025,-0.0039,-0.0064
127,-1,0,-0.0447,-0.0179,-0.0275,-0.0454
128,-1,0,-0.4000,-0.1600,-0.2644,-0.4244
129,-1,0,-0.2214,-0.0885,-0.1385,-0.2270
130,-1,0,-0.1481,-0.0590,-0.0950,-0.1540
131,-1,0,-0.2643,-0.1057,-0.1659,-0.2716
132,-1,0,0.2187,0.0864,0.1611,0.2475
133,-1,0,-0.2693,-0.1077,-0.1690,-0.2767
134,1,0,-0.0220,-0.0088,-0.0134,-0.0222
135,1,0,0.9605,0.3842,1.5710,1.9552
136,-1,0,-0.3164,-0.1264,-0.2054,-0.3318
137,-1,0,-0.4278,-0.1711,-0.2867,-0.4579
138,-1,0,0.0446,0.0178,0.0266,0.0444
139,-1,0,0.2093,0.0827,0.1526,0.2353
140,-1,0,-0.3527,-0.1408,-0.2341,-0.3749
141,1,0,-0.0369,-0.0146,-0.0245,-0.0392
142,-1,0,-0.6719,-0.2688,-0.5460,-0.8148
143,-1,0,-0.3328,-0.1328,-0.2213,-0.3541
144,-1,0,-0.3907,-0.1560,-0.2643,-0.4203
145,-1,0,-0.0780,-0.0309,-0.0556,-0.0864
146,1,0,0.8893,0.3557,1.0641,1.4198
147,1,0,0.3435,0.1367,0.2383,0.3750
148,-1,0,-0.4418,-0.1760,-0.3185,-0.4945
149,-1,0,-0.4698,-0.1875,-0.3362,-0.5236
150,-1,0,-0.8485,-0.3394,-0.9140,-1.2534
151,-1,0,-0.2993,-0.1197,-0.1895,-0.3092
152,-1,0,-0.0183,-0.0072,-0.0137,-0.0209
153,-1,0,-0.4761,-0.1896,-0.3526,-0.5422
154,-1,0,-0.0828,-0.0330,-0.0524,-0.0854
155,-1,0,-0.6539,-0.2616,-0.5207,-0.7823
156,1,0,-0.0394,-0.0157,-0.0250,-0.0407
157,1,0,-0.0804,-0.0320,-0.0508,-0.0828
