step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0391,0.0917,0.0037,0.0035,247,-0.0533,233,0.0546,0.0000,0.0013,-0.0023,0.0037
1,0.0409,0.0885,0.0033,0.0030,242,-0.0492,238,0.0520,0.0000,0.0056,-0.0020,0.0076
2,0.0427,0.0859,0.0030,0.0027,238,-0.0454,242,0.0502,0.0000,0.0098,-0.0016,0.0114
3,0.0445,0.0840,0.0028,0.0024,230,-0.0429,250,0.0485,0.0000,0.0140,-0.0012,0.0151
4,0.0463,0.0828,0.0027,0.0022,221,-0.0413,259,0.0474,0.0000,0.0181,-0.0008,0.0188
5,0.0480,0.0820,0.0026,0.0021,216,-0.0393,264,0.0474,0.0000,0.0221,-0.0003,0.0224
6,0.0498,0.0815,0.0026,0.0020,210,-0.0378,270,0.0475,0.0000,0.0261,0.0001,0.0260
7,0.0515,0.0812,0.0027,0.0020,209,-0.0356,271,0.0486,0.0000,0.0300,0.0005,0.0295
8,0.0532,0.0811,0.0028,0.0019,207,-0.0337,273,0.0497,0.0000,0.0339,0.0010,0.0329
9,0.0549,0.0810,0.0030,0.0019,206,-0.0317,274,0.0510,0.0000,0.0378,0.0015,0.0363
10,0.0566,0.0810,0.0032,0.0020,202,-0.0302,278,0.0519,0.0000,0.0416,0.0020,0.0396
11,0.0583,0.0812,0.0034,0.0020,198,-0.0289,282,0.0527,0.0000,0.0453,0.0025,0.0428
12,0.0600,0.0814,0.0037,0.0021,195,-0.0275,285,0.0538,0.0000,0.0490,0.0030,0.0460
13,0.0616,0.0817,0.0040,0.0021,190,-0.0264,290,0.0546,0.0000,0.0526,0.0035,0.0491
14,0.0633,0.0821,0.0043,0.0022,186,-0.0253,294,0.0556,0.0000,0.0562,0.0040,0.0522
15,0.0649,0.0826,0.0046,0.0023,182,-0.0243,298,0.0567,0.0000,0.0598,0.0046,0.0552
16,0.0666,0.0833,0.0049,0.0024,180,-0.0232,300,0.0582,0.0000,0.0633,0.0052,0.0581
17,0.0682,0.0839,0.0053,0.0025,176,-0.0223,304,0.0593,0.0000,0.0667,0.0058,0.0610
18,0.0698,0.0847,0.0056,0.0026,171,-0.0217,309,0.0603,0.0000,0.0701,0.0064,0.0638
19,0.0714,0.0855,0.0060,0.0027,165,-0.0213,315,0.0611,0.0000,0.0735,0.0070,0.0665
20,0.0730,0.0864,0.0064,0.0028,161,-0.0207,319,0.0622,0.0000,0.0768,0.0076,0.0692
21,0.0746,0.0873,0.0068,0.0029,158,-0.0200,322,0.0636,0.0000,0.0801,0.0082,0.0718
22,0.0762,0.0882,0.0072,0.0030,155,-0.0194,325,0.0650,0.0000,0.0833,0.0089,0.0744
23,0.0778,0.0892,0.0076,0.0031,152,-0.0188,328,0.0663,0.0000,0.0865,0.0096,0.0769
24,0.0794,0.0903,0.0080,0.0032,144,-0.0189,336,0.0667,0.0000,0.0896,0.0103,0.0793
25,0.0810,0.0914,0.0084,0.0033,141,-0.0185,339,0.0681,0.0000,0.0927,0.0110,0.0817
26,0.0825,0.0925,0.0088,0.0034,138,-0.0181,342,0.0695,0.0000,0.0958,0.0117,0.0840
27,0.0841,0.0937,0.0092,0.0035,136,-0.0177,344,0.0711,0.0000,0.0988,0.0125,0.0863
28,0.0856,0.0949,0.0096,0.0036,136,-0.0171,344,0.0731,0.0000,0.1017,0.0133,0.0885
29,0.0872,0.0962,0.0100,0.0037,132,-0.0170,348,0.0743,0.0000,0.1047,0.0140,0.0906
30,0.0887,0.0974,0.0104,0.0038,132,-0.0164,348,0.0763,0.0000,0.1075,0.0149,0.0927
31,0.0903,0.0987,0.0108,0.0039,126,-0.0167,354,0.0770,0.0000,0.1104,0.0157,0.0947
32,0.0918,0.1000,0.0112,0.0040,124,-0.0165,356,0.0785,0.0000,0.1132,0.0165,0.0966
33,0.0934,0.1013,0.0116,0.0041,120,-0.0165,360,0.0796,0.0000,0.1160,0.0174,0.0985
34,0.0949,0.1026,0.0120,0.0042,117,-0.0165,363,0.0810,0.0000,0.1187,0.0183,0.1004
35,0.0965,0.1040,0.0123,0.0043,117,-0.0161,363,0.0830,0.0000,0.1214,0.0192,0.1021
36,0.0980,0.1054,0.0127,0.0044,112,-0.0164,368,0.0838,0.0000,0.1240,0.0202,0.1038
37,0.0995,0.1067,0.0131,0.0044,110,-0.0164,370,0.0853,0.0000,0.1266,0.0211,0.1055
38,0.1011,0.1081,0.0135,0.0045,108,-0.0163,372,0.0868,0.0000,0.1292,0.0221,0.1070
39,0.1026,0.1095,0.0139,0.0046,106,-0.0163,374,0.0883,0.0000,0.1317,0.0232,0.1086
40,0.1042,0.1110,0.0143,0.0047,104,-0.0163,376,0.0898,0.0000,0.1342,0.0242,0.1100
41,0.1057,0.1124,0.0147,0.0048,102,-0.0164,378,0.0913,0.0000,0.1367,0.0253,0.1114
42,0.1072,0.1138,0.0150,0.0049,101,-0.0163,379,0.0931,0.0000,0.1391,0.0264,0.1127
43,0.1088,0.1153,0.0154,0.0050,99,-0.0164,381,0.0945,0.0000,0.1415,0.0275,0.1140
44,0.1103,0.1168,0.0158,0.0050,97,-0.0165,383,0.0960,0.0000,0.1439,0.0286,0.1152
45,0.1119,0.1182,0.0162,0.0051,96,-0.0165,384,0.0977,0.0000,0.1462,0.0298,0.1164
46,0.1135,0.1197,0.0165,0.0052,95,-0.0165,385,0.0995,0.0000,0.1485,0.0310,0.1175
47,0.1150,0.1212,0.0169,0.0053,94,-0.0165,386,0.1012,0.0000,0.1508,0.0322,0.1185
48,0.1166,0.1227,0.0173,0.0054,92,-0.0167,388,0.1027,0.0000,0.1530,0.0335,0.1195
49,0.1182,0.1243,0.0176,0.0054,90,-0.0169,390,0.1041,0.0000,0.1552,0.0348,0.1204
50,0.1197,0.1258,0.0180,0.0055,90,-0.0167,390,0.1061,0.0000,0.1574,0.0361,0.1213
51,0.1213,0.1273,0.0184,0.0056,90,-0.0166,390,0.1081,0.0000,0.1595,0.0374,0.1221
52,0.1229,0.1289,0.0188,0.0057,88,-0.0168,392,0.1095,0.0000,0.1616,0.0388,0.1228
53,0.1245,0.1304,0.0191,0.0058,84,-0.0175,396,0.1104,0.0000,0.1637,0.0402,0.1235
54,0.1261,0.1320,0.0195,0.0059,83,-0.0176,397,0.1121,0.0000,0.1657,0.0416,0.1242
55,0.1277,0.1335,0.0199,0.0059,83,-0.0175,397,0.1141,0.0000,0.1678,0.0430,0.1247
56,0.1293,0.1351,0.0203,0.0060,81,-0.0178,399,0.1156,0.0000,0.1698,0.0445,0.1253
57,0.1309,0.1367,0.0207,0.0061,79,-0.0182,401,0.1170,0.0000,0.1717,0.0460,0.1257
58,0.1326,0.1383,0.0210,0.0062,77,-0.0186,403,0.1184,0.0000,0.1737,0.0475,0.1261
59,0.1342,0.1399,0.0214,0.0063,76,-0.0188,404,0.1201,0.0000,0.1756,0.0491,0.1265
60,0.1358,0.1415,0.0218,0.0064,73,-0.0196,407,0.1212,0.0000,0.1775,0.0507,0.1268
61,0.1374,0.1432,0.0222,0.0064,71,-0.0201,409,0.1226,0.0000,0.1794,0.0522,0.1271
62,0.1391,0.1448,0.0226,0.0065,69,-0.0207,411,0.1240,0.0000,0.1812,0.0539,0.1273
63,0.1407,0.1464,0.0230,0.0066,67,-0.0213,413,0.1254,0.0000,0.1830,0.0555,0.1275
64,0.1424,0.1481,0.0234,0.0067,65,-0.0220,415,0.1268,0.0000,0.1848,0.0572,0.1277
65,0.1440,0.1497,0.0239,0.0068,64,-0.0224,416,0.1284,0.0000,0.1866,0.0588,0.1278
66,0.1456,0.1514,0.0243,0.0069,64,-0.0224,416,0.1304,0.0000,0.1883,0.0605,0.1278
67,0.1473,0.1530,0.0247,0.0070,61,-0.0236,419,0.1314,0.0000,0.1900,0.0622,0.1278
68,0.1489,0.1547,0.0251,0.0070,60,-0.0240,420,0.1331,0.0000,0.1917,0.0639,0.1278
69,0.1506,0.1564,0.0255,0.0071,59,-0.0246,421,0.1347,0.0000,0.1934,0.0657,0.1278
70,0.1522,0.1580,0.0260,0.0072,59,-0.0247,421,0.1367,0.0000,0.1951,0.0674,0.1277
71,0.1538,0.1597,0.0264,0.0073,59,-0.0248,421,0.1387,0.0000,0.1967,0.0691,0.1276
72,0.1555,0.1613,0.0269,0.0074,60,-0.0245,420,0.1410,0.0000,0.1983,0.0709,0.1274
73,0.1571,0.1630,0.0273,0.0075,60,-0.0246,420,0.1429,0.0000,0.1999,0.0727,0.1272
74,0.1587,0.1646,0.0277,0.0076,60,-0.0247,420,0.1449,0.0000,0.2015,0.0744,0.1270
75,0.1603,0.1663,0.0282,0.0077,59,-0.0253,421,0.1464,0.0000,0.2030,0.0762,0.1268
76,0.1619,0.1679,0.0286,0.0077,59,-0.0254,421,0.1484,0.0000,0.2045,0.0780,0.1265
77,0.1635,0.1696,0.0291,0.0078,59,-0.0256,421,0.1503,0.0000,0.2060,0.0798,0.1263
78,0.1651,0.1712,0.0295,0.0079,58,-0.0262,422,0.1519,0.0000,0.2075,0.0815,0.1260
