step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
32,0.0085,0.0039,0.0034,0.0025,0.0111,0.0016,0.0044,0.0033,0.0056,0.0001,0.0030,0.0129,0.0029,0.0090,0.0232,0.0002,0.0031,0.0023,0.0002
33,0.0087,0.0040,0.0035,0.0026,0.0113,0.0016,0.0046,0.0034,0.0058,0.0001,0.0031,0.0131,0.0029,0.0091,0.0232,0.0002,0.0032,0.0023,0.0002
34,0.0089,0.0041,0.0036,0.0026,0.0115,0.0016,0.0048,0.0035,0.0061,0.0001,0.0031,0.0133,0.0030,0.0091,0.0232,0.0002,0.0033,0.0023,0.0002
35,0.0091,0.0041,0.0037,0.0027,0.0117,0.0017,0.0049,0.0036,0.0063,0.0001,0.0032,0.0134,0.0031,0.0091,0.0231,0.0002,0.0033,0.0023,0.0002
36,0.0092,0.0042,0.0039,0.0027,0.0118,0.0017,0.0051,0.0037,0.0065,0.0001,0.0033,0.0136,0.0031,0.0091,0.0231,0.0002,0.0034,0.0023,0.0002
37,0.0094,0.0043,0.0040,0.0028,0.0120,0.0017,0.0052,0.0038,0.0068,0.0001,0.0034,0.0137,0.0032,0.0091,0.0230,0.0002,0.0035,0.0023,0.0002
38,0.0095,0.0043,0.0042,0.0029,0.0122,0.0017,0.0054,0.0039,0.0070,0.0002,0.0034,0.0139,0.0033,0.0091,0.0229,0.0002,0.0035,0.0023,0.0002
39,0.0097,0.0044,0.0043,0.0029,0.0123,0.0017,0.0056,0.0041,0.0073,0.0002,0.0035,0.0140,0.0034,0.0091,0.0228,0.0002,0.0036,0.0023,0.0002
40,0.0098,0.0044,0.0044,0.0030,0.0125,0.0017,0.0058,0.0042,0.0075,0.0002,0.0036,0.0141,0.0034,0.0091,0.0227,0.0002,0.0037,0.0024,0.0002
41,0.0099,0.0045,0.0046,0.0030,0.0126,0.0017,0.0060,0.0043,0.0078,0.0002,0.0037,0.0142,0.0035,0.0091,0.0225,0.0002,0.0038,0.0024,0.0002
42,0.0101,0.0046,0.0047,0.0031,0.0127,0.0018,0.0062,0.0044,0.0080,0.0002,0.0038,0.0143,0.0036,0.0091,0.0224,0.0002,0.0038,0.0024,0.0002
43,0.0102,0.0046,0.0049,0.0031,0.0128,0.0018,0.0063,0.0045,0.0083,0.0002,0.0039,0.0144,0.0037,0.0091,0.0222,0.0002,0.0039,0.0024,0.0002
44,0.0103,0.0047,0.0050,0.0032,0.0130,0.0018,0.0065,0.0047,0.0085,0.0002,0.0039,0.0145,0.0038,0.0091,0.0221,0.0002,0.0040,0.0024,0.0002
45,0.0104,0.0047,0.0052,0.0032,0.0131,0.0018,0.0067,0.0048,0.0088,0.0002,0.0040,0.0145,0.0039,0.0091,0.0219,0.0002,0.0041,0.0024,0.0003
46,0.0105,0.0047,0.0053,0.0033,0.0132,0.0018,0.0070,0.0049,0.0091,0.0002,0.0041,0.0146,0.0040,0.0091,0.0218,0.0002,0.0041,0.0024,0.0003
47,0.0106,0.0048,0.0055,0.0033,0.0133,0.0018,0.0072,0.0050,0.0093,0.0002,0.0042,0.0147,0.0041,0.0091,0.0216,0.0002,0.0042,0.0024,0.0003
