step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0413,0.0909,0.0037,0.0035,241,-0.0514,239,0.0546,0.0000,0.0002,0.0026,-0.0024
1,0.0438,0.0906,0.0037,0.0032,236,-0.0496,244,0.0558,0.0000,0.0073,0.0007,0.0067
2,0.0461,0.0939,0.0045,0.0034,225,-0.0531,255,0.0589,0.0235,0.0148,-0.0019,0.0167
3,0.0486,0.1005,0.0058,0.0040,216,-0.0601,264,0.0654,0.0540,0.0230,-0.0049,0.0278
4,0.0512,0.1093,0.0077,0.0049,211,-0.0689,269,0.0749,0.1253,0.0318,-0.0082,0.0400
5,0.0536,0.1190,0.0100,0.0059,215,-0.0760,265,0.0874,0.4207,0.0406,-0.0118,0.0524
6,0.0559,0.1294,0.0127,0.0071,211,-0.0871,269,0.0978,0.8610,0.0490,-0.0154,0.0644
7,0.0585,0.1399,0.0157,0.0084,208,-0.0979,272,0.1088,1.6911,0.0577,-0.0186,0.0763
8,0.0610,0.1500,0.0190,0.0099,206,-0.1081,274,0.1195,2.7307,0.0662,-0.0218,0.0880
9,0.0634,0.1597,0.0225,0.0113,204,-0.1180,276,0.1297,3.6037,0.0742,-0.0245,0.0988
10,0.0659,0.1691,0.0261,0.0129,201,-0.1283,279,0.1390,4.4868,0.0821,-0.0271,0.1093
11,0.0684,0.1782,0.0298,0.0144,202,-0.1359,278,0.1498,5.3640,0.0898,-0.0296,0.1194
12,0.0707,0.1868,0.0337,0.0160,202,-0.1437,278,0.1596,5.9574,0.0971,-0.0321,0.1291
13,0.0730,0.1951,0.0375,0.0175,203,-0.1504,277,0.1697,6.7802,0.1042,-0.0344,0.1386
14,0.0751,0.2030,0.0413,0.0190,206,-0.1552,274,0.1808,7.9740,0.1110,-0.0366,0.1476
15,0.0771,0.2106,0.0452,0.0205,209,-0.1596,271,0.1916,9.1544,0.1174,-0.0387,0.1562
16,0.0790,0.2178,0.0490,0.0220,207,-0.1676,273,0.1985,9.9934,0.1235,-0.0408,0.1643
17,0.0808,0.2247,0.0527,0.0234,209,-0.1721,271,0.2080,11.2815,0.1292,-0.0428,0.1721
18,0.0823,0.2313,0.0564,0.0248,212,-0.1757,268,0.2179,12.7108,0.1346,-0.0449,0.1794
19,0.0835,0.2378,0.0601,0.0261,211,-0.1828,269,0.2243,13.9582,0.1395,-0.0472,0.1868
20,0.0848,0.2440,0.0637,0.0273,213,-0.1869,267,0.2329,15.1992,0.1444,-0.0495,0.1939
21,0.0859,0.2499,0.0672,0.0285,213,-0.1925,267,0.2395,16.0806,0.1490,-0.0518,0.2008
22,0.0869,0.2555,0.0707,0.0297,211,-0.1997,269,0.2439,16.1929,0.1534,-0.0539,0.2073
23,0.0879,0.2608,0.0740,0.0308,210,-0.2059,270,0.2488,16.6192,0.1575,-0.0560,0.2135
24,0.0889,0.2660,0.0773,0.0319,209,-0.2118,271,0.2536,18.6788,0.1615,-0.0578,0.2193
25,0.0898,0.2710,0.0804,0.0330,211,-0.2147,269,0.2609,20.0002,0.1651,-0.0595,0.2247
26,0.0904,0.2758,0.0835,0.0340,213,-0.2176,267,0.2680,20.4479,0.1683,-0.0614,0.2297
27,0.0908,0.2805,0.0865,0.0349,213,-0.2226,267,0.2728,20.5497,0.1713,-0.0634,0.2347
