step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0036,0.0511,0.0035,0.0033,239,-0.0497,261,0.0524,0.0000,0.0052,0.0026,0.0025
1,0.0035,0.0480,0.0031,0.0029,238,-0.0467,262,0.0492,0.0000,0.0051,0.0026,0.0025
2,0.0035,0.0452,0.0027,0.0026,239,-0.0436,261,0.0467,0.0000,0.0050,0.0026,0.0024
3,0.0035,0.0426,0.0024,0.0023,242,-0.0404,258,0.0447,0.0000,0.0050,0.0026,0.0023
4,0.0035,0.0403,0.0022,0.0020,239,-0.0385,261,0.0419,0.0000,0.0049,0.0026,0.0023
5,0.0035,0.0381,0.0019,0.0018,234,-0.0370,266,0.0391,0.0000,0.0049,0.0027,0.0022
6,0.0035,0.0361,0.0017,0.0016,234,-0.0348,266,0.0372,0.0000,0.0048,0.0027,0.0021
7,0.0035,0.0342,0.0016,0.0015,231,-0.0333,269,0.0351,0.0000,0.0048,0.0027,0.0021
8,0.0035,0.0325,0.0014,0.0013,232,-0.0312,268,0.0336,0.0000,0.0048,0.0028,0.0020
9,0.0036,0.0309,0.0013,0.0012,229,-0.0299,271,0.0318,0.0000,0.0048,0.0028,0.0019
10,0.0036,0.0295,0.0012,0.0011,226,-0.0286,274,0.0302,0.0000,0.0048,0.0029,0.0018
11,0.0036,0.0281,0.0011,0.0010,226,-0.0271,274,0.0289,0.0000,0.0047,0.0030,0.0018
12,0.0037,0.0268,0.0010,0.0009,225,-0.0257,275,0.0277,0.0000,0.0047,0.0030,0.0017
13,0.0037,0.0256,0.0009,0.0008,224,-0.0245,276,0.0266,0.0000,0.0047,0.0031,0.0016
14,0.0038,0.0245,0.0008,0.0007,223,-0.0233,277,0.0256,0.0000,0.0047,0.0032,0.0015
15,0.0038,0.0235,0.0008,0.0007,226,-0.0218,274,0.0250,0.0000,0.0048,0.0033,0.0015
16,0.0039,0.0226,0.0007,0.0006,223,-0.0210,277,0.0239,0.0000,0.0048,0.0034,0.0014
17,0.0040,0.0218,0.0007,0.0005,223,-0.0200,277,0.0232,0.0000,0.0048,0.0035,0.0013
18,0.0040,0.0210,0.0006,0.0005,221,-0.0192,279,0.0224,0.0000,0.0048,0.0036,0.0012
19,0.0041,0.0203,0.0006,0.0005,221,-0.0183,279,0.0219,0.0000,0.0048,0.0037,0.0011
20,0.0042,0.0196,0.0005,0.0004,220,-0.0175,280,0.0213,0.0000,0.0048,0.0038,0.0010
21,0.0043,0.0191,0.0005,0.0004,218,-0.0169,282,0.0207,0.0000,0.0049,0.0039,0.0009
22,0.0044,0.0185,0.0005,0.0004,215,-0.0164,285,0.0201,0.0000,0.0049,0.0041,0.0008
23,0.0045,0.0180,0.0005,0.0003,212,-0.0160,288,0.0195,0.0000,0.0049,0.0042,0.0007
24,0.0046,0.0176,0.0004,0.0003,208,-0.0156,292,0.0190,0.0000,0.0049,0.0044,0.0006
25,0.0047,0.0172,0.0004,0.0003,208,-0.0150,292,0.0187,0.0000,0.0050,0.0045,0.0005
26,0.0048,0.0168,0.0004,0.0003,204,-0.0147,296,0.0183,0.0000,0.0050,0.0047,0.0003
27,0.0049,0.0165,0.0004,0.0003,202,-0.0143,298,0.0180,0.0000,0.0051,0.0049,0.0002
28,0.0051,0.0162,0.0004,0.0002,198,-0.0140,302,0.0176,0.0000,0.0051,0.0050,0.0001
29,0.0052,0.0159,0.0004,0.0002,197,-0.0136,303,0.0174,0.0000,0.0051,0.0052,-0.0001
30,0.0053,0.0157,0.0004,0.0002,196,-0.0132,304,0.0173,0.0000,0.0052,0.0054,-0.0003
31,0.0055,0.0155,0.0003,0.0002,194,-0.0129,306,0.0171,0.0000,0.0052,0.0056,-0.0004
32,0.0056,0.0153,0.0003,0.0002,189,-0.0128,311,0.0168,0.0000,0.0053,0.0059,-0.0006
33,0.0058,0.0151,0.0003,0.0002,188,-0.0124,312,0.0168,0.0000,0.0053,0.0061,-0.0008
34,0.0060,0.0150,0.0003,0.0002,187,-0.0121,313,0.0168,0.0000,0.0054,0.0063,-0.0010
35,0.0062,0.0149,0.0003,0.0002,187,-0.0117,313,0.0168,0.0000,0.0054,0.0066,-0.0012
36,0.0064,0.0149,0.0003,0.0002,185,-0.0115,315,0.0168,0.0000,0.0055,0.0069,-0.0014
37,0.0066,0.0148,0.0003,0.0002,178,-0.0116,322,0.0166,0.0000,0.0055,0.0072,-0.0016
38,0.0068,0.0148,0.0003,0.0002,177,-0.0113,323,0.0167,0.0000,0.0056,0.0075,-0.0019
39,0.0070,0.0148,0.0003,0.0002,175,-0.0112,325,0.0167,0.0000,0.0056,0.0078,-0.0021
40,0.0072,0.0148,0.0004,0.0001,173,-0.0110,327,0.0168,0.0000,0.0057,0.0081,-0.0024
41,0.0075,0.0149,0.0004,0.0001,169,-0.0110,331,0.0168,0.0000,0.0058,0.0085,-0.0027
42,0.0077,0.0149,0.0004,0.0001,168,-0.0107,332,0.0170,0.0000,0.0058,0.0088,-0.0030
43,0.0080,0.0150,0.0004,0.0001,169,-0.0104,331,0.0174,0.0000,0.0059,0.0092,-0.0033
44,0.0083,0.0151,0.0004,0.0001,169,-0.0101,331,0.0176,0.0000,0.0060,0.0096,-0.0036
45,0.0085,0.0152,0.0004,0.0001,166,-0.0101,334,0.0178,0.0000,0.0061,0.0100,-0.0040
46,0.0089,0.0154,0.0004,0.0001,162,-0.0101,338,0.0179,0.0000,0.0061,0.0105,-0.0044
47,0.0092,0.0156,0.0005,0.0001,161,-0.0099,339,0.0182,0.0000,0.0062,0.0110,-0.0048
48,0.0095,0.0157,0.0005,0.0001,160,-0.0097,340,0.0186,0.0000,0.0063,0.0115,-0.0052
49,0.0099,0.0160,0.0005,0.0001,155,-0.0098,345,0.0187,0.0000,0.0064,0.0120,-0.0056
50,0.0102,0.0162,0.0005,0.0002,153,-0.0098,347,0.0191,0.0000,0.0064,0.0125,-0.0061
51,0.0106,0.0165,0.0006,0.0002,150,-0.0098,350,0.0194,0.0000,0.0065,0.0131,-0.0066
52,0.0110,0.0168,0.0006,0.0002,147,-0.0098,353,0.0197,0.0000,0.0066,0.0137,-0.0071
53,0.0115,0.0171,0.0006,0.0002,145,-0.0098,355,0.0201,0.0000,0.0067,0.0143,-0.0076
54,0.0119,0.0175,0.0007,0.0002,143,-0.0097,357,0.0206,0.0000,0.0068,0.0150,-0.0082
55,0.0124,0.0178,0.0007,0.0002,142,-0.0096,358,0.0211,0.0000,0.0069,0.0157,-0.0087
56,0.0129,0.0182,0.0008,0.0002,138,-0.0098,362,0.0215,0.0000,0.0070,0.0164,-0.0094
57,0.0134,0.0187,0.0008,0.0002,137,-0.0097,363,0.0221,0.0000,0.0071,0.0171,-0.0100
58,0.0139,0.0191,0.0009,0.0002,137,-0.0096,363,0.0227,0.0000,0.0072,0.0179,-0.0107
59,0.0145,0.0196,0.0010,0.0002,137,-0.0094,363,0.0235,0.0000,0.0073,0.0187,-0.0114
60,0.0150,0.0201,0.0011,0.0002,134,-0.0095,366,0.0240,0.0000,0.0074,0.0196,-0.0122
61,0.0156,0.0207,0.0011,0.0003,134,-0.0094,366,0.0248,0.0000,0.0076,0.0205,-0.0129
62,0.0163,0.0212,0.0012,0.0003,129,-0.0096,371,0.0253,0.0000,0.0077,0.0215,-0.0138
63,0.0169,0.0218,0.0013,0.0003,126,-0.0097,374,0.0259,0.0000,0.0078,0.0224,-0.0146
64,0.0176,0.0224,0.0015,0.0003,127,-0.0095,373,0.0269,0.0000,0.0079,0.0235,-0.0155
65,0.0184,0.0231,0.0016,0.0003,128,-0.0093,372,0.0279,0.0000,0.0081,0.0245,-0.0165
66,0.0191,0.0238,0.0017,0.0004,126,-0.0093,374,0.0287,0.0000,0.0082,0.0257,-0.0174
67,0.0199,0.0245,0.0018,0.0004,125,-0.0092,375,0.0296,0.0000,0.0084,0.0268,-0.0185
68,0.0207,0.0253,0.0020,0.0004,124,-0.0092,376,0.0306,0.0000,0.0085,0.0280,-0.0195
69,0.0215,0.0260,0.0022,0.0004,124,-0.0091,376,0.0316,0.0000,0.0087,0.0293,-0.0206
70,0.0224,0.0269,0.0023,0.0005,123,-0.0090,377,0.0327,0.0000,0.0088,0.0306,-0.0218
71,0.0233,0.0277,0.0025,0.0005,122,-0.0090,378,0.0338,0.0000,0.0090,0.0320,-0.0230
72,0.0243,0.0286,0.0027,0.0005,121,-0.0090,379,0.0349,0.0000,0.0092,0.0334,-0.0242
73,0.0252,0.0295,0.0029,0.0006,123,-0.0087,377,0.0363,0.0000,0.0093,0.0348,-0.0255
74,0.0262,0.0305,0.0032,0.0006,122,-0.0087,378,0.0375,0.0000,0.0095,0.0363,-0.0268
75,0.0273,0.0315,0.0034,0.0006,120,-0.0087,380,0.0387,0.0000,0.0097,0.0379,-0.0281
76,0.0284,0.0325,0.0037,0.0007,120,-0.0086,380,0.0400,0.0000,0.0099,0.0395,-0.0295
77,0.0295,0.0335,0.0040,0.0007,120,-0.0085,380,0.0415,0.0000,0.0101,0.0411,-0.0310
78,0.0306,0.0346,0.0043,0.0008,119,-0.0084,381,0.0428,0.0000,0.0104,0.0428,-0.0325
79,0.0318,0.0357,0.0046,0.0008,117,-0.0084,383,0.0441,0.0000,0.0106,0.0446,-0.0340
80,0.0330,0.0369,0.0049,0.0009,116,-0.0084,384,0.0455,0.0000,0.0108,0.0464,-0.0356
81,0.0342,0.0381,0.0053,0.0009,116,-0.0083,384,0.0471,0.0000,0.0110,0.0482,-0.0372
82,0.0355,0.0393,0.0057,0.0010,116,-0.0082,384,0.0487,0.0000,0.0113,0.0501,-0.0388
83,0.0368,0.0405,0.0061,0.0010,114,-0.0082,386,0.0501,0.0000,0.0115,0.0520,-0.0405
84,0.0382,0.0418,0.0065,0.0011,113,-0.0081,387,0.0517,0.0000,0.0118,0.0540,-0.0422
85,0.0395,0.0431,0.0069,0.0011,113,-0.0080,387,0.0534,0.0000,0.0121,0.0560,-0.0439
86,0.0409,0.0444,0.0074,0.0012,113,-0.0079,387,0.0551,0.0000,0.0124,0.0581,-0.0457
87,0.0423,0.0458,0.0079,0.0013,111,-0.0079,389,0.0566,0.0000,0.0127,0.0602,-0.0475
