agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,1,-0.3356,-0.1342,-0.2160,-0.3502
1,-1,0,-0.0594,-0.0237,-0.0358,-0.0596
2,-1,0,-0.5876,-0.2350,-0.4390,-0.6740
3,1,0,0.3731,0.1493,0.2428,0.3921
4,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
5,-1,0,-0.2924,-0.1169,-0.1846,-0.3015
6,-1,1,0.4301,0.1720,0.2880,0.4600
7,-1,0,-0.6436,-0.2574,-0.5068,-0.7643
8,1,0,0.5546,0.2218,0.4032,0.6250
9,-1,0,-0.5593,-0.2237,-0.4081,-0.6319
10,-1,1,0.5113,0.2045,0.3600,0.5645
11,1,0,-0.2476,-0.0990,-0.1538,-0.2528
12,1,0,0.1228,0.0491,0.0743,0.1234
13,-1,0,-0.1659,-0.0664,-0.1015,-0.1678
14,-1,0,0.1227,0.0491,0.0742,0.1233
15,-1,1,0.5113,0.2045,0.3600,0.5645
16,-1,0,0.3790,0.1516,0.2473,0.3989
17,1,0,-0.0588,-0.0235,-0.0354,-0.0589
18,-1,1,-0.0000,-0.0000,0.0000,-0.0000
19,1,0,0.1801,0.0720,0.1105,0.1825
20,-1,1,0.5814,0.2326,0.4320,0.6646
21,-1,0,0.5925,0.2370,0.4445,0.6815
22,-1,0,0.5318,0.2127,0.3800,0.5927
23,1,1,0.2328,0.0931,0.1440,0.2371
24,-1,0,0.2905,0.1162,0.1829,0.2991
25,-1,0,-0.0574,-0.0229,-0.0345,-0.0574
26,-1,1,0.2328,0.0931,0.1440,0.2371
27,-1,1,0.4309,0.1724,0.2880,0.4604
28,1,1,-0.3773,-0.1509,-0.2460,-0.3969
29,-1,0,0.3164,0.1265,0.2010,0.3276
30,1,1,0.3371,0.1349,0.2160,0.3509
31,1,1,-0.5814,-0.2326,-0.4320,-0.6646
32,-1,0,0.5660,0.2264,0.4152,0.6416
33,-1,0,-0.5985,-0.2394,-0.4518,-0.6912
34,-1,0,-0.0042,-0.0017,-0.0027,-0.0044
35,-1,0,-0.4930,-0.1972,-0.3428,-0.5400
36,-1,0,-0.6354,-0.2542,-0.4962,-0.7504
37,1,1,-0.2328,-0.0931,-0.1440,-0.2371
38,-1,0,-0.2525,-0.1010,-0.1572,-0.2582
39,-1,0,0.3341,0.1336,0.2138,0.3475
40,1,1,0.4986,0.1994,0.3480,0.5474
41,-1,1,-0.5814,-0.2326,-0.4320,-0.6646
42,-1,0,0.2601,0.1040,0.1622,0.2662
43,-1,0,-0.0875,-0.0350,-0.0532,-0.0882
44,-1,1,0.0532,0.0213,0.0320,0.0533
45,1,1,0.3371,0.1349,0.2160,0.3509
46,-1,0,-0.4301,-0.1720,-0.2880,-0.4600
47,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
48,-1,0,0.4301,0.1720,0.2880,0.4600
49,1,0,-0.3479,-0.1392,-0.2239,-0.3630
50,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
51,-1,0,0.8826,0.3531,1.0345,1.3875
52,1,0,0.5288,0.2115,0.3769,0.5884
53,1,1,-0.2328,-0.0931,-0.1440,-0.2371
54,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
55,1,0,0.7934,0.3173,0.7631,1.0804
56,-1,0,0.7172,0.2869,0.6150,0.9019
57,1,0,0.5118,0.2047,0.3604,0.5651
58,1,0,0.2630,0.1052,0.1642,0.2694
59,-1,0,-0.6777,-0.2711,-0.5537,-0.8248
60,1,1,0.3371,0.1349,0.2160,0.3509
61,1,1,0.2328,0.0931,0.1440,0.2371
62,-1,1,0.3773,0.1509,0.2460,0.3969
63,-1,1,0.1191,0.0476,0.0720,0.1196
64,1,0,-0.1171,-0.0468,-0.0708,-0.1176
65,1,1,1.0000,0.4000,0.2880,0.6880
66,-1,0,-0.3645,-0.1458,-0.2368,-0.3826
67,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
68,-1,1,0.4154,0.1662,0.2760,0.4422
69,1,1,-0.2328,-0.0931,-0.1440,-0.2371
70,1,0,0.8422,0.3369,0.8917,1.2285
71,1,1,0.5113,0.2045,0.3600,0.5645
72,-1,0,0.5261,0.2104,0.3743,0.5847
73,1,0,0.5767,0.2306,0.4277,0.6584
74,1,0,-0.2635,-0.1054,-0.1645,-0.2699
75,1,0,0.3559,0.1424,0.2301,0.3725
76,-1,0,0.1192,0.0477,0.0721,0.1197
77,-1,0,0.2195,0.0878,0.1351,0.2229
78,1,1,0.4301,0.1720,0.2880,0.4600
79,1,1,-0.2328,-0.0931,-0.1440,-0.2371
80,-1,0,-0.1189,-0.0476,-0.0719,-0.1195
81,-1,0,-0.0915,-0.0366,-0.0555,-0.0921
82,-1,1,0.3371,0.1349,0.2160,0.3509
83,-1,0,0.4820,0.1928,0.3329,0.5257
84,1,1,0.2328,0.0931,0.1440,0.2371
85,-1,0,0.2957,0.1183,0.1865,0.3047
86,1,0,-0.2002,-0.0801,-0.1228,-0.2029
87,1,1,0.3371,0.1349,0.2160,0.3509
88,1,0,0.4128,0.1651,0.2739,0.4390
89,-1,0,0.2328,0.0931,0.1440,0.2371
90,-1,0,0.2921,0.1169,0.1841,0.3009
91,-1,0,0.0553,0.0221,0.0333,0.0554
92,1,1,-0.3371,-0.1349,-0.2160,-0.3509
93,-1,0,0.3213,0.1285,0.2046,0.3331
94,-1,0,-0.3517,-0.1407,-0.2267,-0.3674
95,-1,0,-0.3505,-0.1402,-0.2258,-0.3660
96,1,0,0.8095,0.3238,0.8017,1.1255
97,1,0,0.5852,0.2341,0.4362,0.6703
98,-1,0,0.3008,0.1203,0.1900,0.3103
99,-1,0,-0.0130,-0.0052,-0.0078,-0.0129
100,-1,0,-0.5630,-0.2252,-0.4120,-0.6372
101,1,1,-0.5704,-0.2282,-0.4200,-0.6482
102,-1,0,0.0097,0.0039,0.0058,0.0097
103,1,0,-0.2041,-0.0816,-0.1254,-0.2070
104,1,0,-0.0183,-0.0073,-0.0110,-0.0184
105,-1,0,-0.4796,-0.1918,-0.3310,-0.5228
106,-1,0,0.0848,0.0339,0.0507,0.0846
107,1,0,0.3897,0.1559,0.2555,0.4114
108,-1,0,-0.2477,-0.0991,-0.1543,-0.2534
109,-1,1,-0.8055,-0.3222,-0.7920,-1.1142
110,1,1,0.5113,0.2045,0.3600,0.5645
111,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
112,-1,0,-0.5410,-0.2164,-0.3892,-0.6056
113,1,1,0.3371,0.1349,0.2160,0.3509
114,-1,0,0.7056,0.2822,0.5961,0.8783
115,-1,0,0.3225,0.1290,0.2054,0.3344
116,-1,0,-0.0515,-0.0206,-0.0310,-0.0516
117,-1,0,-0.5397,-0.2159,-0.3878,-0.6037
118,-1,0,-0.8529,-0.3412,-0.9254,-1.2666
119,-1,1,0.2148,0.0859,0.1320,0.2179
120,1,0,0.2628,0.1051,0.1645,0.2696
121,-1,0,0.0588,0.0235,0.0354,0.0589
122,-1,0,-0.1210,-0.0484,-0.0735,-0.1219
123,1,0,0.7746,0.3098,0.7219,1.0317
124,-1,0,-0.2560,-0.1024,-0.1594,-0.2618
125,-1,0,-0.1992,-0.0797,-0.1226,-0.2023
126,-1,1,0.3205,0.1282,0.2040,0.3322
127,1,0,0.8531,0.3412,0.9261,1.2674
128,1,1,1.0000,0.4000,0.2160,0.6160
129,-1,0,0.0483,0.0193,0.0290,0.0483
130,1,0,0.0936,0.0374,0.0564,0.0939
131,-1,0,0.3736,0.1494,0.2432,0.3926
132,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
133,-1,0,0.1086,0.0434,0.0657,0.1091
134,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
135,-1,0,-0.8635,-0.3454,-0.9615,-1.3069
136,-1,0,-0.6929,-0.2772,-0.5763,-0.8535
137,-1,0,0.6286,0.2514,0.4876,0.7391
138,1,0,-0.5622,-0.2249,-0.4111,-0.6360
139,-1,0,0.0699,0.0280,0.0421,0.0700
140,-1,0,-0.4963,-0.1985,-0.3459,-0.5445
141,-1,0,-0.1246,-0.0498,-0.0754,-0.1252
142,-1,0,0.4796,0.1918,0.3306,0.5225
143,1,0,-0.0476,-0.0190,-0.0286,-0.0477
144,1,1,1.0000,0.4000,0.4920,0.8920
145,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
146,1,1,1.0000,0.4000,-0.1320,0.2680
147,1,1,-0.2328,-0.0931,-0.1440,-0.2371
148,-1,1,0.2628,0.1051,0.1640,0.2691
149,-1,0,0.5166,0.2067,0.3651,0.5717
150,1,1,-0.2328,-0.0931,-0.1440,-0.2371
151,-1,0,0.3441,0.1376,0.2211,0.3587
152,-1,0,-0.5344,-0.2137,-0.3825,-0.5962
153,-1,0,0.4796,0.1918,0.3306,0.5224
154,1,0,-0.3159,-0.1264,-0.2007,-0.3271
155,1,1,-0.3773,-0.1509,-0.2460,-0.3969
156,1,1,0.4301,0.1720,0.2880,0.4600
157,-1,0,-0.3073,-0.1229,-0.1951,-0.3180
158,-1,0,-0.3046,-0.1218,-0.1932,-0.3150
159,1,0,-0.6387,-0.2555,-0.5005,-0.7560
160,-1,0,-0.9072,-0.3629,-1.1486,-1.5115
161,-1,0,0.3690,0.1476,0.2396,0.3872
162,1,0,0.6459,0.2584,0.5099,0.7682
163,1,1,-0.4301,-0.1720,-0.2880,-0.4600
164,-1,0,0.0302,0.0121,0.0181,0.0302
165,-1,0,0.3232,0.1293,0.2059,0.3352
166,1,1,0.6414,0.2566,0.5040,0.7606
167,-1,0,-0.2328,-0.0931,-0.1440,-0.2371
168,1,1,0.3371,0.1349,0.2160,0.3509
169,-1,0,0.1258,0.0503,0.0761,0.1265
170,1,0,0.3791,0.1516,0.2475,0.3992
171,1,0,0.3678,0.1471,0.2387,0.3859
172,1,1,1.0000,0.4000,0.2160,0.6160
173,1,0,-0.0844,-0.0337,-0.0508,-0.0846
174,-1,0,0.0557,0.0223,0.0335,0.0558
175,-1,0,-0.1525,-0.0610,-0.0929,-0.1540
176,-1,0,-0.1757,-0.0703,-0.1072,-0.1775
177,1,0,-0.4097,-0.1639,-0.2713,-0.4352
178,-1,0,0.6101,0.2440,0.4651,0.7091
179,1,1,0.2509,0.1004,0.1560,0.2564
180,-1,0,0.6201,0.2480,0.4771,0.7252
181,1,0,-0.6854,-0.2742,-0.5651,-0.8393
182,1,1,1.0000,0.4000,0.1440,0.5440
183,1,1,-0.1191,-0.0476,-0.0720,-0.1196
184,1,1,0.2328,0.0931,0.1440,0.2371
185,1,0,0.1988,0.0795,0.1226,0.2020
186,1,0,-0.6791,-0.2716,-0.5558,-0.8274
187,-1,0,0.5976,0.2390,0.4504,0.6894
188,1,0,-0.2689,-0.1076,-0.1681,-0.2757
189,-1,0,0.6868,0.2747,0.5671,0.8419
190,1,1,0.2328,0.0931,0.1440,0.2371
191,1,1,1.0000,0.4000,0.2880,0.6880
192,1,1,1.0000,0.4000,0.2160,0.6160
193,1,1,1.0000,0.4000,0.2880,0.6880
194,-1,0,-0.3351,-0.1340,-0.2148,-0.3488
195,1,0,-0.7243,-0.2897,-0.6268,-0.9165
196,-1,0,-0.5365,-0.2146,-0.3846,-0.5992
197,-1,0,0.5412,0.2165,0.3894,0.6059
198,1,0,0.3778,0.1511,0.2464,0.3975
199,-1,0,-0.9934,-0.3973,-2.4551,-2.8525
200,-1,1,-0.2628,-0.1051,-0.1640,-0.2691
201,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
202,1,1,-0.4301,-0.1720,-0.2880,-0.4600
203,-1,0,-0.0365,-0.0146,-0.0219,-0.0365
204,-1,0,-0.0621,-0.0248,-0.0373,-0.0621
205,-1,1,0.2328,0.0931,0.1440,0.2371
206,-1,1,0.2328,0.0931,0.1440,0.2371
207,1,0,0.0000,0.0000,0.0000,0.0000
208,-1,1,0.3371,0.1349,0.2160,0.3509
209,1,1,1.0000,0.4000,0.8640,1.2640
210,1,0,0.0000,0.0000,0.0000,0.0000
211,-1,1,0.5516,0.2206,0.4000,0.6206
212,-1,0,-0.2658,-0.1063,-0.1660,-0.2723
213,-1,0,-0.4995,-0.1998,-0.3488,-0.5486
214,-1,0,-0.5167,-0.2067,-0.3652,-0.5719
215,1,0,-0.4858,-0.1943,-0.3362,-0.5306
216,1,0,-0.2240,-0.0896,-0.1383,-0.2278
217,1,1,0.3371,0.1349,0.2160,0.3509
218,-1,0,-0.2445,-0.0978,-0.1518,-0.2496
219,1,1,0.2328,0.0931,0.1440,0.2371
220,1,1,1.0000,0.4000,0.2160,0.6160
221,1,0,0.6744,0.2698,0.5490,0.8188
222,-1,1,0.2328,0.0931,0.1440,0.2371
223,-1,1,0.2328,0.0931,0.1440,0.2371
224,-1,0,-0.6132,-0.2453,-0.4687,-0.7140
225,-1,0,-0.2598,-0.1039,-0.1620,-0.2659
226,1,0,0.2740,0.1096,0.1716,0.2812
227,-1,0,0.5877,0.2351,0.4390,0.6741
228,1,0,-0.0313,-0.0125,-0.0188,-0.0314
229,-1,0,0.2619,0.1048,0.1634,0.2682
230,-1,0,0.4207,0.1683,0.2802,0.4485
231,-1,0,0.7580,0.3032,0.6882,0.9914
232,1,1,1.0000,0.4000,0.1440,0.5440
233,1,0,0.7190,0.2876,0.6190,0.9066
234,-1,1,0.4301,0.1720,0.2880,0.4600
235,1,0,-0.2456,-0.0982,-0.1525,-0.2507
236,-1,1,0.3371,0.1349,0.2160,0.3509
237,-1,0,-0.0356,-0.0142,-0.0219,-0.0361
238,-1,0,0.1227,0.0491,0.0742,0.1233
239,-1,0,0.4796,0.1919,0.3307,0.5225
240,-1,0,-0.7378,-0.2951,-0.6505,-0.9456
241,-1,1,-0.2328,-0.0931,-0.1440,-0.2371
242,1,0,0.2513,0.1005,0.1563,0.2568
243,1,0,0.6419,0.2568,0.5046,0.7614
244,1,0,0.6480,0.2592,0.5126,0.7718
245,-1,1,-0.0200,-0.0080,-0.0120,-0.0200
246,1,1,0.2328,0.0931,0.1440,0.2371
247,-1,0,-0.5880,-0.2352,-0.4395,-0.6747
248,-1,0,-0.6932,-0.2773,-0.5768,-0.8541
249,-1,0,-0.3461,-0.1385,-0.2226,-0.3610
250,-1,0,-0.0570,-0.0228,-0.0342,-0.0570
251,1,0,0.5593,0.2237,0.4081,0.6319
252,-1,0,0.0597,0.0239,0.0359,0.0598
253,1,1,-0.3371,-0.1349,-0.2160,-0.3509
254,1,0,-0.3340,-0.1336,-0.2137,-0.3473
255,-1,0,0.0553,0.0221,0.0333,0.0554
256,1,0,0.7062,0.2825,0.5970,0.8795
257,1,0,0.1215,0.0486,0.0735,0.1221
258,-1,1,-0.3371,-0.1349,-0.2160,-0.3509
259,-1,0,0.8256,0.3302,0.8438,1.1740
260,-1,0,-0.1170,-0.0468,-0.0708,-0.1176
261,1,0,0.6555,0.2622,0.5226,0.7848
262,-1,0,0.9461,0.3784,1.4149,1.7934
263,-1,0,0.3176,0.1270,0.2019,0.3290
264,1,1,0.2328,0.0931,0.1440,0.2371
265,-1,0,-0.0191,-0.0076,-0.0119,-0.0195
266,-1,0,-0.2243,-0.0897,-0.1390,-0.2287
267,1,0,0.7245,0.2898,0.6272,0.9170
268,-1,1,-0.1191,-0.0476,-0.0720,-0.1196
