step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0396,0.0909,0.0036,0.0033,238,-0.0539,242,0.0522,0.0000,0.0003,-0.0013,0.0016
1,0.0427,0.0898,0.0035,0.0030,226,-0.0521,254,0.0516,0.0000,0.0071,-0.0024,0.0095
2,0.0459,0.0916,0.0040,0.0032,221,-0.0517,259,0.0555,0.0000,0.0138,-0.0031,0.0169
3,0.0495,0.0966,0.0049,0.0037,215,-0.0548,265,0.0623,0.0253,0.0210,-0.0037,0.0247
4,0.0529,0.1035,0.0063,0.0045,211,-0.0600,269,0.0710,0.0557,0.0279,-0.0043,0.0323
5,0.0566,0.1115,0.0081,0.0055,205,-0.0669,275,0.0800,0.1121,0.0353,-0.0048,0.0401
6,0.0602,0.1203,0.0101,0.0067,198,-0.0758,282,0.0891,0.3682,0.0427,-0.0054,0.0481
7,0.0640,0.1292,0.0124,0.0080,195,-0.0836,285,0.0993,0.5919,0.0502,-0.0058,0.0560
8,0.0676,0.1378,0.0148,0.0094,193,-0.0909,287,0.1093,0.7557,0.0573,-0.0061,0.0635
9,0.0710,0.1463,0.0174,0.0109,192,-0.0980,288,0.1192,1.2487,0.0642,-0.0066,0.0708
10,0.0743,0.1544,0.0202,0.0125,187,-0.1071,293,0.1269,1.9073,0.0707,-0.0069,0.0776
11,0.0776,0.1623,0.0229,0.0141,183,-0.1156,297,0.1346,2.6598,0.0771,-0.0071,0.0842
12,0.0810,0.1700,0.0258,0.0156,184,-0.1209,296,0.1444,3.4593,0.0836,-0.0073,0.0909
13,0.0841,0.1773,0.0287,0.0172,187,-0.1247,293,0.1548,4.2227,0.0898,-0.0077,0.0974
14,0.0869,0.1844,0.0316,0.0188,186,-0.1310,294,0.1627,5.1221,0.0956,-0.0083,0.1039
15,0.0896,0.1911,0.0345,0.0203,185,-0.1371,295,0.1701,5.7325,0.1012,-0.0088,0.1100
16,0.0924,0.1975,0.0374,0.0218,182,-0.1445,298,0.1761,6.4988,0.1068,-0.0094,0.1162
17,0.0951,0.2039,0.0403,0.0232,179,-0.1520,301,0.1819,7.2037,0.1123,-0.0096,0.1219
18,0.0978,0.2101,0.0431,0.0247,175,-0.1604,305,0.1868,7.6785,0.1174,-0.0098,0.1272
19,0.1004,0.2160,0.0458,0.0261,175,-0.1651,305,0.1937,8.7296,0.1224,-0.0097,0.1321
20,0.1030,0.2217,0.0486,0.0274,174,-0.1705,306,0.1999,9.4290,0.1272,-0.0097,0.1369
21,0.1056,0.2271,0.0512,0.0286,174,-0.1746,306,0.2065,10.8935,0.1322,-0.0097,0.1418
22,0.1081,0.2323,0.0538,0.0298,174,-0.1785,306,0.2128,11.4250,0.1368,-0.0096,0.1464
