step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0376,0.0910,0.0036,0.0032,257,-0.0520,223,0.0544,0.0000,-0.0048,0.0005,-0.0054
1,0.0380,0.0880,0.0032,0.0029,257,-0.0486,223,0.0517,0.0000,-0.0042,0.0009,-0.0051
2,0.0385,0.0855,0.0029,0.0025,257,-0.0457,223,0.0494,0.0000,-0.0036,0.0012,-0.0048
3,0.0390,0.0833,0.0027,0.0023,253,-0.0438,227,0.0466,0.0000,-0.0031,0.0015,-0.0046
4,0.0394,0.0813,0.0024,0.0020,254,-0.0412,226,0.0450,0.0000,-0.0025,0.0019,-0.0044
5,0.0398,0.0795,0.0023,0.0018,253,-0.0392,227,0.0433,0.0000,-0.0020,0.0022,-0.0042
6,0.0402,0.0778,0.0021,0.0017,251,-0.0375,229,0.0416,0.0000,-0.0015,0.0025,-0.0040
7,0.0406,0.0763,0.0020,0.0015,250,-0.0357,230,0.0402,0.0000,-0.0010,0.0028,-0.0038
8,0.0410,0.0749,0.0020,0.0014,252,-0.0337,228,0.0394,0.0000,-0.0005,0.0032,-0.0037
9,0.0414,0.0736,0.0019,0.0013,252,-0.0320,228,0.0384,0.0000,-0.0001,0.0035,-0.0036
10,0.0417,0.0725,0.0019,0.0012,248,-0.0310,232,0.0369,0.0000,0.0003,0.0038,-0.0034
11,0.0421,0.0714,0.0018,0.0012,251,-0.0292,229,0.0366,0.0000,0.0008,0.0041,-0.0033
12,0.0424,0.0705,0.0018,0.0011,252,-0.0278,228,0.0361,0.0000,0.0012,0.0044,-0.0032
13,0.0428,0.0696,0.0018,0.0011,250,-0.0268,230,0.0352,0.0000,0.0015,0.0047,-0.0032
14,0.0431,0.0688,0.0018,0.0010,248,-0.0259,232,0.0344,0.0000,0.0019,0.0050,-0.0031
15,0.0434,0.0681,0.0018,0.0010,248,-0.0249,232,0.0340,0.0000,0.0023,0.0053,-0.0030
16,0.0438,0.0675,0.0018,0.0010,245,-0.0242,235,0.0332,0.0000,0.0026,0.0056,-0.0030
17,0.0441,0.0669,0.0019,0.0009,243,-0.0235,237,0.0326,0.0000,0.0030,0.0059,-0.0029
18,0.0444,0.0664,0.0019,0.0009,243,-0.0226,237,0.0324,0.0000,0.0033,0.0062,-0.0029
19,0.0447,0.0659,0.0019,0.0009,245,-0.0217,235,0.0326,0.0000,0.0037,0.0065,-0.0028
20,0.0450,0.0656,0.0019,0.0009,243,-0.0212,237,0.0322,0.0000,0.0040,0.0068,-0.0028
21,0.0453,0.0653,0.0020,0.0009,241,-0.0207,239,0.0320,0.0000,0.0043,0.0071,-0.0028
22,0.0456,0.0650,0.0020,0.0009,239,-0.0203,241,0.0317,0.0000,0.0046,0.0074,-0.0028
23,0.0459,0.0648,0.0021,0.0009,235,-0.0201,245,0.0313,0.0000,0.0049,0.0077,-0.0028
24,0.0462,0.0646,0.0021,0.0009,235,-0.0196,245,0.0314,0.0000,0.0052,0.0080,-0.0028
25,0.0464,0.0645,0.0021,0.0009,231,-0.0195,249,0.0311,0.0000,0.0055,0.0083,-0.0028
26,0.0467,0.0644,0.0022,0.0009,230,-0.0192,250,0.0311,0.0000,0.0058,0.0086,-0.0028
27,0.0470,0.0643,0.0022,0.0009,230,-0.0188,250,0.0313,0.0000,0.0061,0.0089,-0.0029
28,0.0473,0.0643,0.0022,0.0009,226,-0.0188,254,0.0311,0.0000,0.0064,0.0092,-0.0029
29,0.0476,0.0643,0.0023,0.0009,227,-0.0184,253,0.0315,0.0000,0.0066,0.0096,-0.0029
30,0.0479,0.0643,0.0023,0.0010,222,-0.0185,258,0.0312,0.0000,0.0069,0.0099,-0.0030
31,0.0481,0.0643,0.0024,0.0010,221,-0.0183,259,0.0313,0.0000,0.0072,0.0102,-0.0030
32,0.0484,0.0644,0.0024,0.0010,218,-0.0183,262,0.0313,0.0000,0.0074,0.0105,-0.0031
33,0.0487,0.0645,0.0025,0.0010,214,-0.0184,266,0.0311,0.0000,0.0077,0.0108,-0.0031
34,0.0490,0.0645,0.0025,0.0010,209,-0.0186,271,0.0309,0.0000,0.0080,0.0112,-0.0032
35,0.0492,0.0647,0.0025,0.0010,208,-0.0185,272,0.0312,0.0000,0.0082,0.0115,-0.0033
36,0.0495,0.0648,0.0026,0.0010,207,-0.0184,273,0.0314,0.0000,0.0085,0.0118,-0.0034
37,0.0498,0.0649,0.0026,0.0010,205,-0.0185,275,0.0316,0.0000,0.0087,0.0122,-0.0034
38,0.0501,0.0651,0.0027,0.0010,204,-0.0184,276,0.0319,0.0000,0.0090,0.0125,-0.0035
39,0.0504,0.0653,0.0027,0.0011,204,-0.0183,276,0.0323,0.0000,0.0092,0.0129,-0.0036
40,0.0506,0.0655,0.0028,0.0011,203,-0.0182,277,0.0326,0.0000,0.0095,0.0132,-0.0037
41,0.0509,0.0656,0.0028,0.0011,202,-0.0182,278,0.0329,0.0000,0.0097,0.0136,-0.0038
42,0.0512,0.0659,0.0029,0.0011,200,-0.0183,280,0.0331,0.0000,0.0100,0.0139,-0.0040
43,0.0515,0.0661,0.0029,0.0011,199,-0.0183,281,0.0334,0.0000,0.0102,0.0143,-0.0041
44,0.0518,0.0663,0.0030,0.0011,195,-0.0187,285,0.0334,0.0000,0.0104,0.0147,-0.0042
45,0.0520,0.0666,0.0030,0.0011,192,-0.0189,288,0.0335,0.0000,0.0107,0.0150,-0.0043
46,0.0523,0.0668,0.0031,0.0012,188,-0.0193,292,0.0335,0.0000,0.0109,0.0154,-0.0045
47,0.0526,0.0671,0.0032,0.0012,187,-0.0194,293,0.0339,0.0000,0.0112,0.0158,-0.0046
48,0.0529,0.0674,0.0032,0.0012,185,-0.0196,295,0.0342,0.0000,0.0114,0.0162,-0.0048
49,0.0532,0.0677,0.0033,0.0012,184,-0.0197,296,0.0345,0.0000,0.0116,0.0166,-0.0049
50,0.0535,0.0680,0.0033,0.0012,183,-0.0198,297,0.0349,0.0000,0.0119,0.0170,-0.0051
51,0.0538,0.0683,0.0034,0.0012,181,-0.0201,299,0.0352,0.0000,0.0121,0.0174,-0.0053
