step,without Zealots_mean_opinion,without Zealots_mean_abs_opinion,without Zealots_non_zealot_variance,without Zealots_cluster_variance,without Zealots_negative_count,without Zealots_negative_mean,without Zealots_positive_count,without Zealots_positive_mean,without Zealots_polarization_index,without Zealots_identity_1_mean_opinion,without Zealots_identity_neg1_mean_opinion,without Zealots_identity_opinion_difference
0,0.0002,0.0518,0.0035,0.0033,251.8,-0.0512,248.2,0.0523,0.0000,0.0012,-0.0011,0.0023
1,0.0002,0.0487,0.0031,0.0029,250.5,-0.0484,249.5,0.0489,0.0000,0.0012,-0.0010,0.0023
2,0.0002,0.0458,0.0028,0.0026,250.8,-0.0455,249.2,0.0462,0.0000,0.0012,-0.0010,0.0023
3,0.0002,0.0432,0.0025,0.0023,250.2,-0.0430,249.8,0.0435,0.0000,0.0013,-0.0010,0.0022
4,0.0003,0.0408,0.0022,0.0020,250.2,-0.0405,249.8,0.0411,0.0000,0.0013,-0.0009,0.0022
5,0.0003,0.0386,0.0020,0.0018,250.5,-0.0382,249.5,0.0389,0.0000,0.0013,-0.0009,0.0022
6,0.0003,0.0366,0.0018,0.0016,250.4,-0.0362,249.6,0.0369,0.0000,0.0013,-0.0008,0.0021
7,0.0003,0.0347,0.0016,0.0014,250.3,-0.0343,249.7,0.0351,0.0000,0.0013,-0.0008,0.0021
8,0.0004,0.0330,0.0015,0.0013,250.4,-0.0325,249.6,0.0334,0.0000,0.0013,-0.0007,0.0020
9,0.0004,0.0314,0.0013,0.0012,249.4,-0.0310,250.6,0.0317,0.0000,0.0013,-0.0006,0.0019
10,0.0005,0.0300,0.0012,0.0011,249.2,-0.0296,250.8,0.0303,0.0000,0.0013,-0.0005,0.0018
11,0.0005,0.0287,0.0011,0.0010,248.7,-0.0282,251.3,0.0290,0.0000,0.0014,-0.0004,0.0018
12,0.0006,0.0275,0.0010,0.0009,247.6,-0.0271,252.4,0.0277,0.0000,0.0014,-0.0003,0.0017
13,0.0007,0.0264,0.0010,0.0008,247.5,-0.0259,252.5,0.0267,0.0000,0.0014,-0.0001,0.0015
14,0.0007,0.0254,0.0009,0.0007,246.9,-0.0249,253.1,0.0257,0.0000,0.0014,0.0000,0.0014
15,0.0008,0.0245,0.0009,0.0007,246.8,-0.0239,253.2,0.0248,0.0000,0.0014,0.0002,0.0013
16,0.0009,0.0237,0.0008,0.0006,246.6,-0.0230,253.4,0.0241,0.0000,0.0015,0.0004,0.0011
17,0.0010,0.0230,0.0008,0.0006,245.7,-0.0223,254.3,0.0234,0.0000,0.0015,0.0006,0.0009
18,0.0011,0.0224,0.0008,0.0005,244.9,-0.0216,255.1,0.0228,0.0000,0.0015,0.0008,0.0007
19,0.0012,0.0219,0.0008,0.0005,243.4,-0.0210,256.6,0.0222,0.0000,0.0016,0.0011,0.0005
20,0.0014,0.0214,0.0007,0.0005,242.9,-0.0204,257.1,0.0218,0.0000,0.0016,0.0013,0.0003
21,0.0015,0.0210,0.0008,0.0004,242.7,-0.0199,257.3,0.0214,0.0000,0.0016,0.0016,-0.0000
22,0.0017,0.0207,0.0008,0.0004,241.2,-0.0195,258.8,0.0211,0.0000,0.0017,0.0020,-0.0003
23,0.0019,0.0204,0.0008,0.0004,241.4,-0.0190,258.6,0.0210,0.0000,0.0017,0.0023,-0.0006
24,0.0021,0.0203,0.0008,0.0004,239.9,-0.0187,260.1,0.0208,0.0000,0.0017,0.0027,-0.0010
25,0.0023,0.0201,0.0009,0.0004,239.0,-0.0184,261.0,0.0207,0.0000,0.0018,0.0031,-0.0014
